,3d_x,3d_y,3d_z
0,31.6578125,-194.7421875,1957.6
1,31.9434213311,-194.7421875,1957.5081980631
2,32.2290301621,-194.7421875,1957.4163961261
3,32.5146389932,-194.7421875,1957.3245941892
4,32.6951249624,-194.7210712331,1957.0858916166
5,32.8756109316,-194.6999549663,1956.8471890439
6,32.9988066476,-194.7214343907,1956.5744960849
7,33.1220023635,-194.7429138152,1956.3018031259
8,33.2369316914,-194.7984392732,1956.0303106341
9,33.3518610192,-194.8539647312,1955.7588181423
10,33.4819986261,-194.9386977016,1955.5021383281
11,33.612136233,-195.0234306721,1955.2454585139
12,33.7422738399,-195.1081636425,1954.9887786998
13,33.8861297597,-195.19539863,1954.7403928482
14,34.0299856795,-195.2826336174,1954.4920069965
15,34.1599359201,-195.3718635319,1954.2367601408
16,34.2898861607,-195.4610934464,1953.9815132852
17,34.4021648059,-195.547042175,1953.7169262071
18,34.5144434511,-195.6329909035,1953.452339129
19,34.6130736832,-195.7089192209,1953.1793794837
20,34.7117039152,-195.7848475384,1952.9064198385
21,34.806153188,-195.8621539486,1952.6323704747
22,34.9006024607,-195.9394603588,1952.3583211108
23,34.9950517335,-196.016766769,1952.084271747
24,35.0878227144,-196.1073282761,1951.8137312536
25,35.1805936953,-196.1978897832,1951.5431907603
26,35.2707537161,-196.3017817545,1951.2765868801
27,35.360913737,-196.4056737258,1951.0099829999
28,35.4470915132,-196.509007282,1950.7418495125
29,35.5332692894,-196.6123408382,1950.4737160252
30,35.6140712481,-196.7063704463,1950.2005320647
31,35.6948732068,-196.8004000544,1949.9273481042
32,35.7703404496,-196.8747549594,1949.6466774015
33,35.8458076924,-196.9491098645,1949.3660066987
34,35.9208376113,-197.0143569565,1949.0829637192
35,35.9958675302,-197.0796040486,1948.7999207397
36,36.0660923828,-197.1556981728,1948.5183569737
37,36.1363172354,-197.231792297,1948.2367932077
38,36.1807909885,-197.3295070254,1947.9566612439
39,36.2252647415,-197.4272217538,1947.6765292801
40,36.2697384945,-197.5249364823,1947.3963973163
41,36.2869697563,-197.648392154,1947.1235204563
42,36.304201018,-197.7718478258,1946.8506435963
43,36.3243523596,-197.8868324011,1946.5742879
44,36.3445037012,-198.0018169765,1946.2979322037
45,36.381302261,-198.0932148305,1946.0145732471
46,36.4181008208,-198.1846126845,1945.7312142906
47,36.4795679156,-198.2577053782,1945.4468215087
48,36.5410350105,-198.3307980719,1945.1624287268
49,36.6287813289,-198.3967385781,1944.8832290971
50,36.7165276474,-198.4626790842,1944.6040294673
51,36.8052563949,-198.5254897015,1944.3244189602
52,36.8939851424,-198.5883003187,1944.044808453
53,36.996562948,-198.6313410181,1943.7661952947
54,37.0991407537,-198.6743817175,1943.4875821364
55,37.2392182473,-198.7041031107,1943.2239632171
56,37.3792957408,-198.7338245038,1942.9603442979
57,37.5193732344,-198.7635458969,1942.6967253786
58,37.714403225,-198.7908146575,1942.470407643
59,37.909433215600004,-198.8180834181,1942.2440899073
60,38.1070700378,-198.8466888752,1942.0202117835
61,38.30470686,-198.8752943323,1941.7963336596
62,38.4964104374,-198.8972662501,1941.5666230303
63,38.6881140149,-198.919238168,1941.336912401
64,38.8798175924,-198.9412100858,1941.1072017717
65,39.0609982682,-198.9560335235,1940.8685517593
66,39.242178944,-198.9708569611,1940.629901747
67,39.4129998585,-198.9794902798,1940.3834353578
68,39.5838207729,-198.9881235986,1940.1369689687
69,39.7476201974,-198.9921859919,1939.8856658737
70,39.9114196218,-198.9962483851,1939.6343627788
71,40.0752190462,-199.0003107783,1939.3830596839
72,40.241472898,-199.0034292154,1939.13336
73,40.4077267497,-199.0065476526,1938.8836603161
74,40.5876406865,-199.0067775257,1938.6435959029
75,40.7675546232,-199.0070073989,1938.4035314896
76,40.9644750568,-198.999704693,1938.1773258015
77,41.1613954903,-198.9924019872,1937.9511201133
78,41.3583159239,-198.9850992813,1937.7249144252
79,41.5670300539,-198.9741224925,1937.5096984359
80,41.7757441839,-198.9631457036,1937.2944824467
81,41.9844583139,-198.9521689148,1937.0792664574
82,42.1960023652,-198.9502016866,1936.8665571619
83,42.4075464164,-198.9482344585,1936.6538478664
84,42.6190904677,-198.9462672304,1936.4411385709
85,42.8306345189,-198.9443000023,1936.2284292754
86,43.0421785701,-198.9423327742,1936.0157199799
