,3d_x,3d_y,3d_z
0,20.2578125,-144.9421875,1994.8
1,19.9578125,-144.9421875,1994.8
2,19.6578125,-144.9421875,1994.8
3,19.3817146729,-144.8422177991,1994.8614495626
4,19.1056168457,-144.7422480982,1994.9228991253
5,18.8295190186,-144.6422783972,1994.9843486879
6,18.618208917,-144.4653677061,1995.1028841185
7,18.4068988154,-144.2884570149,1995.2214195491
8,18.2129500695,-144.103254414,1995.355895869
9,18.0190013237,-143.9180518132,1995.4903721889
10,17.8250525779,-143.7328492123,1995.6248485089
11,17.6455263374,-143.5315053193,1995.756115282
12,17.4660000969,-143.3301614264,1995.8873820552
13,17.2864738564,-143.1288175334,1996.0186488284
14,17.1211069031,-142.90554480630001,1996.1317994364
15,16.9557399499,-142.6822720791,1996.2449500443
16,16.7982480748,-142.447276733,1996.3448174394
17,16.6407561998,-142.2122813868,1996.4446848344
18,16.4832643247,-141.9772860407,1996.5445522295
19,16.3357852798,-141.7318099344,1996.6339469303
20,16.1883062348,-141.4863338281,1996.723341631
21,16.0237281889,-141.2549012194,1996.8200526149
22,15.8591501429,-141.0234686106,1996.9167635987
23,15.694572097,-140.7920360018,1997.0134745826
24,15.486888096,-140.617400434,1997.141419001
25,15.279204095,-140.4427648663,1997.2693634194
26,15.0454601366,-140.3327540217,1997.421880225
27,14.8117161783,-140.2227431771,1997.5743970306
28,14.5636765781,-140.1744970503,1997.7361025283
29,14.3156369779,-140.1262509234,1997.897808026
30,14.0675973777,-140.0780047966,1998.0595135237
31,13.7949904907,-140.1012046409,1998.182587698
32,13.5223836037,-140.1244044851,1998.3056618723
33,13.2235960188,-140.1293956069,1998.332139558
34,12.924808434000001,-140.1343867286,1998.3586172437
35,12.6260208491,-140.1393778503,1998.3850949293
36,12.3272332643,-140.144368972,1998.411572615
