,3d_x,3d_y,3d_z
0,3.4578125,-149.7421875,2008.0
1,3.7421038331,-149.6463833355,2008.0
2,4.0263951661,-149.5505791709,2008.0
3,4.3106864992,-149.4547750064,2008.0
4,4.6064942107,-149.4446548824,2008.0489426289
5,4.9023019221,-149.4345347584,2008.0978852579
6,5.196676667,-149.4855282701,2008.1251464269
7,5.4910514119,-149.5365217819,2008.1524075959
8,5.7816040634,-149.6084764373,2008.1323655328
9,6.0721567148,-149.6804310926,2008.1123234696
10,6.3581232498,-149.751333762,2008.055790715
11,6.6440897848,-149.8222364314,2007.9992579605
12,6.9268801334,-149.8921247708,2007.9275276406
13,7.2096704819,-149.9620131102,2007.8557973207
14,7.4905216642,-150.0363142863,2007.7809511545
15,7.7713728466,-150.1106154625,2007.7061049882
16,8.0519222249,-150.1822873354,2007.6276499758
17,8.3324716032,-150.2539592084,2007.5491949635
18,8.6130209814,-150.3256310813,2007.4707399511
19,8.8901126208,-150.3931379672,2007.3776644778
20,9.1672042602,-150.4606448531,2007.2845890044
21,9.4420512238,-150.5302105434,2007.1865086224
22,9.7168981874,-150.5997762336,2007.0884282403
23,9.9872250449,-150.6731415053,2006.9809995335
24,10.2575519023,-150.7465067769,2006.8735708266
25,10.5247262625,-150.8258950013,2006.7625961849
26,10.7919006226,-150.9052832257,2006.6516215432
27,11.057893389,-150.9872588493,2006.5396936852
28,11.3238861553,-151.0692344728,2006.4277658273
29,11.5898789217,-151.1512100963,2006.3158379693
30,11.8523836802,-151.230543443,2006.1941931096
31,12.1148884387,-151.3098767897,2006.07254825
32,12.3762499304,-151.3906003579,2005.9493659616
33,12.6376114221,-151.4713239261,2005.8261836732
34,12.8972058562,-151.5556188242,2005.7016641969
35,13.1568002902,-151.6399137223,2005.5771447206
36,13.4163947242,-151.7242086204,2005.4526252443
37,13.6774701611,-151.8172540553,2005.337811642
38,13.938545598,-151.9102994903,2005.2229980396
39,14.1933442743,-152.0227983516,2005.1115456247
40,14.4481429505,-152.135297213,2005.0000932099
41,14.6890340051,-152.2854866827,2004.9030642296
42,14.9299250596,-152.4356761524,2004.8060352493
43,15.1622130933,-152.6076348602,2004.7255835729
44,15.394501127,-152.779593568,2004.6451318965
45,15.6267891606,-152.9515522757,2004.56468022
46,15.8686851864,-153.1182108351,2004.5037602949
47,16.1105812123,-153.2848693945,2004.4428403697
48,16.3601958765,-153.426197394,2004.3549830082
49,16.6098105407,-153.5675253935,2004.2671256468
