,3d_x,3d_y,3d_z
0,16.6578125,-152.1421875,2003.2
1,16.8644516053,-151.9355483947,2003.1321725698
2,17.0710907107,-151.7289092893,2003.0643451396
3,17.277729816,-151.522270184,2002.9965177094
4,17.4843689214,-151.3156310786,2002.9286902793
5,17.6776970002,-151.1665140217,2002.7543677125
6,17.871025079,-151.0173969647,2002.5800451458
7,18.0643531578,-150.8682799077,2002.4057225791
8,18.2529363868,-150.7633156319,2002.1973506364
9,18.4415196159,-150.658351356,2001.9889786936
10,18.630102845,-150.5533870802,2001.7806067509
11,18.8226882602,-150.4662956058,2001.5677078714
12,19.0152736755,-150.3792041313,2001.3548089919
13,19.2078590908,-150.2921126569,2001.1419101124
14,19.3987313086,-150.2013210347,2000.9290141805
15,19.5896035264,-150.1105294125,2000.7161182486
16,19.7804757442,-150.0197377903,2000.5032223167
17,19.9541940254,-149.9095397131,2000.284868607
18,20.1279123065,-149.7993416359,2000.0665148972
19,20.2743384572,-149.6763923317,1999.8353377984
20,20.4207646078,-149.5534430275,1999.6041606996
21,20.5671907584,-149.4304937233,1999.3729836008
22,20.678052946,-149.3013283182,1999.1259494463
23,20.7889151336,-149.1721629132,1998.8789152918
24,20.8741585361,-149.0311691114,1998.6282076728
25,20.9594019386,-148.8901753096,1998.3775000539
26,21.0072579265,-148.734505298,1998.1255543218
27,21.0551139143,-148.5788352864,1997.8736085898
28,21.1029699021,-148.4231652747,1997.6216628577
29,21.1057797942,-148.2579154485,1997.371293931
30,21.1085896863,-148.0926656223,1997.1209250044
31,21.0889511154,-147.9179584205,1996.8778371187
32,21.0693125446,-147.7432512187,1996.634749233
33,21.0496739738,-147.5685440169,1996.3916613473
34,21.0131263238,-147.3726644316,1996.1673948599
35,20.9765786739,-147.1767848464,1995.9431283724
36,20.9609232889,-146.9653487853,1995.7308792241
37,20.9452679039,-146.7539127241,1995.5186300758
38,20.929612519,-146.5424766629,1995.3063809275
39,20.9565263131,-146.3257005405,1995.100750773
40,20.9834401073,-146.1089244182,1994.8951206185
41,21.0103539015,-145.8921482958,1994.689490464
42,21.0719249249,-145.6736226075,1994.4933896413
43,21.1334959482,-145.4550969192,1994.2972888187
44,21.1950669716,-145.2365712309,1994.101187996
45,21.2648989134,-145.0159567741,1993.9102619335
46,21.3347308552,-144.7953423173,1993.719335871
47,21.4230914121,-144.5813000735,1993.5286048303
48,21.511451969,-144.3672578298,1993.3378737897
49,21.599812526,-144.153215586,1993.147142749
50,21.7028482711,-143.9502745418,1992.9516982101
51,21.8058840163,-143.7473334976,1992.7562536712
52,21.9089197615,-143.5443924534,1992.5608091323
53,22.0119555067,-143.3414514092,1992.3653645934
54,22.1346918486,-143.1500565859,1992.1696509965
55,22.2574281905,-142.9586617626,1991.9739373996
56,22.3801645323,-142.7672669394,1991.7782238027
57,22.5180229583,-142.5842248843,1991.5845987515
58,22.6558813842,-142.4011828292,1991.3909737003
59,22.7937398102,-142.218140774,1991.1973486491
60,22.949070043,-142.04135549,1991.0112855358
61,23.1044002757,-141.8645702059,1990.8252224226
62,23.2597305085,-141.6877849218,1990.6391593093
63,23.4254301232,-141.512347029,1990.4609314117
64,23.5911297379,-141.3369091363,1990.2827035141
65,23.7568293526,-141.1614712435,1990.1044756166
66,23.9285656905,-140.9869664213,1989.9311127103
67,24.1003020284,-140.8124615991,1989.757749804
68,24.2720383663,-140.6379567769,1989.5843868978
69,24.4469307754,-140.4592218352,1989.4186567983
70,24.6218231845,-140.2804868936,1989.2529266988
71,24.7967155936,-140.101751952,1989.0871965993
72,24.9724884244,-139.9146072524,1988.9320167894
73,25.1482612551,-139.7274625528,1988.7768369795
74,25.3240340858,-139.5403178533,1988.6216571696
75,25.4984693185,-139.3431759379,1988.4777564579
76,25.6729045511,-139.1460340226,1988.3338557463
77,25.8473397838,-138.9488921072,1988.1899550346
78,26.0160413702,-138.7439902956,1988.0501157615
79,26.1847429567,-138.5390884839,1987.9102764884
80,26.3534445431,-138.3341866722,1987.7704372153
81,26.5112373523,-138.1230619013,1987.6271620935
82,26.6690301614,-137.9119371305,1987.4838869718
83,26.8268229705,-137.7008123596,1987.34061185
84,26.976880026,-137.4851690304,1987.1957642244
85,27.1269370815,-137.2695257011,1987.0509165988
86,27.27391327,-137.0529346472,1986.9043344874
87,27.4208894585,-136.8363435933,1986.7577523761
88,27.567865647,-136.6197525393,1986.6111702647
89,27.7117874513,-136.4001489602,1986.4660469299
90,27.8557092556,-136.1805453811,1986.3209235952
91,27.99963106,-135.9609418021,1986.1758002604
92,28.1387348003,-135.733378818,1986.0384494769
93,28.2778385406,-135.505815834,1985.9010986935
94,28.4118357187,-135.2714846285,1985.7702031534
95,28.5458328968,-135.037153423,1985.6393076134
96,28.6798300748,-134.8028222175,1985.5084120733
97,28.8075792205,-134.5626413816,1985.3819473675
98,28.9353283662,-134.3224605456,1985.2554826616
99,29.0530345097,-134.0743175345,1985.1347751233
100,29.1707406531,-133.8261745233,1985.014067585
101,29.2884467966,-133.5780315121,1984.8933600468
102,29.3768089002,-133.3166699799,1984.7755369245
103,29.4651710039,-133.0553084478,1984.6577138023
104,29.5337003607,-132.7884178902,1984.5390834625
105,29.6022297175,-132.5215273326,1984.4204531227
106,29.6651357265,-132.2538541716,1984.3004784881
107,29.7280417355,-131.9861810107,1984.1805038535
108,29.7909477445,-131.7185078497,1984.0605292189
109,29.8506535017,-131.4511477103,1983.9382435763
110,29.9103592589,-131.1837875708,1983.8159579337
111,29.9536113152,-130.9152759286,1983.6893453056
112,29.9968633714,-130.6467642863,1983.5627326774
113,30.0284080832,-130.3844865569,1983.4205520746
114,30.0599527949,-130.1222088275,1983.2783714718
115,30.0914975067,-129.8599310981,1983.1361908691
116,30.1142035717,-129.6083394196,1982.974369789
117,30.1369096366,-129.3567477412,1982.812548709
118,30.1522854002,-129.1096699869,1982.6430902502
119,30.1676611637,-128.8625922327,1982.4736317914
