,3d_x,3d_y,3d_z
0,22.0578125,-146.7421875,1994.8
1,22.3578125,-146.7421875,1994.8
2,22.6578125,-146.7421875,1994.8
3,22.95722595,-146.7371867302,1994.8180714769
4,23.2566393999,-146.7321859604,1994.8361429538
5,23.5560528499,-146.7271851906,1994.8542144306
6,23.8519058309,-146.7167155461,1994.9028086707
7,24.1477588119,-146.7062459015,1994.9514029108
8,24.4403953112,-146.7045368343,1995.0174404638
9,24.7330318104,-146.702827767,1995.0834780167
10,25.0249182008,-146.7112474404,1995.1522635108
11,25.3168045913,-146.7196671138,1995.2210490048
12,25.6112547825,-146.7277361693,1995.2779170556
13,25.9057049738,-146.7358052247,1995.3347851064
14,26.2027937191,-146.7420777216,1995.3760032241
15,26.5008770112,-146.7477189937,1995.4093877561
16,26.7989603034,-146.7533602657,1995.4427722881
17,27.0964897777,-146.7529145248,1995.4811912061
18,27.3940192519,-146.7524687839,1995.5196101242
19,27.6891919579,-146.7287654711,1995.5676853422
20,27.9843646639,-146.7050621583,1995.6157605603
21,28.2746225962,-146.6457033594,1995.6629502388
22,28.5648805284,-146.5863445605,1995.7101399174
23,28.8476768129,-146.4877464646,1995.7275949156
24,29.1304730974,-146.3891483686,1995.7450499138
25,29.4113390618,-146.2839338787,1995.7384000179
26,29.6922050263,-146.1787193888,1995.7317501221
27,29.9718995834,-146.0714106293,1995.7157568458
28,30.2515941405,-145.9641018698,1995.6997635695
29,30.5326443087,-145.8629197259,1995.6719611116
30,30.813694477,-145.7617375819,1995.6441586537
31,31.0947446452,-145.660555438,1995.6163561958
32,31.3797103408,-145.5765470976,1995.574677051
33,31.6646760363,-145.4925387573,1995.5329979061
34,31.9433248337,-145.4020144685,1995.4684982871
35,32.2219736311,-145.3114901797,1995.403998668
36,32.4910332309,-145.217814677,1995.3100208411
37,32.7600928307,-145.1241391743,1995.2160430142
38,33.0210544805,-145.0334803656,1995.0990814918
39,33.2820161303,-144.9428215569,1994.9821199694
40,33.5429777802,-144.8521627482,1994.865158447
41,33.7919737507,-144.7742762735,1994.7170547545
42,34.0409697211,-144.6963897988,1994.5689510619
43,34.2835597896,-144.6283804968,1994.4060867211
44,34.5261498581,-144.5603711949,1994.2432223802
45,34.7521452458,-144.5049348353,1994.0538737738
46,34.9781406335,-144.4494984757,1993.8645251673
47,35.2041360212,-144.3940621161,1993.6751765608
48,35.4317467653,-144.365157685,1993.4818946863
49,35.6593575094,-144.336253254,1993.2886128117
50,35.9063533859,-144.3084881315,1993.1206183624
51,36.1533492623,-144.2807230091,1992.9526239131
52,36.4177885335,-144.2354279215,1992.8183844744
53,36.6822278046,-144.1901328338,1992.6841450357
54,36.9466670758,-144.1448377462,1992.549905597
55,37.2175040756,-144.0641711731,1992.44920692
56,37.4883410753,-143.9835046,1992.348508243
57,37.7564401828,-143.8941489732,1992.2478184198
58,38.0245392904,-143.8047933463,1992.1471285966
59,38.2899323389,-143.7237578821,1992.0331120043
60,38.5553253875,-143.642722418,1991.919095412
61,38.8207184361,-143.5616869538,1991.8050788197
62,39.0674013613,-143.4969450507,1991.6471040737
63,39.3140842865,-143.4322031475,1991.4891293276
64,39.542474796,-143.3806423218,1991.3015679873
65,39.7708653056,-143.329081496,1991.1140066469
66,39.9992558151,-143.2775206703,1990.9264453066
67,40.2135856248,-143.2429909297,1990.7193935505
68,40.4279154344,-143.2084611891,1990.5123417944
69,40.6422452441,-143.1739314485,1990.3052900383
70,40.8477618586,-143.1480914945,1990.0882757117
71,41.0532784731,-143.1222515406,1989.8712613851
72,41.2533718142,-143.0973541936,1989.649129044
73,41.4534651553,-143.0724568467,1989.4269967029
74,41.6535584963,-143.0475594997,1989.2048643617
75,41.8471370675,-143.0229757431,1988.9769982263
76,42.0407156387,-142.9983919864,1988.7491320908
77,42.2342942098,-142.9738082298,1988.5212659553
78,42.4262243335,-142.9460399622,1988.2923735113
79,42.6181544572,-142.9182716947,1988.0634810673
80,42.812212145,-142.8943661495,1987.8359505447
81,43.0062698328,-142.8704606044,1987.6084200221
82,43.2003275207,-142.8465550592,1987.3808894995
83,43.3975175673,-142.8394392987,1987.1549128382
84,43.594707614,-142.8323235382,1986.9289361769
85,43.7918976606,-142.8252077777,1986.7029595156
86,43.9846237915,-142.8318150494,1986.473148762
87,44.1773499224,-142.8384223211,1986.2433380085
88,44.3671818448,-142.8454887593,1986.0111443249
89,44.5570137672,-142.8525551974,1985.7789506414
90,44.7468456896,-142.8596216356,1985.5467569578
91,44.9478162343,-142.8726226622,1985.3244018061
92,45.1487867789,-142.8856236888,1985.1020466544
93,45.3534398464,-142.9057439447,1984.8836152069
94,45.5580929139,-142.9258642006,1984.6651837594
95,45.7627459815,-142.9459844565,1984.4467523119
96,45.946485802,-143.0052922782,1984.2171390269
97,46.1302256225,-143.0646000999,1983.9875257419
98,46.313965443,-143.1239079215,1983.757912457
99,46.4005896823,-143.2796660053,1983.5165917978
100,46.4872139216,-143.435424089,1983.2752711387
101,46.5738381609,-143.5911821727,1983.0339504796
102,46.6604624002,-143.7469402564,1982.7926298204
