,3d_x,3d_y,3d_z
0,-36.7421875,-147.9421875,1938.4
1,-36.6525244247,-147.8525244247,1938.1281157124
2,-36.5628613493,-147.7628613493,1937.8562314248
3,-36.473198274,-147.673198274,1937.5843471372
4,-36.3620171639,-147.4898056274,1937.3745713094
5,-36.2508360538,-147.3064129808,1937.1647954816
6,-36.1396549437,-147.1230203342,1936.9550196538
7,-35.988561309,-146.9184341894,1936.795912071
8,-35.8374676743,-146.7138480446,1936.6368044882
9,-35.6863740396,-146.5092618997,1936.4776969054
10,-35.4961865245,-146.3090004506,1936.3605471674
11,-35.3059990095,-146.1087390015,1936.2433974294
12,-35.1158114944,-145.9084775524,1936.1262476915
13,-34.8958932156,-145.7250017528,1936.0369583772
14,-34.6759749369,-145.5415259533,1935.9476690629
15,-34.4560566581,-145.3580501537,1935.8583797487
16,-34.2158052421,-145.1935591666,1935.7861165338
17,-33.975553826,-145.0290681794,1935.7138533189
18,-33.7353024099,-144.8645771923,1935.641590104
19,-33.4803801563,-144.7176766132,1935.5829823869
20,-33.2254579028,-144.5707760342,1935.5243746699
21,-32.9653171128,-144.431992407,1935.4690043325
22,-32.7051763229,-144.2932087799,1935.4136339952
23,-32.445035533,-144.1544251528,1935.3582636579
24,-32.1837160595,-144.0160466581,1935.307632393
25,-31.922396586,-143.8776681635,1935.2570011281
26,-31.6599993753,-143.7411423851,1935.2069170418
27,-31.3976021647,-143.6046166068,1935.1568329556
28,-31.135204954,-143.4680908285,1935.1067488693
29,-30.8673998022,-143.3408497631,1935.0610311274
30,-30.5995946503,-143.2136086978,1935.0153133854
31,-30.3280710317,-143.0929215907,1934.9739667204
32,-30.056547413,-142.9722344836,1934.9326200554
33,-29.7817668728,-142.8570384937,1934.8976123616
34,-29.5069863326,-142.7418425037,1934.8626046678
35,-29.2310884198,-142.6297892763,1934.8262121424
36,-28.9551905069,-142.5177360488,1934.789819617
37,-28.6768741014,-142.4122582944,1934.7522108183
38,-28.3985576959,-142.30678054,1934.7146020197
39,-28.1176349072,-142.2087802002,1934.6761530901
40,-27.8367121185,-142.1107798603,1934.6377041606
41,-27.5557893298,-142.0127795205,1934.599255231
42,-27.2720335382,-141.9205772312,1934.5679281085
43,-26.9882777467,-141.8283749418,1934.5366009859
44,-26.7051394433,-141.7342885163,1934.505288917
45,-26.4220011398,-141.6402020908,1934.4739768481
46,-26.1403774774,-141.5444834793,1934.4349120276
47,-25.8587538151,-141.4487648678,1934.3958472071
48,-25.578072949,-141.3534693464,1934.3496193474
49,-25.2973920829,-141.258173825,1934.3033914878
50,-25.0122031015,-141.1774680877,1934.2569821258
51,-24.7270141202,-141.0967623504,1934.2105727638
52,-24.4409394468,-141.0214417064,1934.1606920875
53,-24.1548647735,-140.9461210624,1934.1108114111
54,-23.8704626944,-140.863366958,1934.0631961235
55,-23.5860606153,-140.7806128536,1934.0155808359
56,-23.3028100423,-140.6905316934,1933.9749053221
57,-23.0195594692,-140.6004505331,1933.9342298082
58,-22.736798684,-140.5080675134,1933.8953490157
59,-22.4540378988,-140.4156844937,1933.8564682232
60,-22.1712771136,-140.323301474,1933.8175874307
61,-21.8921151788,-140.2220226374,1933.7750291009
62,-21.6129532441,-140.1207438009,1933.7324707711
63,-21.3339643095,-140.019391265,1933.6889640142
64,-21.054975375,-139.9180387292,1933.6454572573
65,-20.7779735516,-139.8130794398,1933.5979858196
66,-20.5009717282,-139.7081201504,1933.5505143819
67,-20.2295726084,-139.5935754228,1933.4937515141
68,-19.9581734886,-139.4790306952,1933.4369886463
69,-19.6927990847,-139.353192397,1933.3758237181
70,-19.4274246808,-139.2273540987,1933.3146587898
71,-19.1620502769,-139.1015158005,1933.2534938616
72,-18.9049234496,-138.9703176431,1933.1718064196
73,-18.6477966224,-138.8391194857,1933.0901189775
74,-18.3926885894,-138.7157607599,1932.9916176257
75,-18.1375805565,-138.5924020342,1932.8931162739
76,-17.8842018269,-138.4730341201,1932.785642926
77,-17.6308230974,-138.3536662059,1932.6781695782
78,-17.3775633953,-138.248171688,1932.5568005954
79,-17.1243036932,-138.1426771702,1932.4354316125
80,-16.8710439911,-138.0371826523,1932.3140626297
81,-16.6218129277,-137.9424903239,1932.176522672
82,-16.3725818643,-137.8477979955,1932.0389827143
83,-16.1295933641,-137.7501033408,1931.8926531437
84,-15.886604864,-137.652408686,1931.7463235731
85,-15.6425630375,-137.5590833473,1931.5988991244
86,-15.398521211,-137.4657580085,1931.4514746757
87,-15.1544793846,-137.3724326697,1931.304050227
88,-14.9142035141,-137.2929525991,1931.1429588725
89,-14.6739276437,-137.2134725285,1930.9818675181
90,-14.4353524462,-137.140095623,1930.8154412436
91,-14.1967772487,-137.0667187175,1930.649014969
92,-13.9582020511,-136.9933418121,1930.4825886944
93,-13.7152511469,-136.9325869715,1930.3174108887
94,-13.4723002428,-136.8718321309,1930.152233083
95,-13.2275280299,-136.8183671671,1929.9872238061
96,-12.9827558171,-136.7649022033,1929.8222145291
97,-12.7379836043,-136.7114372396,1929.6572052522
98,-12.488883032,-136.6703645188,1929.495149902
99,-12.2397824598,-136.6292917981,1929.3330945519
100,-11.9795033891,-136.6050524392,1929.1858965259
101,-11.7192243184,-136.5808130803,1929.0386985
102,-11.458069795,-136.5827644994,1928.8910688727
103,-11.1969152715,-136.5847159185,1928.7434392454
104,-10.9357607481,-136.5866673377,1928.5958096181
105,-10.6753433623,-136.6171904233,1928.4500319572
106,-10.4149259765,-136.6477135089,1928.3042542963
107,-10.1574905805,-136.686864273,1928.1552770008
108,-9.9000551846,-136.7260150371,1928.0062997053
109,-9.6444583177,-136.7827997609,1927.8598560753
110,-9.3888614508,-136.8395844848,1927.7134124453
111,-9.132984606,-136.907667119,1927.5723741696
112,-8.8771077611,-136.9757497532,1927.4313358939
113,-8.6212309163,-137.0438323874,1927.2902976182
114,-8.3670809313,-137.1166802281,1927.1485197032
115,-8.1129309462,-137.1895280688,1927.0067417881
116,-7.8606100287,-137.26750331,1926.8644251821
117,-7.6082891112,-137.3454785512,1926.7221085761
118,-7.3559681937,-137.4234537925,1926.5797919701
119,-7.1112311588,-137.5107401626,1926.4298424007
120,-6.866494124,-137.5980265327,1926.2798928313
121,-6.6246453421,-137.6939397606,1926.1305281118
122,-6.3827965602,-137.7898529885,1925.9811633924
123,-6.1418376627,-137.8820010846,1925.8280375027
124,-5.9008787652,-137.9741491807,1925.674911613
125,-5.6599198677,-138.0662972768,1925.5217857233
126,-5.4230547293,-138.1616601948,1925.364302962
127,-5.1861895909,-138.2570231127,1925.2068202007
128,-4.9504913275,-138.3567670823,1925.050303527
129,-4.7147930641,-138.456511052,1924.8937868533
130,-4.4790948007,-138.5562550216,1924.7372701796
131,-4.2463850253,-138.6582430714,1924.5777565497
132,-4.0136752499,-138.7602311211,1924.4182429197
133,-3.7833346111,-138.86424529,1924.2566129634
134,-3.5529939723,-138.9682594589,1924.0949830071
135,-3.3226533334,-139.0722736278,1923.9333530508
136,-3.0936541849,-139.1803319826,1923.7724717842
137,-2.8646550365,-139.2883903373,1923.6115905175
138,-2.635655888,-139.396448692,1923.4507092508
139,-2.4128113888000002,-139.5113075257,1923.2859434246
140,-2.1899668895,-139.6261663594,1923.1211775983
141,-1.9769203705,-139.7489104682,1922.9492908203
142,-1.7638738515,-139.8716545771,1922.7774040422
143,-1.5508273325,-139.994398686,1922.6055172642
144,-1.3526137119,-140.1304696112,1922.4260846475
145,-1.1544000913,-140.2665405364,1922.2466520309
146,-0.9561864707000001,-140.4026114617,1922.0672194142
147,-0.7614567599000001,-140.5463533587,1921.8899664685
148,-0.566727049,-140.6900952557,1921.7127135228
149,-0.3719973382,-140.8338371527,1921.5354605771
150,-0.1601260814,-140.9610476069,1921.3653780357
151,0.0517451753,-141.0882580611,1921.1952954943
152,0.2636164321,-141.2154685153,1921.0252129529
153,0.4900048507,-141.3265891594,1920.862730688
154,0.7163932692,-141.4377098035,1920.700248423
155,0.9427816877,-141.5488304476,1920.5377661581
156,1.1567422697,-141.6810869692,1920.3742758469
157,1.3707028517,-141.8133434908,1920.2107855357
158,1.5846634336,-141.9456000124,1920.0472952245
159,1.7822433144,-142.0958411616,1919.8788025308
160,1.9798231951,-142.2460823107,1919.7103098372
161,2.1707781712,-142.3989129901,1919.5365888523
162,2.3617331472,-142.5517436694,1919.3628678675
163,2.5526881233,-142.7045743488,1919.1891468827
164,2.754834245,-142.8446061892,1919.0173096657
165,2.9569803668,-142.9846380296,1918.8454724487
166,3.1591264885,-143.12466987,1918.6736352317
167,3.4001178754,-143.2223640911,1918.5240391401
168,3.6411092622,-143.3200583122,1918.3744430486
169,3.9048757238,-143.3831424863,1918.246194693
170,4.1686421854,-143.4462266605,1918.1179463374
171,4.432408647,-143.5093108346,1917.9896979818
172,4.6956936735,-143.5758994533,1917.8622344549
173,4.9589787,-143.6424880719,1917.734770928
174,5.2128527022,-143.7287804245,1917.6002286636
175,5.4667267043,-143.8150727771,1917.4656863992
176,5.7206007065,-143.9013651297,1917.3311441348
177,5.9695685746,-144.0114106598,1917.2050291794
178,6.2185364427,-144.1214561898,1917.0789142241
179,6.47636467,-144.2291447892,1916.96969989
180,6.7341928973,-144.3368333887,1916.8604855559
181,6.9966183791,-144.4424494475,1916.7605950428
182,7.2590438609,-144.5480655064,1916.6607045296
183,7.5214693427,-144.6536815652,1916.5608140165
184,7.7850239405,-144.7575487717,1916.4620690045
185,8.0485785383,-144.8614159782,1916.3633239925
186,8.3168425985,-144.963468216,1916.2760329004
187,8.585106658700001,-145.0655204537,1916.1887418082
188,8.8556418554,-145.169039455,1916.1106743777
189,9.1261770522,-145.2725584562,1916.0326069471
190,9.3967122489,-145.3760774574,1915.9545395165
191,9.6724734567,-145.4712488782,1915.8845526825
192,9.9482346645,-145.566420299,1915.8145658485
193,10.2209784102,-145.6787756115,1915.7599111787
194,10.4937221559,-145.791130924,1915.7052565089
195,10.759681176,-145.9203397455,1915.6545526623
196,11.0256401961,-146.0495485671,1915.6038488158
197,11.2915992163,-146.1787573886,1915.5531449692
198,11.5329243597,-146.3421327677,1915.4819363978
199,11.7742495031,-146.5055081469,1915.4107278263
200,12.0027397125,-146.680409323,1915.32586439
201,12.2312299219,-146.8553104991,1915.2410009538
202,12.4597201313,-147.0302116752,1915.1561375176
203,12.6708146844,-147.2176459287,1915.0546117067
204,12.8819092374,-147.4050801821,1914.9530858957
205,13.0930037905,-147.5925144356,1914.8515600848
206,13.2898795673,-147.7874350191,1914.7364692745
207,13.4867553441,-147.9823556026,1914.6213784641
208,13.683631121,-148.1772761861,1914.5062876538
209,13.8656962961,-148.3794636284,1914.3799052571
210,14.0477614713,-148.5816510707,1914.2535228605
211,14.2298266464,-148.783838513,1914.1271404639
212,14.4039492611,-148.9904302541,1913.9967519385
213,14.5780718758,-149.1970219953,1913.8663634132
214,14.7521944905,-149.4036137365,1913.7359748878
215,14.9289687679,-149.6114715422,1913.6112913386
216,15.1057430453,-149.8193293479,1913.4866077894
217,15.2825173227,-150.0271871536,1913.3619242401
218,15.4671105677,-150.23605992,1913.2510301404
219,15.6517038128,-150.4449326863,1913.1401360406
220,15.8376903946,-150.6512940471,1913.0268930269
221,16.0236769765,-150.8576554078,1912.9136500132
222,16.2096635584,-151.0640167685,1912.8004069994
223,16.4009981186,-151.2677089948,1912.6913172978
224,16.5923326789,-151.4714012211,1912.5822275961
225,16.7836672392,-151.6750934473,1912.4731378944
226,16.9860507065,-151.8657412568,1912.3604687111
227,17.1884341739,-152.0563890663,1912.2477995278
228,17.4036172142,-152.2317672351,1912.1340508702
229,17.6188002545,-152.4071454038,1912.0203022127
230,17.8339832948,-152.5825235726,1911.9065535552
231,18.0538293166,-152.752986971,1911.7942594924
232,18.2736753383,-152.9234503693,1911.6819654296
233,18.49352136,-153.0939137677,1911.5696713668
234,18.705564225,-153.2723628465,1911.4548073182
235,18.9176070901,-153.4508119254,1911.3399432696
236,19.1296499551,-153.6292610042,1911.225079221
237,19.3216818183,-153.8222322272,1911.099040058
238,19.5137136815,-154.0152034502,1910.9730008951
239,19.7057455448,-154.2081746732,1910.8469617322
240,19.874862855,-154.4122235317,1910.7063793764
241,20.0439801651,-154.6162723902,1910.5657970207
242,20.200655957,-154.8277710891,1910.4218491252
243,20.3573317489,-155.0392697879,1910.2779012297
244,20.5140075408,-155.2507684868,1910.1339533343
245,20.6667489832,-155.4687271499,1909.9955189709
246,20.8194904255,-155.6866858131,1909.8570846076
247,20.9722318679,-155.9046444762,1909.7186502443
248,21.1139252236,-156.130548302,1909.5812076947
249,21.2556185793,-156.3564521278,1909.4437651451
250,21.3973119349,-156.5823559536,1909.3063225955
251,21.5245506043,-156.8153643418,1909.1666178637
252,21.6517892736,-157.0483727299,1909.0269131319
253,21.779027943,-157.281381118,1908.8872084001
254,21.8995929398,-157.5150011199,1908.7426892793
255,22.0201579366,-157.7486211218,1908.5981701586
256,22.1382930447,-157.983031974,1908.4529267471
257,22.2564281527,-158.2174428263,1908.3076833356
258,22.3745632607,-158.4518536786,1908.1624399241
259,22.4993018462,-158.6835609942,1908.0183843612
260,22.6240404317,-158.9152683097,1907.8743287983
261,22.7487790172,-159.1469756253,1907.7302732353
262,22.8840328438,-159.3732336464,1907.5870471543
263,23.0192866704,-159.5994916675,1907.4438210733
264,23.1684001723,-159.8168738902,1907.3006074818
265,23.3175136743,-160.0342561129,1907.1573938903
266,23.4666271763,-160.2516383355,1907.0141802988
267,23.6265380195,-160.4677314547,1906.8810176688
268,23.7864488628,-160.6838245739,1906.7478550388
269,23.9582612093,-160.896325723,1906.6240657855
270,24.1300735558,-161.1088268721,1906.5002765322
271,24.3018859023,-161.3213280212,1906.3764872789
272,24.4945771184,-161.5198040498,1906.2603952408
273,24.6872683345,-161.7182800783,1906.1443032027
274,24.8959616071,-161.8942560415,1906.0198862489
275,25.1046548797,-162.0702320047,1905.8954692952
276,25.3133481522,-162.2462079679,1905.7710523415
277,25.5426950801,-162.3840130006,1905.6353697721
278,25.772042008,-162.5218180333,1905.4996872027
279,26.0194259624,-162.6251047259,1905.3650282327
280,26.2668099168,-162.7283914186,1905.2303692626
281,26.5141938712,-162.8316781112,1905.0957102925
282,26.7839594923,-162.879719288,1904.9735687557
283,27.0537251134,-162.9277604648,1904.8514272189
284,27.3367000515,-162.9489783393,1904.7540876782
285,27.619674989700002,-162.9701962137,1904.6567481375
286,27.9162677202,-162.9603866708,1904.6127421716
287,28.2128604508,-162.9505771279,1904.5687362057
288,28.5105675995,-162.9135603922,1904.568272607
289,28.8082747481,-162.8765436565,1904.5678090083
290,29.1030559905,-162.8220397486,1904.5562615779
291,29.3978372329,-162.7675358406,1904.5447141476
292,29.687802714,-162.7098836303,1904.493760812
293,29.9777681951,-162.6522314199,1904.4428074764
294,30.2678305645,-162.6442676746,1904.3666471152
295,30.557892934,-162.6363039293,1904.2904867541
296,30.8447382504,-162.6719913858,1904.2101987108
297,31.1315835668,-162.7076788422,1904.1299106675
298,31.4137032541,-162.7542908863,1904.0391593623
299,31.6958229414,-162.8009029303,1903.9484080571
300,31.9845265871,-162.8404621653,1903.8770969648
301,32.2732302328,-162.8800214003,1903.8057858726
302,32.5678296716,-162.9010038117,1903.7531464477
303,32.8624291105,-162.921986223,1903.7005070228
304,33.1605024495,-162.9286752421,1903.6672272756
305,33.4585757886,-162.9353642611,1903.6339475284
306,33.7566491276,-162.9420532802,1903.6006677812
307,34.0566490419,-162.942097963,1903.6004454719
308,34.3566489562,-162.9421426457,1903.6002231627
309,34.6566488705,-162.9421873285,1903.6000008534
