,3d_x,3d_y,3d_z
0,-36.1421875,-147.9421875,1939.6
1,-35.9300554656,-147.7300554656,1939.6
2,-35.7179234313,-147.5179234313,1939.6
3,-35.5057913969,-147.3057913969,1939.6
4,-35.2936593626,-147.0936593626,1939.6
5,-35.0503204829,-146.9182570151,1939.6044951233
6,-34.8069816033,-146.7428546676,1939.6089902465
7,-34.5636427236,-146.56745232,1939.6134853697
8,-34.2997620057,-146.4248711013,1939.6196142176
9,-34.0358812877,-146.2822898826,1939.6257430655
10,-33.7616391615,-146.1607080454,1939.6287618464
11,-33.4873970352,-146.0391262083,1939.6317806274
12,-33.211933899900004,-145.92031163,1939.6300038084
13,-32.9364707645,-145.8014970518,1939.6282269893
14,-32.6566101265,-145.6935565026,1939.6230442202
15,-32.3767494884,-145.5856159534,1939.6178614511
16,-32.0964915114,-145.4786526311,1939.6140780656
17,-31.8162335344,-145.3716893089,1939.61029468
18,-31.5379018167,-145.2597905518,1939.6071129967
19,-31.259570099,-145.1478917948,1939.6039313134
20,-30.9798766039,-145.0394153121,1939.6018333365
21,-30.7001831088,-144.9309388294,1939.5997353596
22,-30.4210010148,-144.8211332189,1939.5994416622
23,-30.1418189207,-144.7113276084,1939.5991479649
24,-29.8615499392,-144.6044345475,1939.6039616489
25,-29.5812809577,-144.4975414867,1939.608775333
26,-29.2995448009,-144.3951892128,1939.6209716428
27,-29.0178086441,-144.2928369389,1939.6331679527
28,-28.7360724873,-144.190484665,1939.6453642626
29,-28.4541120676,-144.0898784657,1939.6647733938
30,-28.1721516479,-143.9892722664,1939.6841825249
31,-27.8893167569,-143.8944800179,1939.7161020186
32,-27.6064818659,-143.7996877694,1939.7480215122
33,-27.3233206414,-143.7139748418,1939.7977509296
34,-27.0401594168,-143.6282619142,1939.847480347
35,-26.7584148086,-143.5464174193,1939.9101018641
36,-26.4766702004,-143.4645729244,1939.9727233813
37,-26.1927415676,-143.3901900982,1940.0347856617
38,-25.9088129349,-143.3158072719,1940.0968479421
39,-25.6231941421,-143.2488555812,1940.1596123931
40,-25.3375753493,-143.1819038904,1940.2223768441
41,-25.0523352751,-143.116189124,1940.2881010373
42,-24.7670952009,-143.0504743576,1940.3538252304
43,-24.4815132092,-142.9819198597,1940.4150069824
44,-24.1959312174,-142.9133653618,1940.4761887345
45,-23.9109996417,-142.8431083293,1940.5384618955
46,-23.6260680661,-142.7728512968,1940.6007350565
47,-23.3411364904,-142.7025942644,1940.6630082175
48,-23.057395054,-142.6315752222,1940.7296947447
49,-22.7736536176,-142.56055618,1940.7963812719
50,-22.4954316561,-142.4784390568,1940.8728621076
51,-22.2172096946,-142.3963219336,1940.9493429433
52,-21.9479564641,-142.2971887921,1941.0369518361
53,-21.6787032336,-142.1980556505,1941.124560729
54,-21.4122502286,-142.0886051282,1941.2083663331
