,3d_x,3d_y,3d_z
0,-13.3421875,-160.5421875,1998.4
1,-13.5487998932,-160.7487998932,1998.3320100158
2,-13.7554122864,-160.9554122864,1998.2640200316
3,-13.9620246796,-161.1620246796,1998.1960300474
4,-14.1686370728,-161.3686370728,1998.1280400632
5,-14.3414759403,-161.5476675519,1997.9604846591
6,-14.5143148078,-161.726698031,1997.7929292551
7,-14.6871536753,-161.9057285101,1997.625373851
8,-14.8392919092,-162.0531492704,1997.4129566266
9,-14.9914301431,-162.2005700307,1997.2005394022
10,-15.143568377,-162.347990791,1996.9881221778
11,-15.2843105732,-162.4824120926,1996.7598185469
12,-15.4250527693,-162.6168333941,1996.5315149159
13,-15.566103344,-162.7481835879,1996.3016195876
14,-15.7071539188,-162.8795337816,1996.0717242593
15,-15.8482044935,-163.0108839754,1995.841828931
16,-15.9920024251,-163.1337678605,1995.6089733843
17,-16.1358003568,-163.2566517456,1995.3761178376
18,-16.2795982884,-163.3795356307,1995.1432622909
19,-16.4291928276,-163.4982355803,1994.9118928983
20,-16.5787873668,-163.6169355299,1994.6805235058
21,-16.727068824,-163.7293431723,1994.4452000446
22,-16.8753502812,-163.8417508147,1994.2098765834
23,-17.0143238981,-163.9544080535,1993.9690557364
24,-17.1532975149,-164.0670652924,1993.7282348894
25,-17.2922711318,-164.1797225312,1993.4874140424
26,-17.4219268902,-164.2886077472,1993.2397582448
27,-17.5515826485,-164.3974929632,1992.9921024473
28,-17.6730773929,-164.5026593327,1992.7387665797
29,-17.7945721372,-164.6078257023,1992.4854307121
30,-17.9160668816,-164.7129920718,1992.2320948445
31,-18.0369310802,-164.806707206,1991.9740070317
32,-18.1577952788,-164.9004223403,1991.7159192189
33,-18.2846695313,-164.9901015376,1991.4592860846
34,-18.4115437837,-165.0797807349,1991.2026529503
35,-18.5438906829,-165.1663560897,1990.9477235361
36,-18.6762375821,-165.2529314445,1990.6927941219
37,-18.8085844812,-165.3395067994,1990.4378647077
38,-18.9418475456,-165.4218962199,1990.1820269875
39,-19.0751106099,-165.5042856405,1989.9261892674
40,-19.213143998,-165.5802282173,1989.6708864887
41,-19.3511773861,-165.6561707941,1989.41558371
42,-19.4892107742,-165.7321133708,1989.1602809313
43,-19.6313085291,-165.8058446767,1988.9065647068
44,-19.773406284100002,-165.8795759826,1988.6528484824
45,-19.9167090502,-165.9635750923,1988.4030316158
46,-20.0600118163,-166.047574202,1988.1532147493
47,-20.1926922819,-166.1420249531,1987.9012723955
48,-20.3253727475,-166.2364757043,1987.6493300416
49,-20.4580532131,-166.3309264555,1987.3973876878
50,-20.5733768638,-166.4353770603,1987.140891047
51,-20.6887005146,-166.539827665,1986.8843944062
52,-20.795544265,-166.6326939365,1986.619894371
53,-20.9023880154,-166.7255602079,1986.3553943358
54,-21.00034303,-166.8019448554,1986.082318887
55,-21.0982980445,-166.878329503,1985.8092434382
56,-21.1969151748,-166.9401109111,1985.5327335482
57,-21.295532305,-167.0018923193,1985.2562236583
58,-21.3966806589,-167.0502977352,1984.9779685124
59,-21.4978290127,-167.0987031511,1984.6997133665
60,-21.5998847629,-167.1395744197,1984.4205822803
61,-21.7019405131,-167.1804456884,1984.1414511942
62,-21.8039962633,-167.2213169571,1983.862320108
63,-21.9115413762,-167.2595083604,1983.5848755814
64,-22.0190864892,-167.2976997637,1983.3074310547
65,-22.1310693167,-167.3316806138,1983.0311971897
66,-22.2430521442,-167.365661464,1982.7549633247
67,-22.3532393087,-167.3900583594,1982.4770000532
68,-22.4634264732,-167.4144552549,1982.1990367818
69,-22.5877861526,-167.4268419981,1981.9263075411
70,-22.712145832,-167.4392287413,1981.6535783004
71,-22.843669543,-167.4428144713,1981.3839699623
72,-22.975193254,-167.4464002014,1981.1143616242
73,-23.1158448781,-167.4478835044,1980.8493806429
74,-23.2564965022,-167.4493668075,1980.5843996615
75,-23.3971481263,-167.4508501105,1980.3194186802
76,-23.5495130977,-167.4522760355,1980.060994838
77,-23.7018780691,-167.4537019604,1979.8025709958
78,-23.8610330449,-167.4560548687,1979.5482795145
79,-24.0201880207,-167.4584077771,1979.2939880331
80,-24.1815357734,-167.4579469203,1979.0410716629
81,-24.3428835261,-167.4574860635,1978.7881552927
82,-24.5042312787,-167.4570252068,1978.5352389224
83,-24.6734849394,-167.4486028814,1978.2876863769
84,-24.8427386001,-167.440180556,1978.0401338314
85,-25.0163533016,-167.4305607902,1977.7956642106
86,-25.1899680032,-167.4209410245,1977.5511945898
87,-25.3628869079,-167.4005828664,1977.3068902759
88,-25.5358058126,-167.3802247083,1977.0625859619
89,-25.7087247173,-167.3598665502,1976.818281648
90,-25.8732920687,-167.3120703177,1976.5720437407
91,-26.03785942,-167.2642740853,1976.3258058333
92,-26.1917280984,-167.1998889317,1976.0764486962
93,-26.3455967768,-167.1355037782,1975.8270915591
94,-26.4994654551,-167.0711186247,1975.577734422
95,-26.6444041428,-167.0140313963,1975.3213483359
96,-26.7893428305,-166.9569441679,1975.0649622497
97,-26.9337720471,-166.9352138723,1974.8029164605
98,-27.0782012637,-166.9134835767,1974.5408706713
99,-27.2251588274,-166.903564153,1974.2795182665
100,-27.3721163912,-166.8936447293,1974.0181658617
101,-27.5190739549,-166.8837253056,1973.7568134569
102,-27.6675953651,-166.8615277614,1973.4971046589
103,-27.8161167753,-166.8393302173,1973.2373958609
104,-27.9674596423,-166.8075046751,1972.9803307496
105,-28.1188025094,-166.7756791328,1972.7232656383
106,-28.2691290028,-166.7544442134,1972.4645166797
107,-28.4194554961,-166.7332092941,1972.205767721
108,-28.5697819895,-166.7119743747,1971.9470187624
109,-28.7443430404,-166.7304334091,1971.7037335316
110,-28.9189040914,-166.7488924435,1971.4604483008
111,-29.1138235159,-166.7863054299,1971.2354890013
112,-29.3087429404,-166.8237184162,1971.0105297019
113,-29.5017661258,-166.8778317117,1970.7873396457
114,-29.6947893111,-166.9319450071,1970.5641495895
115,-29.8878124964,-166.9860583025,1970.3409595333
116,-30.08114192,-167.0396758693,1970.1179149402
117,-30.2744713436,-167.0932934361,1969.8948703472
118,-30.4730534452,-167.1340259392,1969.6737233099
119,-30.6716355468,-167.1747584423,1969.4525762726
120,-30.8768540763,-167.1919446365,1969.2344249721
121,-31.0820726058,-167.2091308307,1969.0162736717
122,-31.2872911353,-167.2263170248,1968.7981223713
123,-31.494696801,-167.2266627639,1968.5813672783
124,-31.7021024667,-167.2270085029,1968.3646121854
125,-31.9056798013,-167.2257953733,1968.1442606546
126,-32.109257136,-167.2245822436,1967.9239091238
127,-32.2972493265,-167.2224691811,1967.6901261661
128,-32.485241517,-167.2203561186,1967.4563432085
129,-32.6732337075,-167.2182430561,1967.2225602509
130,-32.8340050127,-167.1974513017,1966.9701314681
131,-32.9947763179,-167.1766595474,1966.7177026854
132,-33.1456381324,-167.1630889211,1966.4587498884
133,-33.2964999468,-167.1495182948,1966.1997970915
134,-33.4444238422,-167.1584246466,1965.9389538472
135,-33.5923477376,-167.1673309984,1965.678110603
136,-33.7402716329,-167.1762373502,1965.4172673587
137,-33.8996461059,-167.2024134845,1965.1644540138
138,-34.0590205788,-167.2285896188,1964.9116406688
139,-34.237002146,-167.2362446756,1964.6702613784
140,-34.4149837132,-167.2438997324,1964.4288820881
141,-34.5929652805,-167.2515547892,1964.1875027977
142,-34.7926879432,-167.2191621709,1963.9660043185
143,-34.9924106059,-167.1867695527,1963.7445058393
144,-35.1951019629,-167.1237216468,1963.5325125012
145,-35.3977933198,-167.0606737408,1963.3205191632
146,-35.6004846767,-166.9976258349,1963.1085258251
147,-35.7877473556,-166.8996641603,1962.8956028357
148,-35.9750100345,-166.8017024857,1962.6826798464
149,-36.1504411526,-166.6937638135,1962.4645671099
150,-36.3258722708,-166.5858251412,1962.2464543733
151,-36.5013033889,-166.477886469,1962.0283416368
152,-36.6569494784,-166.3597249264,1961.8007188245
153,-36.8125955679,-166.2415633839,1961.5730960122
154,-36.9497999776,-166.1132066809,1961.3392167555
155,-37.0870043874,-165.9848499779,1961.1053374987
156,-37.2242087972,-165.8564932749,1960.871458242
157,-37.3443281407,-165.7183851534,1960.6337662352
158,-37.4644474841,-165.5802770319,1960.3960742284
159,-37.5845668276,-165.4421689104,1960.1583822216
160,-37.6972658972,-165.2999383521,1959.9194902209
161,-37.8099649669,-165.1577077939,1959.6805982202
162,-37.9173133379,-165.0147423874,1959.4396890676
163,-38.0246617089,-164.8717769808,1959.1987799151
164,-38.1320100799,-164.7288115743,1958.9578707625
165,-38.2268074113,-164.5817542478,1958.7141750328
166,-38.3216047426,-164.4346969213,1958.470479303
167,-38.4158385967,-164.2882467236,1958.2262001178
168,-38.5100724508,-164.141796526,1957.9819209325
169,-38.6057337088,-163.9964996435,1957.7375078813
170,-38.7013949669,-163.8512027609,1957.49309483
171,-38.7970562249,-163.7059058784,1957.2486817787
172,-38.8870635971,-163.5458660978,1957.0114351947
173,-38.9770709693,-163.3858263172,1956.7741886108
