,3d_x,3d_y,3d_z
0,51.36015625,-167.43984375,1411.6000488281
1,51.5722882844,-167.2277117156,1411.6000488281
2,51.7844203187,-167.0155796813,1411.6000488281
3,51.9965523531,-166.8034476469,1411.6000488281
4,52.2086843874,-166.5913156126,1411.6000488281
5,52.4360664004,-166.3956772568,1411.6048502787
6,52.6634484134,-166.2000389011,1411.6096517292
7,52.8908304264,-166.0044005454,1411.6144531798
8,53.1601750054,-165.881693478,1411.5654993915
9,53.4295195844,-165.7589864106,1411.5165456033
10,53.7029280794,-165.7064190915,1411.4048116701
11,53.9763365744,-165.6538517724,1411.2930777368
12,54.2409652822,-165.6385427555,1411.1525883031
13,54.50559399,-165.6232337386,1411.0120988693
14,54.7655187706,-165.6485404276,1410.8644551091
15,55.0254435512,-165.6738471166,1410.7168113489
16,55.2853683318,-165.6991538055,1410.5691675887
17,55.5421716402,-165.7697757191,1410.431092949
18,55.7989749486,-165.8403976327,1410.2930183094
19,56.0433446605,-165.9393281358,1410.1498533714
20,56.2877143723,-166.038258639,1410.0066884333
21,56.5312187506,-166.1435947276,1409.8666529871
22,56.7747231288,-166.2489308163,1409.7266175409
23,57.0182275071,-166.354266905,1409.5865820947
24,57.2561346053,-166.4700133311,1409.445150212
25,57.4940417036,-166.5857597571,1409.3037183293
26,57.7335098157,-166.69481108,1409.1596251919
27,57.9729779278,-166.803862403,1409.0155320544
28,58.2169686448,-166.9099568401,1408.8769228902
29,58.4609593619,-167.0160512772,1408.7383137259
30,58.7049500789,-167.1221457143,1408.5997045617
31,58.9629837759,-167.2062035381,1408.4718261292
32,59.2210174728,-167.290261362,1408.3439476967
33,59.4896455915,-167.3592778289,1408.2295988395
34,59.7582737102,-167.4282942958,1408.1152499822
35,60.028946411,-167.4996963333,1408.0073702435
36,60.2996191119,-167.5710983708,1407.8994905048
37,60.5682627042,-167.6525694183,1407.7936931098
38,60.8369062964,-167.7340404657,1407.6878957148
39,61.1055498886,-167.8155115131,1407.5820983198
40,61.3763548377,-167.8978500804,1407.4826747818
41,61.6471597867,-167.9801886476,1407.3832512437
42,61.9127933326,-168.0656231584,1407.2730706481
43,62.1784268785,-168.1510576693,1407.1628900524
44,62.4343189641,-168.2514689583,1407.0427367606
45,62.6902110497,-168.3518802474,1406.9225834687
46,62.9424340246,-168.4462583644,1406.7903853524
47,63.1946569996,-168.5406364813,1406.6581872361
48,63.4532166459,-168.6223598818,1406.5298587705
49,63.7117762923,-168.7040832823,1406.4015303048
50,64.0065048346,-168.7362080459,1406.3556708902
51,64.3012333769,-168.7683328095,1406.3098114755
52,64.5944885294,-168.7413577325,1406.367028263
53,64.8877436818,-168.7143826555,1406.4242450506
54,65.1761068915,-168.6699093344,1406.494021716
55,65.4644701011,-168.6254360134,1406.5637983814
56,65.755823523,-168.5759591981,1406.6154242304
57,66.047176945,-168.5264823828,1406.6670500794
58,66.3385303669,-168.4770055675,1406.7186759283
59,66.6315972335,-168.4167487422,1406.7406059698
60,66.9246641,-168.3564919169,1406.7625360113
61,67.2194835375,-168.3032745611,1406.7467432164
62,67.5143029749,-168.2500572054,1406.7309504216
63,67.8033564014,-168.2200494863,1406.6564678505
64,68.092409828,-168.1900417672,1406.5819852794
65,68.3735605478,-168.20884049,1406.4790247007
66,68.6547112676,-168.2276392128,1406.3760641219
67,68.920130208,-168.2629524783,1406.2407653439
68,69.1855491484,-168.2982657438,1406.1054665658
69,69.4322780728,-168.3513770774,1405.943281412
70,69.6790069973,-168.4044884109,1405.7810962583
71,69.9257359217,-168.4575997444,1405.6189111045
72,70.1431358314,-168.5644551599,1405.4419387919
73,70.3605357411,-168.6713105753,1405.2649664792
74,70.548760741,-168.8103118227,1405.0772166386
75,70.7369857408,-168.9493130701,1404.8894667979
76,70.9252107407,-169.0883143174,1404.7017169573
77,71.0923789078,-169.2637848473,1404.5248981318
78,71.259547075,-169.4392553771,1404.3480793063
79,71.4070580125,-169.6522831853,1404.196885139
80,71.55456895,-169.8653109936,1404.0456909716
81,71.7020798875,-170.0783388018,1403.8944968043
82,71.8273492153,-170.3258706613,1403.7803233658
83,71.9526185432,-170.5734025208,1403.6661499274
84,72.0641326518,-170.838539053,1403.5809019197
85,72.1756467605,-171.1036755853,1403.4956539119
86,72.2871608692,-171.3688121176,1403.4104059042
87,72.3869818957,-171.6464960472,1403.3563004712
88,72.4868029223,-171.9241799768,1403.3021950382
89,72.5798644777,-172.2032854259,1403.2435461234
90,72.672926033,-172.482390875,1403.1848972086
91,72.7696387815,-172.753361302,1403.0999167876
92,72.8663515301,-173.0243317291,1403.0149363666
93,72.9630642786,-173.2953021561,1402.9299559457
94,73.0910927057,-173.5216997886,1402.7804473043
95,73.2191211327,-173.7480974211,1402.6309386629
96,73.3458594608,-173.9507658974,1402.4496574313
97,73.4725977889,-174.1534343736,1402.2683761996
98,73.6090220638,-174.3108100692,1402.0524565209
99,73.7454463387,-174.4681857648,1401.8365368422
100,73.8826117829,-174.5467693405,1401.5815657408
101,74.0197772271,-174.6253529161,1401.3265946394
102,74.1570038532,-174.6332780565,1401.0599374714
103,74.2942304792,-174.641203197,1400.7932803034
104,74.4314782514,-174.6408029779,1400.5265165711
105,74.5687260235,-174.6404027589,1400.2597528388
106,74.7059737956,-174.6400025399,1399.9929891065
107,74.8710221474,-174.6399624769,1399.7424715623
108,75.0360704992,-174.6399224139,1399.491954018
109,75.2011188509,-174.639882351,1399.2414364738
110,75.3661672027,-174.639842288,1398.9909189295
