,3d_x,3d_y,3d_z
0,23.76015625,-162.03984375,1411.0000488281
1,23.6144329258,-161.82183130640001,1411.1457721523
2,23.4687096016,-161.6038188628,1411.2914954765
3,23.3229862774,-161.3858064192,1411.4372188007
4,23.1772629532,-161.1677939755,1411.5829421249
5,23.2695974885,-160.9242149369,1411.7317493341
6,23.3619320237,-160.6806358982,1411.8805565434
7,23.5646655712,-160.5180546782,1412.030444687
8,23.7673991187,-160.3554734581,1412.1803328307
9,24.0108367705,-160.2442696351,1412.3158755156
10,24.2542744224,-160.1330658121,1412.4514182005
11,24.4977120742,-160.0218619891,1412.5869608853
12,24.751125249,-159.9288531367,1412.7178467754
13,25.0045384238,-159.8358442844,1412.8487326654
14,25.2579515986,-159.742835432,1412.9796185554
15,25.5053163212,-159.6635501555,1413.1297003297
16,25.7526810438,-159.584264879,1413.2797821039
17,25.9919159943,-159.4984156691,1413.4391450594
18,26.2311509449,-159.4125664592,1413.5985080149
19,26.4703858955,-159.3267172493,1413.7578709704
20,26.7040439448,-159.2333300863,1413.9212195357
21,26.9377019941,-159.1399429234,1414.084568101
22,27.17748463,-159.0532636742,1414.2426535061
23,27.4172672659,-158.9665844251,1414.4007389111
24,27.6570499018,-158.8799051759,1414.5588243161
25,27.9133003362,-158.8089168086,1414.6977356784
26,28.1695507707,-158.7379284413,1414.8366470407
27,28.4326031117,-158.6705108726,1414.9641552259
28,28.6956554527,-158.6030933038,1415.0916634111
29,28.9627297901,-158.5412905048,1415.2135310129
30,29.2298041275,-158.4794877059,1415.3353986146
31,29.5040206581,-158.4226960337,1415.4430090243
32,29.7782371888,-158.3659043614,1415.5506194339
33,30.0564868645,-158.3084919777,1415.6469570494
34,30.3347365402,-158.2510795939,1415.743294665
35,30.6185692849,-158.1975541358,1415.8243748621
36,30.9024020296,-158.1440286777,1415.9054550593
37,31.1862347743,-158.0905032196,1415.9865352564
38,31.4746286891,-158.0378971418,1416.0502655515
39,31.7630226038,-157.985291064,1416.1139958466
40,32.0534763297,-157.9302826528,1416.1650909329
41,32.3439300555,-157.8752742416,1416.2161860193
42,32.6343137126,-157.8176604161,1416.264745043
43,32.9246973698,-157.7600465907,1416.3133040668
