,3d_x,3d_y,3d_z
0,36.96015625,-157.23984375,1416.4000488281
1,37.1722882844,-157.23984375,1416.1879167938
2,37.3844203187,-157.23984375,1415.9757847594
3,37.5965523531,-157.23984375,1415.7636527251
4,37.8086843874,-157.23984375,1415.5515206907
5,38.0315461661,-157.2453249838,1415.3507656566
6,38.2544079447,-157.2508062175,1415.1500106226
7,38.4772697233,-157.2562874513,1414.9492555885
8,38.7200561174,-157.2811178469,1414.7747900667
9,38.9628425116,-157.3059482425,1414.600324545
10,39.2056289057,-157.3307786381,1414.4258590232
11,39.4459875838,-157.3775294179,1414.2525325381
12,39.6863462619,-157.4242801977,1414.0792060529
13,39.8973814612,-157.480483495,1413.8735234479
14,40.1084166605,-157.5366867923,1413.6678408428
15,40.3194518598,-157.5928900895,1413.4621582378
16,40.4717424182,-157.6594811367,1413.2124119299
17,40.6240329766,-157.7260721838,1412.9626656221
18,40.746601055,-157.7863554952,1412.6955645392
19,40.8691691334,-157.8466388066,1412.4284634562
20,40.9739690904,-157.9035559207,1412.1531864845
21,41.0787690475,-157.9604730349,1411.8779095129
22,41.1835690045,-158.017390149,1411.6026325412
23,41.2896594358,-158.0661509621,1411.3262863752
24,41.3957498672,-158.1149117753,1411.0499402092
25,41.50874289,-158.1580439154,1410.7754002389
26,41.6217359128,-158.2011760554,1410.5008602686
27,41.7347289356,-158.2443081955,1410.2263202983
28,41.8622340452,-158.2794019943,1409.9570418693
29,41.9897391548,-158.314495793,1409.6877634403
30,42.1219936348,-158.3362787496,1409.4193714596
31,42.2542481147,-158.3580617062,1409.1509794788
32,42.3943168215,-158.3740628219,1408.8861687508
33,42.5343855283,-158.3900639375,1408.6213580228
34,42.6744542351,-158.4060650532,1408.3565472947
35,42.8207485809,-158.405343341,1408.0946361581
36,42.9670429268,-158.4046216288,1407.8327250214
37,43.1242414376,-158.3841336992,1407.5780313369
38,43.2814399483,-158.3636457697,1407.3233376523
39,43.4386384591,-158.3431578401,1407.0686439677
40,43.6135391132,-158.2878186967,1406.8312680203
41,43.7884397673,-158.2324795534,1406.5938920729
42,43.9706882128,-158.1496660468,1406.3704476118
43,44.1529366584,-158.0668525402,1406.1470031506
44,44.3351851039,-157.9840390336,1405.9235586894
45,44.5236536165,-157.8733811493,1405.7180484649
46,44.7121221292,-157.7627232649,1405.5125382404
47,44.8977781342,-157.6331472824,1405.3157085867
48,45.0834341392,-157.5035713,1405.118878933
49,45.2690901442,-157.3739953175,1404.9220492793
