,3d_x,3d_y,3d_z
0,63.96015625,-137.43984375,1384.0000488281
1,64.2453130198,-137.3466470944,1384.0000488281
2,64.5304697897,-137.2534504389,1384.0000488281
3,64.8156265595,-137.1602537833,1384.0000488281
4,65.0963196658,-137.1910060539,1383.898729146
5,65.377012772,-137.2217583245,1383.7974094639
6,65.6284578855,-137.3104112592,1383.6598739701
7,65.879902999,-137.399064194,1383.5223384763
8,66.1160617112,-137.5142641008,1383.3775695428
9,66.3522204234,-137.6294640077,1383.2328006094
10,66.5883791357,-137.7446639145,1383.0880316759
11,66.8218293997,-137.8685331468,1382.9460549612
12,67.0552796637,-137.992402379,1382.8040782465
13,67.2895210829,-138.1160640117,1382.66322812
14,67.5237625021,-138.2397256444,1382.5223779935
15,67.7580039213,-138.3633872771,1382.381527867
16,67.9844693872,-138.4949469448,1382.2352218637
17,68.210934853,-138.6265066125,1382.0889158603
18,68.4374003188,-138.7580662802,1381.9426098569
19,68.6506331183,-138.8977346946,1381.7844184942
20,68.8638659178,-139.037403109,1381.6262271314
21,69.0770987173,-139.1770715234,1381.4680357687
22,69.2708115896,-139.3297382912,1381.2972488222
23,69.464524462,-139.4824050591,1381.1264618758
24,69.6582373343,-139.635071827,1380.9556749293
25,69.8351960127,-139.799087345,1380.7773927486
26,70.0121546911,-139.963102863,1380.5991105678
27,70.1891133696,-140.1271183811,1380.420828387
28,70.3557021829,-140.2957573384,1380.2369559602
29,70.5222909963,-140.4643962957,1380.0530835335
30,70.6888798096,-140.6330352531,1379.8692111067
31,70.8476510715,-140.8017972122,1379.6786564228
32,71.0064223334,-140.9705591714,1379.4881017389
33,71.1651935952,-141.1393211306,1379.2975470551
34,71.3180768609,-141.3045940517,1379.0992756032
35,71.4709601266,-141.4698669728,1378.9010041513
36,71.6238433923,-141.6351398939,1378.7027326995
37,71.766167747,-141.7874152634,1378.4869643285
38,71.9084921017,-141.9396906328,1378.2711959575
39,72.0508164564,-142.0919660023,1378.0554275866
40,72.1658932761,-142.2316203993,1377.816149558
41,72.2809700958,-142.3712747964,1377.5768715295
42,72.3645110478,-142.4802868669,1377.3101558047
43,72.4480519998,-142.5892989373,1377.04344008
44,72.5315929518,-142.6983110078,1376.7767243552
45,72.5675931429,-142.7553133044,1376.4843979547
46,72.6035933339,-142.812315601,1376.1920715542
47,72.6147633979,-142.844290536,1375.8939896306
48,72.6259334618,-142.8762654711,1375.5959077069
49,72.6234640129,-142.8869821468,1375.2961093502
50,72.620994564,-142.8976988225,1374.9963109935
51,72.6185251151,-142.9084154982,1374.6965126368
52,72.6258525331,-142.8947960054,1374.3969115381
53,72.633179951,-142.8811765127,1374.0973104393
54,72.8455001018,-142.9816048188,1373.9106709235
55,73.0578202527,-143.082033125,1373.7240314076
56,73.3104830774,-143.2227026632,1373.8038660995
57,73.563145902,-143.3633722015,1373.8837007915
58,73.8171207891,-143.5155390095,1373.9320952049
59,74.0710956762,-143.6677058176,1373.9804896182
60,74.3250705633,-143.8198726257,1374.0288840316
61,74.5607525463,-143.9944541447,1374.0919339811
62,74.7964345292,-144.1690356637,1374.1549839305
63,75.018138655,-144.3675928,1374.19269791
64,75.2398427809,-144.5661499362,1374.2304118894
65,75.4615469067,-144.7647070724,1374.2681258689
66,75.685224597,-144.9627807272,1374.2410128075
67,75.9089022874,-145.1608543821,1374.213899746
68,76.1325799778,-145.3589280369,1374.1867866846
69,76.3593128955,-145.5136595474,1374.0657480805
70,76.5860458131,-145.668391058,1373.9447094764
71,76.7980501122,-145.7939018229,1373.7735334704
72,77.0100544113,-145.9194125879,1373.6023574643
73,77.2220587104,-146.0449233528,1373.4311814583
74,77.4111813146,-146.1655704022,1373.2319907706
75,77.6003039188,-146.2862174515,1373.0328000829
76,77.7894265229,-146.4068645009,1372.8336093951
77,77.9597817353,-146.5541667638,1372.6354146804
78,78.1301369477,-146.7014690267,1372.4372199656
79,78.3004921601,-146.8487712895,1372.2390252508
80,78.4686298954,-147.0432461103,1372.0843991015
81,78.6367676307,-147.237720931,1371.9297729521
82,78.804905366,-147.4321957517,1371.7751468028
83,78.9712753105,-147.6742263573,1371.7139730536
84,79.1376452549,-147.9162569628,1371.6527993045
85,79.3083920696,-148.161361599,1371.680534527
86,79.4791388844,-148.4064662352,1371.7082697495
87,79.6498856991,-148.6515708714,1371.736004972
88,79.813798083,-148.8869832589,1371.8238328618
89,79.9777104669,-149.1223956464,1371.9116607516
90,80.1257059758,-149.3679688256,1371.9999282032
91,80.2737014847,-149.6135420048,1372.0881956548
92,80.4216969935,-149.859115184,1372.1764631064
93,80.5688017898,-150.1090142536,1372.2533437536
94,80.715906586,-150.3589133233,1372.3302244008
95,80.8630113822,-150.6088123929,1372.407105048
96,81.0417083087,-150.8497602963,1372.4104986176
97,81.2204052352,-151.0907081997,1372.4138921871
98,81.3991021616,-151.3316561031,1372.4172857566
99,81.5888176679,-151.5335757598,1372.3022358591
100,81.7785331742,-151.7354954165,1372.1871859616
101,81.9682486805,-151.9374150731,1372.072136064
102,82.1326368356,-152.1005253295,1371.8814227223
103,82.2970249907,-152.2636355859,1371.6907093805
104,82.4614131458,-152.4267458423,1371.4999960388
105,82.6238417438,-152.5787516211,1371.2987221116
106,82.7862703418,-152.7307573998,1371.0974481843
107,82.9486989397,-152.8827631786,1370.8961742571
108,83.1330946244,-153.0651715303,1370.745424714
109,83.317490309,-153.247579882,1370.594675171
110,83.5018859936,-153.4299882337,1370.443925628
111,83.7087999723,-153.6462191227,1370.4231697118
112,83.9157139509,-153.8624500118,1370.4024137956
113,84.1087953764,-154.0756408903,1370.4876734723
114,84.3018768018,-154.2888317687,1370.5729331491
115,84.4949582273,-154.5020226472,1370.6581928259
116,84.660637858,-154.6978089472,1370.813814112
117,84.8263174887,-154.8935952472,1370.969435398
118,84.9919971195,-155.0893815472,1371.1250566841
119,85.1519708413,-155.2882319122,1371.2827492352
120,85.3119445632,-155.4870822772,1371.4404417863
121,85.4719182851,-155.6859326422,1371.5981343373
122,85.6503046083,-155.9047435718,1371.6996237299
123,85.8286909314,-156.1235545013,1371.8011131224
124,86.0070772546,-156.3423654309,1371.902602515
125,86.1839284798,-156.574764957,1371.833943179
126,86.3607797049,-156.8071644832,1371.7652838429
127,86.4894236316,-156.9917132385,1371.5668084112
128,86.6180675584,-157.1762619938,1371.3683329794
129,86.7467114851,-157.3608107492,1371.1698575476
130,86.8176611446,-157.474441588,1370.901428454
131,86.888610804,-157.5880724268,1370.6329993604
132,86.9563309257,-157.690185757,1370.3591620859
133,87.0240510473,-157.7922990873,1370.0853248114
134,87.091771169,-157.8944124175,1369.8114875369
135,87.1707662497,-158.0134960817,1369.5477094897
136,87.2497613304,-158.1325797458,1369.2839314426
137,87.3312596005,-158.2669547286,1369.0283900644
138,87.4127578706,-158.4013297114,1368.7728486862
139,87.520429374,-158.5706298666,1368.5498143732
140,87.6281008775,-158.7399300219,1368.3267800602
141,87.735772381,-158.9092301771,1368.1037457472
142,87.8887714195,-159.1325058984,1367.9743655072
143,88.041770458,-159.3557816197,1367.8449852672
144,88.1998977835,-159.6058570094,1367.7954065582
145,88.3580251089,-159.8559323992,1367.7458278492
146,88.5071484462,-160.1162430425,1367.7450537625
147,88.6562717836,-160.3765536859,1367.7442796759
148,88.8072002444,-160.6284325449,1367.8057421858
149,88.9581287052,-160.8803114038,1367.8672046957
150,89.109057166,-161.1321902628,1367.9286672056
151,89.2474135742,-161.3661504489,1368.0556323017
152,89.3857699825,-161.600110635,1368.1825973977
153,89.5324404564,-161.8270918913,1368.3128559152
154,89.6791109303,-162.0540731476,1368.4431144326
155,89.8257814042,-162.2810544039,1368.5733729501
156,89.9920914681,-162.4967613012,1368.6991167256
157,90.1584015321,-162.7124681985,1368.8248605012
158,90.3303341065,-162.9285698139,1368.9420751832
159,90.5022666809,-163.1446714292,1369.0592898653
160,90.6741992553,-163.3607730446,1369.1765045474
161,90.8346154678,-163.5947695923,1369.2740353346
162,90.9950316802,-163.82876614,1369.3715661218
163,91.1475822342,-164.0765205355,1369.4446830689
164,91.3001327882,-164.3242749311,1369.5178000161
165,91.4444100407,-164.5833767485,1369.5630805043
166,91.5886872933,-164.8424785659,1369.6083609925
167,91.7329645458,-165.1015803833,1369.6536414808
168,91.8461825304,-165.3780129398,1369.6813313649
169,91.959400515,-165.6544454963,1369.709021249
170,92.0595918496,-165.9369899223,1369.7204380703
171,92.1597831843,-166.2195343483,1369.7318548916
172,92.2536375544,-166.5016456972,1369.6917981316
173,92.3474919246,-166.7837570461,1369.6517413716
174,92.4413462947,-167.065868395,1369.6116846115
175,92.5214860689,-167.3106951391,1369.4579397516
176,92.6016258431,-167.5555218833,1369.3041948917
177,92.6817656173,-167.8003486274,1369.1504500319
178,92.7619053915,-168.0451753716,1368.996705172
