,3d_x,3d_y,3d_z
0,18.96015625,-171.63984375,1347.4000488281
1,19.1722882844,-171.63984375,1347.1879167938
2,19.3844203187,-171.63984375,1346.9757847594
3,19.5965523531,-171.63984375,1346.7636527251
4,19.8086843874,-171.63984375,1346.5515206907
5,20.0538281167,-171.6837241174,1346.3842512514
6,20.298971846,-171.7276044849,1346.216981812
7,20.5441155753,-171.7714848523,1346.0497123727
8,20.8069260895,-171.8206850797,1345.9136610174
9,21.0697366036,-171.8698853072,1345.777609662
10,21.3349987341,-171.9006669469,1345.6409037999
11,21.6002608647,-171.9314485865,1345.5041979377
12,21.8683145012,-171.9372519584,1345.3696112784
13,22.1363681376,-171.9430553303,1345.2350246191
14,22.4019342793,-171.9326487602,1345.0958616654
15,22.667500421,-171.9222421901,1344.9566987118
16,22.934824007,-171.8925515883,1344.8238206904
17,23.2021475929,-171.8628609865,1344.690942669
18,23.4712199785,-171.8191460246,1344.5656867174
19,23.7402923641,-171.7754310626,1344.4404307659
20,24.0119075833,-171.7146273225,1344.3285018692
21,24.2835228025,-171.6538235824,1344.2165729726
22,24.5551380217,-171.5930198423,1344.104644076
23,24.8255183621,-171.4984479656,1344.0154777615
24,25.0958987026,-171.4038760889,1343.9263114471
25,25.3595019105,-171.2828532977,1343.8497161943
26,25.6231051185,-171.1618305065,1343.7731209415
27,25.8785423152,-171.0195323217,1343.7060160598
28,26.133979512,-170.877234137,1343.6389111781
29,26.3894167087,-170.7349359522,1343.5718062965
30,26.6347233918,-170.5684623191,1343.5258589275
31,26.8800300749,-170.4019886861,1343.4799115585
32,27.1150639879,-170.2184778651,1343.4470050497
33,27.3500979009,-170.0349670441,1343.4140985408
34,27.5851318138,-169.851456223,1343.381192032
35,27.8142474044,-169.659122178,1343.3585279352
36,28.0433629949,-169.4667881329,1343.3358638384
37,28.2799393526,-169.2837153932,1343.3131482276
38,28.5165157102,-169.1006426535,1343.2904326168
39,28.7530920679,-168.9175699138,1343.267717006
40,28.99652611,-168.7446273462,1343.2388945243
41,29.2399601521,-168.5716847786,1343.2100720426
42,29.482023794,-168.3958516353,1343.1879836067
43,29.7240874358,-168.2200184919,1343.1658951708
44,29.9661510776,-168.0441853485,1343.1438067349
45,30.2085682078,-167.8677811868,1343.1330593298
46,30.450985338,-167.6913770251,1343.1223119248
47,30.6962467291,-167.5187169439,1343.1163666417
48,30.9415081203,-167.3460568628,1343.1104213587
49,31.1870572314,-167.1737137199,1343.1085571883
50,31.4326063425,-167.0013705769,1343.1066930178
51,31.6781554535,-166.829027434,1343.1048288474
52,31.9269585786,-166.6615845063,1343.112566478
53,32.1757617037,-166.4941415786,1343.1203041085
54,32.4374516287,-166.3476641953,1343.1282261836
55,32.6991415538,-166.2011868119,1343.1361482588
56,32.975693673,-166.0859834204,1343.1518677992
57,33.2522457922,-165.9707800289,1343.1675873396
58,33.544710847,-165.9063336947,1343.1852186113
59,33.8371759018,-165.8418873605,1343.2028498831
60,34.1296409565,-165.7774410262,1343.2204811548
61,34.4294954536,-165.7863637598,1343.2232498024
62,34.7293499507,-165.7952864934,1343.22601845
63,35.0250285631,-165.8436846975,1343.2412425105
64,35.3207071755,-165.8920829015,1343.2564665711
65,35.6056056251,-165.9825451469,1343.2819509896
66,35.8905040746,-166.0730073923,1343.3074354081
67,36.1618807409,-166.1980081346,1343.3344450249
68,36.4332574072,-166.323008877,1343.3614546417
69,36.6527021863,-166.5275668943,1343.3615351217
70,36.8721469654,-166.7321249117,1343.3616156017
71,37.0160329838,-166.9938724074,1343.3335966407
72,37.1599190021,-167.2556199032,1343.3055776798
73,37.2369353141,-167.5421317783,1343.2610868591
74,37.313951626,-167.8286436534,1343.2165960383
75,37.365028803,-168.1211008143,1343.1734691209
76,37.4161059799,-168.4135579753,1343.1303422035
77,37.4671831569,-168.7060151362,1343.0872152861
78,37.5186927991,-168.9994572853,1343.0520234987
79,37.5702024413,-169.2928994344,1343.0168317113
80,37.6212754428,-169.5851926253,1342.97260232
