,3d_x,3d_y,3d_z
0,18.96015625,-171.03984375,1348.0000488281
1,19.0387721112,-170.7996262383,1348.1616504786
2,19.1173879724,-170.5594087266,1348.3232521291
3,19.1960038335,-170.3191912149,1348.4848537797
4,19.2973808312,-170.05728024,1348.5903305333
5,19.3987578288,-169.7953692651,1348.6958072869
6,19.5001348265,-169.5334582901,1348.8012840406
7,19.6332134374,-169.2733455965,1348.8693389445
8,19.7662920483,-169.0132329029,1348.9373938484
9,19.9008363744,-168.7563855804,1349.0143826606
10,20.0353807005,-168.4995382578,1349.0913714727
11,20.1699617798,-168.2440470618,1349.1726867963
12,20.3045428592,-167.9885558658,1349.2540021199
13,20.4678969671,-167.7504787569,1349.3354559453
14,20.6312510749,-167.5124016481,1349.4169097708
15,20.8204717972,-167.2940909501,1349.4977550391
16,21.0096925195,-167.0757802521,1349.5786003074
17,21.1989132418,-166.8574695542,1349.6594455757
18,21.4088847288,-166.6591208017,1349.7404995518
19,21.6188562158,-166.4607720491,1349.8215535278
20,21.8443558232,-166.2771491835,1349.8952594997
21,22.0698554306,-166.0935263179,1349.9689654715
22,22.2952169622,-165.9170785561,1350.0588452101
23,22.5205784937,-165.7406307942,1350.1487249487
24,22.7459400253,-165.5641830323,1350.2386046873
25,22.9246640968,-165.3718306536,1350.3837193617
26,23.1033881682,-165.1794782749,1350.528834036
27,23.2118176694,-164.9648711604,1350.708240919
28,23.3202471706,-164.750264046,1350.8876478021
29,23.4286766719,-164.5356569315,1351.0670546851
30,23.4594658689,-164.3048153915,1351.2561689594
31,23.4902550658,-164.0739738515,1351.4452832338
32,23.5364458515,-163.8595445547,1351.6499451208
33,23.5826366372,-163.645115258,1351.8546070079
34,23.6288274229,-163.4306859612,1352.0592688949
35,23.7186421054,-163.2335363967,1352.2667908745
36,23.808456788,-163.0363868322,1352.4743128541
37,23.9435129541,-162.8547159542,1352.6711770817
38,24.0785691201,-162.6730450762,1352.8680413092
39,24.2136252862,-162.4913741982,1353.0649055368
40,24.3730669832,-162.3118735672,1353.2447884673
41,24.5325086803,-162.1323729361,1353.4246713978
42,24.6919503773,-161.952872305,1353.6045543284
43,24.8250732609,-161.7582178686,1353.7899942061
44,24.9581961445,-161.5635634322,1353.9754340838
45,25.0913190281,-161.3689089958,1354.1608739616
46,25.1827691519,-161.1594558327,1354.3552093606
47,25.2742192758,-160.9500026696,1354.5495447596
48,25.3713662537,-160.7251405437,1354.7227483653
49,25.4685132316,-160.5002784179,1354.895951971
50,25.5656602096,-160.275416292,1355.0691555767
51,25.6876693597,-160.0392060193,1355.2081464914
52,25.8096785099,-159.8029957466,1355.347137406
53,25.9399531116,-159.5558891483,1355.4565305375
54,26.0702277134,-159.3087825501,1355.5659236691
55,26.2005023152,-159.0616759518,1355.6753168006
56,26.3259295666,-158.8028866759,1355.7607341014
57,26.451356818,-158.5440974,1355.8461514021
58,26.578848826,-158.2798362412,1355.9086960093
59,26.706340834,-158.0155750825,1355.9712406164
60,26.833832842,-157.7513139238,1356.0337852236
61,26.9740054422,-157.4879121111,1356.0649481379
62,27.1141780423,-157.2245102984,1356.0961110522
63,27.2608807815,-156.9636338917,1356.1166489872
64,27.4075835207,-156.7027574851,1356.1371869222
65,27.5609083583,-156.4453842436,1356.1530143906
66,27.7142331959,-156.1880110022,1356.168841859
67,27.8675580335,-155.9306377607,1356.1846693274
68,28.0051621344,-155.6647544475,1356.2039352345
69,28.1427662352,-155.3988711343,1356.2232011417
70,28.2750798231,-155.1317968556,1356.2573250945
71,28.407393411,-154.864722577,1356.2914490474
72,28.5519518187,-154.6052275123,1356.3334630704
73,28.6965102264,-154.3457324475,1356.3754770933
74,28.8410686341,-154.0862373827,1356.4174911163
75,28.9940140102,-153.8291575493,1356.4402435043
76,29.1469593863,-153.5720777158,1356.4629958924
77,29.3005612056,-153.3146241348,1356.4518543154
78,29.4541630249,-153.0571705539,1356.4407127383
79,29.5981743025,-152.8116209891,1356.3460229123
80,29.7421855801,-152.5660714243,1356.2513330863
81,29.8861968577,-152.3205218595,1356.1566432602
82,30.0002962932,-152.1253433777,1355.9594462038
83,30.1143957288,-151.930164896,1355.7622491473
84,30.2299639073,-151.7483479652,1355.5534751073
85,30.3455320858,-151.5665310344,1355.3447010673
86,30.4611002644,-151.3847141035,1355.1359270273
87,30.6072001795,-151.2163443827,1354.9351623593
88,30.7533000945,-151.0479746618,1354.7343976914
89,30.8994000096,-150.8796049409,1354.5336330234
90,31.0869709681,-150.7311001959,1354.352626183
91,31.2745419265,-150.582595451,1354.1716193426
92,31.4767858138,-150.4371419991,1354.0044646137
93,31.679029701,-150.2916885472,1353.8373098847
94,31.8812735883,-150.1462350954,1353.6701551558
95,32.0968920774,-150.0059194565,1353.5158172517
96,32.3125105664,-149.8656038176,1353.3614793475
97,32.5281290555,-149.7252881787,1353.2071414433
98,32.762655974,-149.6053259715,1353.0635928685
99,32.9971828925,-149.4853637643,1352.9200442937
100,33.2317098111,-149.3654015572,1352.7764957188
101,33.4685533609,-149.2564500703,1352.6280548
102,33.7053969107,-149.1474985834,1352.4796138811
103,33.9422404606,-149.0385470965,1352.3311729622
104,34.1714410966,-148.9401528561,1352.1644827048
105,34.4006417326,-148.8417586158,1351.9977924474
106,34.6298423687,-148.7433643754,1351.83110219
107,34.8335752503,-148.653602673,1351.6300157665
108,35.037308132,-148.5638409707,1351.428929343
109,35.2326569309,-148.484232105,1351.2156190637
110,35.4280057298,-148.4046232394,1351.0023087843
111,35.6233545287,-148.3250143738,1350.788998505
112,35.8313960145,-148.2918044373,1350.5754198536
113,36.0394375003,-148.2585945008,1350.3618412022
114,36.247478986,-148.2253845644,1350.1482625508
115,36.456279321,-148.2764594666,1349.9389929294
116,36.6650796561,-148.3275343687,1349.729723308
117,36.8553254182,-148.4446308258,1349.5294860244
118,37.0455711804,-148.5617272829,1349.3292487408
119,37.2358169425,-148.6788237399,1349.1290114573
120,37.3829105251,-148.8657497646,1348.9461942282
121,37.5300041077,-149.0526757893,1348.7633769991
122,37.6496670749,-149.2686764107,1348.593011199
123,37.769330042,-149.4846770321,1348.4226453988
124,37.8889930092,-149.7006776535,1348.2522795987
125,37.9756362772,-149.9398167043,1348.0932027038
126,38.0622795452,-150.178955755,1347.9341258089
127,38.1489228133,-150.4180948058,1347.7750489139
128,38.2328456571,-150.663411269,1347.6241291035
129,38.3167685009,-150.9087277321,1347.473209293
130,38.4006913448,-151.1540441953,1347.3222894826
131,38.525236264,-151.382381603,1347.172788341
132,38.6497811833,-151.6107190106,1347.0232871994
133,38.8022840312,-151.8219188585,1346.8745004203
134,38.9547868791,-152.0331187064,1346.7257136412
135,39.107289727,-152.2443185543,1346.5769268621
136,39.2913159015,-152.4300562347,1346.4298354579
137,39.4753420761,-152.6157939151,1346.2827440538
138,39.7055115352,-152.7536763672,1346.1485410379
139,39.9356809943,-152.8915588194,1346.014338022
140,40.1658504534,-153.0294412715,1345.8801350061
141,40.449342476300004,-153.0969739474,1345.8089197644
142,40.7328344992,-153.1645066233,1345.7377045227
143,41.0303570745,-153.1943514974,1345.7134228287
144,41.3278796498,-153.2241963715,1345.6891411346
145,41.6265878932,-153.2498476028,1345.6998835598
146,41.9252961365,-153.2754988341,1345.710625985
147,42.2240043798,-153.3011500654,1345.7213684102
148,42.5054228084,-153.3969499425,1345.7616927401
149,42.786841237,-153.4927498196,1345.8020170701
150,42.9991072299,-153.7047002186,1345.7975252245
151,43.2113732227,-153.9166506175,1345.7930333789
152,43.3291755329,-154.1873626813,1345.7397643049
153,43.446977843,-154.4580747451,1345.6864952309
154,43.5760190562,-154.7069211138,1345.5796128184
155,43.7050602694,-154.9557674824,1345.472730406
156,43.855031237,-155.1875736602,1345.3553651436
157,44.0050022047,-155.4193798379,1345.2379998812
158,44.1549731724,-155.6511860157,1345.1206346188
159,44.3580185089,-155.8441915922,1345.0132966538
