,3d_x,3d_y,3d_z
0,37.56015625,-157.23984375,1416.4000488281
1,37.7722882844,-157.23984375,1416.6121808625
2,37.9844203187,-157.23984375,1416.8243128968
3,38.1965523531,-157.23984375,1417.0364449312
4,38.4086843874,-157.23984375,1417.2485769656
5,38.6729357319,-157.2529464195,1417.3899967201
6,38.9371870765,-157.2660490889,1417.5314164746
7,39.2231148865,-157.2760203002,1417.621670906
8,39.5090426965,-157.2859915115,1417.7119253375
9,39.8003125567,-157.3041418504,1417.781441046
10,40.091582417,-157.3222921893,1417.8509567545
11,40.3882077384,-157.3489640108,1417.8870404434
12,40.6848330599,-157.3756358323,1417.9231241323
13,40.9818644782,-157.4163081787,1417.9122568981
14,41.2788958965,-157.456980525,1417.9013896638
15,41.5668659101,-157.5174391073,1417.8429257337
16,41.8548359236,-157.5778976895,1417.7844618036
17,42.13063906,-157.6627509967,1417.7024097089
18,42.4064421963,-157.7476043039,1417.6203576142
19,42.6822453326,-157.8324576111,1417.5383055194
20,42.9417974202,-157.9332599828,1417.4266292207
21,43.2013495077,-158.0340623546,1417.3149529219
22,43.4560333367,-158.1212518392,1417.1825363784
23,43.7107171657,-158.2084413239,1417.0501198348
24,43.9612979504,-158.2856371596,1416.9043457861
25,44.2118787351,-158.3628329954,1416.7585717374
26,44.4649463325,-158.4332506403,1416.6136643654
27,44.7180139298,-158.5036682852,1416.4687569935
28,44.9710815272,-158.5740859301,1416.3238496215
29,45.2255169551,-158.6274231973,1416.1741240427
30,45.4799523831,-158.6807604646,1416.024398464
31,45.7352459179,-158.7235137427,1415.8727496319
32,45.9905394528,-158.7662670209,1415.7211007999
33,46.245690474,-158.8069254102,1415.5686381757
34,46.5008414951,-158.8475837994,1415.4161755514
35,46.7559925163,-158.8882421887,1415.2637129272
36,47.0132225318,-158.9231352142,1415.1133294311
37,47.2704525473,-158.9580282396,1414.962945935
38,47.5336723938,-158.9829273367,1414.8211878758
39,47.7968922404,-159.0078264337,1414.6794298166
40,48.0657041393,-159.0231158498,1414.5471180757
41,48.3345160381,-159.0384052659,1414.4148063347
42,48.6127095527,-159.0452428082,1414.3027277175
43,48.8909030673,-159.0520803505,1414.1906491003
44,49.1809581869,-159.0623029778,1414.1147312137
45,49.4710133065,-159.0725256051,1414.0388133272
46,49.7644334325,-159.0980308163,1413.9817684863
47,50.0578535584,-159.1235360276,1413.9247236454
48,50.3515654302,-159.1588112074,1413.8748337858
49,50.6452773019,-159.1940863872,1413.8249439263
50,50.9402434145,-159.2264619861,1413.7808212221
51,51.2352095271,-159.2588375849,1413.7366985179
52,51.5305391161,-159.2895190526,1413.6938140058
53,51.8258687052,-159.3202005203,1413.6509294937
54,52.1170687683,-159.353040313,1413.5867105614
55,52.4082688313,-159.3858801058,1413.5224916291
56,52.6994688944,-159.4187198986,1413.4582726967
57,52.9759352199,-159.4619248579,1413.3501075343
58,53.2524015454,-159.5051298172,1413.2419423719
59,53.5148002096,-159.5476329153,1413.1028725057
60,53.7771988738,-159.5901360133,1412.9638026394
61,54.0289075518,-159.6410084354,1412.8087067398
62,54.2806162297,-159.6918808575,1412.6536108401
63,54.5303064121,-159.7563833396,1412.5003325225
64,54.779996594400004,-159.8208858217,1412.3470542049
65,55.0296867768,-159.8853883037,1412.1937758873
66,55.2781964688,-159.9574614783,1412.0419589235
67,55.5267061607,-160.0295346528,1411.8901419596
68,55.7711675817,-160.0965703941,1411.7296900259
69,56.0156290027,-160.1636061353,1411.5692380921
70,56.245272052,-160.2351784199,1411.389957647
71,56.4749151013,-160.3067507045,1411.2106772019
72,56.7045581505,-160.378322989,1411.0313967568
73,56.90798797,-160.4585553002,1410.8260212841
74,57.1114177895,-160.5387876115,1410.6206458114
75,57.3053384425,-160.61527562,1410.4049043808
76,57.4992590956,-160.6917636285,1410.1891629502
77,57.6931797487,-160.7682516371,1409.9734215197
78,57.8907094157,-160.8349948357,1409.7577194657
79,58.0882390827,-160.9017380344,1409.5420174118
80,58.2907905571,-160.9665158943,1409.3304122864
81,58.4933420315,-161.0312937542,1409.118807161
82,58.7124689057,-161.0936330902,1408.9236220689
83,58.93159578,-161.1559724261,1408.7284369768
84,59.1783710736,-161.2075901934,1408.5658406651
85,59.4251463672,-161.2592079607,1408.4032443534
86,59.6719216607,-161.3108257279,1408.2406480417
87,59.9554218018,-161.3421041729,1408.1476462734
88,60.2389219428,-161.3733826179,1408.0546445051
89,60.5332467254,-161.3826084136,1407.9973051029
90,60.827571508,-161.3918342093,1407.9399657007
91,61.1168297349,-161.3821221889,1407.8610014376
92,61.4060879617,-161.3724101686,1407.7820371745
93,61.6905519239,-161.3186017467,1407.7033929887
94,61.9750158861,-161.2647933249,1407.6247488029
95,62.2509505512,-161.1526597913,1407.5888861309
96,62.5268852163,-161.0405262576,1407.5530234589
97,62.7836027318,-160.8857648075,1407.5650655006
98,63.0403202473,-160.7310033573,1407.5771075422
99,63.2756803718,-160.5451532883,1407.5851923217
100,63.5110404962,-160.3593032192,1407.5932771012
101,63.7464006206,-160.1734531502,1407.6013618807
102,63.9720005737,-159.9766987321,1407.5815537983
103,64.1976005268,-159.7799443139,1407.561745716
104,64.4342339698,-159.6011478545,1407.516618787
105,64.6708674129,-159.4223513951,1407.471491858
106,64.9310623351,-159.2916314684,1407.3993052718
107,65.1912572573,-159.1609115416,1407.3271186856
108,65.4514521795,-159.0301916149,1407.2549320995
109,65.7198254558,-158.9772721915,1407.131743954
110,65.9881987321,-158.9243527681,1407.0085558086
111,66.258304192,-158.9568361001,1406.8821126446
112,66.5284096518,-158.9893194322,1406.7556694807
113,66.7698717933,-159.1023492942,1406.6181184556
114,67.0113339349,-159.2153791563,1406.4805674306
115,67.2527960764,-159.3284090183,1406.3430164055
116,67.4285113767,-159.5318872392,1406.2098971101
117,67.6042266771,-159.7353654602,1406.0767778146
118,67.7280832783,-159.9772745922,1405.9497364269
119,67.8519398794,-160.2191837242,1405.8226950391
120,67.9254553456,-160.4846240384,1405.7037962763
121,67.9989708117,-160.7500643527,1405.5848975134
122,68.0416113652,-161.0228774823,1405.4676167412
123,68.0842519186,-161.2956906119,1405.350335969
124,68.1268924721,-161.5685037415,1405.2330551968
125,68.1391126352,-161.8557724761,1405.1474553037
126,68.1513327983,-162.1430412107,1405.0618554105
127,68.1537423353,-162.442556345,1405.0449770676
128,68.1561518722,-162.7420714793,1405.0280987247
129,68.1585614091,-163.0415866136,1405.0112203818
130,68.1609709461,-163.3411017479,1404.9943420389
