,3d_x,3d_y,3d_z
0,20.16015625,-192.63984375,1400.8000488281
1,20.0701995171,-192.9115339641,1400.7100920953
2,19.9802427843,-193.1832241782,1400.6201353624
3,19.8902860514,-193.4549143922,1400.5301786296
4,19.7395334377,-193.6262936606,1400.3354922258
5,19.5887808239,-193.797672929,1400.140805822
6,19.4380282102,-193.9690521974,1399.9461194182
7,19.2626607202,-194.1167380978,1399.7526378473
8,19.0872932302,-194.2644239982,1399.5591562764
9,18.9119257402,-194.4121098986,1399.3656747055
10,18.725019154,-194.5948652158,1399.218479522
11,18.5381125678,-194.7776205331,1399.0712843386
12,18.3512059816,-194.9603758504,1398.9240891551
13,18.1711958802,-195.1912255314,1398.8584782705
14,17.9911857788,-195.4220752124,1398.7928673859
15,17.8111756775,-195.6529248935,1398.7272565013
16,17.6495562548,-195.9056274693,1398.722721045
17,17.487936832,-196.1583300452,1398.7181855887
18,17.3263174093,-196.411032621,1398.7136501324
19,17.1584037636,-196.657801218,1398.7438207653
20,16.9904901178,-196.904569815,1398.7739913983
21,16.8143080203,-197.1447341855,1398.8097816715
22,16.6381259227,-197.384898556,1398.8455719447
23,16.4619438251,-197.6250629264,1398.8813622179
24,16.2645348892,-197.8471624984,1398.922611365
25,16.0671259532,-198.0692620704,1398.9638605122
26,15.8697170173,-198.2913616424,1399.0051096593
27,15.6478462264,-198.4861884693,1399.0581743338
28,15.4259754356,-198.6810152962,1399.1112390083
29,15.184569578,-198.8471876453,1399.175347996
30,14.9431637204,-199.0133599944,1399.2394569837
31,14.7017578628,-199.1795323435,1399.3035659715
32,14.4398554813,-199.2984796349,1399.388763885
33,14.1779530999,-199.4174269263,1399.4739617984
34,13.9028270345,-199.4987197457,1399.5616950628
35,13.6277009691,-199.580012565,1399.6494283271
36,13.3473996045,-199.6455557922,1399.7338986198
37,13.0670982399,-199.7110990193,1399.8183689126
38,12.7867968752,-199.7766422465,1399.9028392054
39,12.5020561932,-199.8288978459,1399.9815290799
