3d_x,3d_y,3d_z
51.1718750000,-156.2281250000,1328.0000000000
51.3784608109,-156.0215391891,1327.9318486579
51.5850466219,-155.8149533781,1327.8636973158
51.7916324328,-155.6083675672,1327.7955459737
51.9982182438,-155.4017817562,1327.7273946316
52.2938872043,-155.4515451133,1327.7172224108
52.5895561648,-155.5013084705,1327.7070501900
52.8718932664,-155.6013115049,1327.7239366993
53.1542303679,-155.7013145393,1327.7408232087
53.4461363477,-155.7599551131,1327.7775952367
53.7380423276,-155.8185956869,1327.8143672647
54.0334684780,-155.8579608247,1327.8486276730
54.3288946284,-155.8973259625,1327.8828880814
54.6274189609,-155.9260748416,1327.8904196726
54.9259432933,-155.9548237207,1327.8979512637
55.2235249915,-155.9882995800,1327.8799373869
55.5211066897,-156.0217754393,1327.8619235100
55.8143358337,-156.0675026825,1327.8180408444
56.1075649777,-156.1132299257,1327.7741581788
56.3911883230,-156.1787636323,1327.7016107373
56.6748116684,-156.2442973390,1327.6290632958
56.9466537261,-156.3378364848,1327.5433176030
57.2184957838,-156.4313756307,1327.4575719102
57.4758697316,-156.5677623474,1327.3857574650
57.7332436793,-156.7041490641,1327.3139430198
57.9906176270,-156.8405357808,1327.2421285746
58.2468565867,-156.9901278209,1327.1978135991
58.5030955465,-157.1397198610,1327.1534986235
58.7567837649,-157.2927656844,1327.1063895612
59.0104719834,-157.4458115078,1327.0592804990
59.2469198273,-157.6172703320,1326.9907656191
59.4833676711,-157.7887291561,1326.9222507393
59.7198155149,-157.9601879803,1326.8537358594
59.9304333728,-158.1522023757,1326.7600844318
60.1410512307,-158.3442167711,1326.6664330042
60.3380550126,-158.5437845191,1326.5598392713
60.5350587944,-158.7433522672,1326.4532455384
60.7320625762,-158.9429200152,1326.3466518055
60.9161956602,-159.1516877976,1326.2347991327
61.1003287442,-159.3604555800,1326.1229464599
61.2734162402,-159.5854839682,1326.0259776854
61.4465037363,-159.8105123563,1325.9290089108
61.6195912323,-160.0355407445,1325.8320401363
61.7934267225,-160.2701200577,1325.7630925609
61.9672622126,-160.5046993710,1325.6941449854
62.1517359669,-160.7332663415,1325.6330993144
62.3362097213,-160.9618333120,1325.5720536434
62.5206834756,-161.1904002826,1325.5110079723
62.7149973869,-161.4107811554,1325.4503913513
62.9093112982,-161.6311620283,1325.3897747303
63.0979648837,-161.8534467287,1325.3190687430
63.2866184691,-162.0757314292,1325.2483627556
63.4752720546,-162.2980161296,1325.1776567683
63.6431385409,-162.5263990910,1325.0793609610
63.8110050271,-162.7547820525,1324.9810651538
63.9788715133,-162.9831650139,1324.8827693465
64.1047233169,-163.2242527375,1324.7561279906
64.2305751206,-163.4653404612,1324.6294866346
64.3334552637,-163.7160055399,1324.5007128235
64.4363354069,-163.9666706187,1324.3719390124
64.5392155500,-164.2173356975,1324.2431652012
64.6335953165,-164.4745693570,1324.1210042250
64.7279750829,-164.7318030164,1323.9988432488
64.8336937984,-164.9846216815,1323.8767519888
64.9394125139,-165.2374403466,1323.7546607287
65.0451312293,-165.4902590117,1323.6325694687
65.1705770068,-165.7248085049,1323.4938254880
65.2960227843,-165.9593579980,1323.3550815073
65.4296548885,-166.1804524596,1323.2025701970
65.5632869927,-166.4015469212,1323.0500588866
65.6972191227,-166.6166332761,1322.8894349641
65.8311512527,-166.8317196310,1322.7288110415
65.9650833827,-167.0468059858,1322.5681871190
66.0979316058,-167.2629200939,1322.4080433025
66.2307798288,-167.4790342019,1322.2478994861
66.3612711224,-167.6967872619,1322.0880382114
66.4917624159,-167.9145403220,1321.9281769367
66.6222537095,-168.1322933821,1321.7683156620
66.7557493494,-168.3445689982,1321.6036402938
66.8892449894,-168.5568446143,1321.4389649255
67.0246529346,-168.7611684225,1321.2660011438
67.1600608799,-168.9654922307,1321.0930373622
67.2954688252,-169.1698160388,1320.9200735805
67.4423644183,-169.3675776145,1320.7488659758
67.5892600114,-169.5653391902,1320.5776583711
67.7303362701,-169.7787094803,1320.4209082242
67.8714125287,-169.9920797703,1320.2641580772
68.0124887873,-170.2054500604,1320.1074079302
68.1496958337,-170.4343604851,1319.9703887934
68.2869028801,-170.6632709099,1319.8333696565
68.4238772912,-170.8972166309,1319.7048884894
68.5608517024,-171.1311623520,1319.5764073224
68.6978261135,-171.3651080730,1319.4479261553
68.8409103390,-171.5988276579,1319.3258521611
68.9839945645,-171.8325472428,1319.2037781670
69.1270787900,-172.0662668277,1319.0817041728
69.2792004386,-172.2883948456,1318.9493480332
69.4313220871,-172.5105228636,1318.8169918936
69.6053223987,-172.7118457285,1318.6784531061
69.7793227103,-172.9131685934,1318.5399143187
69.9533230219,-173.1144914583,1318.4013755312
70.1571579316,-173.2788744785,1318.2549871701
70.3609928413,-173.4432574987,1318.1085988091
70.5648277510,-173.6076405189,1317.9622104480
70.7651887050,-173.7717871923,1317.8108454662
70.9655496590,-173.9359338657,1317.6594804843
71.1659106130,-174.1000805391,1317.5081155025
71.3456540636,-174.2856378528,1317.3556006663
71.5253975142,-174.4711951666,1317.2030858300
71.7051409648,-174.6567524804,1317.0505709938
71.8699015512,-174.8554721044,1316.8977166180
72.0346621376,-175.0541917284,1316.7448622422
72.1994227241,-175.2529113524,1316.5920078665
72.3549168347,-175.4565592399,1316.4359658224
72.5104109453,-175.6602071273,1316.2799237783
72.6659050559,-175.8638550147,1316.1238817342
72.8072103322,-176.0796883018,1315.9707516881
72.9485156086,-176.2955215890,1315.8176216420
73.0898208850,-176.5113548762,1315.6644915959
73.1874849589,-176.7546116995,1315.5185880435
73.2851490329,-176.9978685227,1315.3726844911
73.3528341660,-177.2541796469,1315.2322447162
73.4205192991,-177.5104907711,1315.0918049413
73.4882044322,-177.7668018953,1314.9513651665
73.5184231025,-178.0233559030,1314.7988303407
73.5486417728,-178.2799099108,1314.6462955149
73.5788604431,-178.5364639186,1314.4937606892
73.5844676706,-178.7872267946,1314.3291808028
73.5900748981,-179.0379896707,1314.1646009165
73.5954685555,-179.2763243439,1313.9824814721
73.6008622128,-179.5146590170,1313.8003620277
73.6062558701,-179.7529936902,1313.6182425833
73.6296050485,-179.9794340545,1313.4228466334
73.6529542269,-180.2058744189,1313.2274506834
73.7070989743,-180.4187599672,1313.0231271908
73.7612437218,-180.6316455155,1312.8188036982
73.8153884692,-180.8445310639,1312.6144802055
73.9402774784,-181.0185737547,1312.4044519284
74.0651664875,-181.1926164454,1312.1944236513
74.2468636746,-181.3193194850,1311.9921059013
74.4285608617,-181.4460225246,1311.7897881513
74.6102580488,-181.5727255641,1311.5874704013
74.8510260084,-181.6138426168,1311.4132860805
75.0917939679,-181.6549596695,1311.2391017597
75.3485021206,-181.6733614811,1311.0849515157
75.6052102732,-181.6917632927,1310.9308012718
75.8718167093,-181.6905828748,1310.7932526808
76.1384231453,-181.6894024569,1310.6557040899
76.4050295813,-181.6882220389,1310.5181554989
76.6738650260,-181.6773663794,1310.3854541110
76.9427004707,-181.6665107198,1310.2527527231
77.2036438705,-181.6821764200,1310.1055687297
77.4645872703,-181.6978421202,1309.9583847362
77.7255306701,-181.7135078204,1309.8112007427
77.9352403203,-181.8033196188,1309.6163785071
78.1449499704,-181.8931314171,1309.4215562714
78.2950552719,-182.0452527005,1309.2110152692
78.4451605733,-182.1973739839,1309.0004742670
78.5606878466,-182.3878161886,1308.7995135350
78.6762151198,-182.5782583933,1308.5985528030
78.7917423930,-182.7687005980,1308.3975920710
78.9075552136,-182.9760206342,1308.2142732416
79.0233680341,-183.1833406703,1308.0309544123
79.1391808547,-183.3906607065,1307.8476355829
79.2819013155,-183.5785304683,1307.6623363043
79.4246217762,-183.7664002301,1307.4770370256
79.5971574912,-183.9255852486,1307.2902442072
79.7696932061,-184.0847702670,1307.1034513889
79.9422289210,-184.2439552854,1306.9166585706
80.1518026668,-184.3430038870,1306.7262164020
80.3613764127,-184.4420524885,1306.5357742333
80.5709501585,-184.5411010901,1306.3453320647
80.7969674785,-184.5356343850,1306.1481360044
81.0229847985,-184.5301676800,1305.9509399441
81.2469238193,-184.4369904388,1305.7743916032
81.4708628402,-184.3438131976,1305.5978432623
81.6948018610,-184.2506359564,1305.4212949214
81.9141970346,-184.0949378137,1305.2885400866
82.1335922081,-183.9392396710,1305.1557852517
82.3529873817,-183.7835415283,1305.0230304169
82.5743480424,-183.6337088392,1304.8868334156
82.7957087031,-183.4838761501,1304.7506364143
83.0170693638,-183.3340434610,1304.6144394130
83.2455022720,-183.2652221328,1304.4325547483
83.4739351802,-183.1964008045,1304.2506700837
83.6854493145,-183.2236635029,1304.0396759694
83.8969634488,-183.2509262013,1303.8286818551
84.1084775831,-183.2781888996,1303.6176877407
84.2760564282,-183.3923001496,1303.3965634470
84.4436352734,-183.5064113996,1303.1754391533
84.5596661106,-183.7018377751,1302.9796193979
84.6756969478,-183.8972641506,1302.7837996425
84.7917277850,-184.0926905260,1302.5879798872
84.7684088426,-184.3728936353,1302.4833737474
84.7450899002,-184.6530967446,1302.3787676076
84.7291929834,-184.9499574898,1302.3385061375
84.7132960666,-185.2468182351,1302.2982446675
84.6769321952,-185.5443602499,1302.2861443269
84.6405683238,-185.8419022648,1302.2740439864
84.6042044524,-186.1394442797,1302.2619436459
84.5280961703,-186.4294556744,1302.2518977342
84.4519878882,-186.7194670691,1302.2418518225
84.3770826614,-187.0078848802,1302.2071477418
84.3021774346,-187.2963026914,1302.1724436611
84.2433178276,-187.5827465787,1302.1054701884
84.1844582205,-187.8691904661,1302.0384967158
84.1255986135,-188.1556343535,1301.9715232431
84.1150629118,-188.4300574857,1301.8507716654
84.1045272102,-188.7044806178,1301.7300200877
84.1672667820,-188.9497228826,1301.5690232626
84.2300063539,-189.1949651474,1301.4080264375
84.3427569518,-189.3939758595,1301.2139078162
84.4555075497,-189.5929865716,1301.0197891948
84.6178665457,-189.7256809877,1300.8052390880
84.7802255418,-189.8583754039,1300.5906889813
84.9787381802,-189.9353435746,1300.3793394294
85.1772508187,-190.0123117454,1300.1679898776
85.3757634572,-190.0892799161,1299.9566403257
85.6183577250,-190.1067433696,1299.7810184336
85.8609519928,-190.1242068232,1299.6053965414
86.1108426497,-190.1340505822,1299.4396927091
86.3607333065,-190.1438943413,1299.2739888768
86.5969230748,-190.1909386333,1299.0951000064
86.8331128431,-190.2379829252,1298.9162111360
87.0693026114,-190.2850272171,1298.7373222657
87.2538182130,-190.4051935612,1298.5335723148
87.4383338147,-190.5253599053,1298.3298223638
87.5761692818,-190.6772911266,1298.1109199016
87.7140047490,-190.8292223480,1297.8920174394
87.8130542102,-190.9864825168,1297.6565212748
87.9121036714,-191.1437426856,1297.4210251102
88.0111531326,-191.3010028544,1297.1855289456
88.0993950278,-191.4309332245,1296.9299287365
88.1876369230,-191.5608635945,1296.6743285274
88.2857366418,-191.6407544273,1296.4023103295
88.3838363606,-191.7206452602,1296.1302921316
88.4819360794,-191.8005360930,1295.8582739337
88.6181006402,-191.8185094688,1295.5915602855
88.7542652011,-191.8364828445,1295.3248466373
88.9035675678,-191.8390365497,1295.0646500157
89.0528699346,-191.8415902549,1294.8044533942
89.2021723014,-191.8441439602,1294.5442567727
89.3852461078,-191.8505862165,1294.3066805138
89.5683199141,-191.8570284728,1294.0691042550
89.7583994090,-191.8975485171,1293.8405699870
89.9484789038,-191.9380685614,1293.6120357190
90.1385583986,-191.9785886057,1293.3835014510
90.3191307988,-192.0860351489,1293.1693780084
90.4997031989,-192.1934816921,1292.9552545658
90.6802755990,-192.3009282353,1292.7411311232
90.8409084362,-192.4720003916,1292.5542316610
91.0015412735,-192.6430725478,1292.3673321988
91.1281648069,-192.8489887410,1292.1896667769
91.2547883403,-193.0549049343,1292.0120013549
91.3814118737,-193.2608211275,1291.8343359330
91.4778443595,-193.4717231903,1291.6440175272
91.5742768454,-193.6826252531,1291.4536991215
91.6707093313,-193.8935273159,1291.2633807157
91.7803242217,-194.0703586938,1291.0472436305
91.8899391121,-194.2471900717,1290.8311065453
91.9995540024,-194.4240214495,1290.6149694601
92.1568072763,-194.4974912897,1290.3702786542
92.3140605501,-194.5709611298,1290.1255878484
92.4713138240,-194.6444309699,1289.8808970426
92.6517625157,-194.6025901691,1289.6449148037
92.8322112074,-194.5607493683,1289.4089325649
93.0126598992,-194.5189085675,1289.1729503261
93.2055733901,-194.3821330251,1288.9883512036
93.3984868810,-194.2453574828,1288.8037520811
93.5914003720,-194.1085819404,1288.6191529587
93.7820084229,-193.9338219781,1288.4670755886
93.9726164739,-193.7590620158,1288.3149982185
94.1632245249,-193.5843020535,1288.1629208485
94.3439715105,-193.4282952468,1287.9812827372
94.5247184961,-193.2722884402,1287.7996446259
94.7054654817,-193.1162816335,1287.6180065146
94.8859235638,-193.0416281644,1287.3902747861
95.0663816459,-192.9669746952,1287.1625430577
95.2151230306,-192.9968671815,1286.9037333984
95.3638644153,-193.0267596679,1286.6449237391
95.5126058000,-193.0566521542,1286.3861140798
95.5998077985,-193.1934568449,1286.1337645444
95.6870097969,-193.3302615357,1285.8814150089
95.7741382106,-193.4815599233,1285.6374530498
95.8612666242,-193.6328583109,1285.3934910908
95.9483950378,-193.7841566985,1285.1495291318
96.0582757477,-193.9121343277,1284.9014405267
96.1681564576,-194.0401119570,1284.6533519215
96.2924890572,-194.1520271598,1284.4043210157
96.4168216568,-194.2639423625,1284.1552901098
96.5411542564,-194.3758575653,1283.9062592040
96.6765110378,-194.4724446723,1283.6565604405
96.8118678193,-194.5690317794,1283.4068616771
96.9582624591,-194.6493217022,1283.1576185474
97.1046570990,-194.7296116251,1282.9083754176
97.2462412060,-194.7932881063,1282.6516669324
97.3878253131,-194.8569645874,1282.3949584472
97.5294094202,-194.9206410686,1282.1382499620
97.6566593853,-194.9595472716,1281.8693749841
97.7839093503,-194.9984534746,1281.6005000062
97.8969790852,-195.0153993219,1281.3231409008
98.0100488201,-195.0323451693,1281.0457817955
98.1284767571,-195.0129262240,1280.7708313849
98.2469046942,-194.9935072787,1280.4958809743
98.3744667850,-194.9286898258,1280.2322019824
98.5020288758,-194.8638723729,1279.9685229905
98.6295909666,-194.7990549200,1279.7048439985
98.7525573438,-194.6769137077,1279.4599750655
98.8755237209,-194.5547724955,1279.2151061325
98.9905246279,-194.3978327508,1278.9867539747
99.1055255348,-194.2408930061,1278.7584018170
99.2205264417,-194.0839532614,1278.5300496593
99.3087983971,-193.8953968875,1278.3140530025
99.3970703526,-193.7068405135,1278.0980563457
99.4673826494,-193.5102895261,1277.8825943067
99.5376949462,-193.3137385387,1277.6671322676
99.6080072430,-193.1171875513,1277.4516702286
99.6503462388,-192.9266744348,1277.2238278228
99.6926852347,-192.7361613183,1276.9959854171
99.7155926154,-192.5892006436,1276.7354517110
99.7384999960,-192.4422399690,1276.4749180048
99.7614073767,-192.2952792943,1276.2143842987
99.7644962444,-192.2754628831,1275.9150554349
99.7675851120,-192.2556464719,1275.6157265710
99.7706739797,-192.2358300606,1275.3163977072
