3d_x,3d_y,3d_z
70.3718750000,-123.2281250000,1285.4000000000
70.3718750000,-123.4771598942,1285.2327229200
70.3718750000,-123.7261947884,1285.0654458401
70.3718750000,-123.9752296826,1284.8981687601
70.4457574832,-124.2282568403,1284.7549254841
70.5196399663,-124.4812839981,1284.6116822081
70.5935224495,-124.7343111558,1284.4684389321
70.7047265939,-124.9697440148,1284.3194254858
70.8159307383,-125.2051768738,1284.1704120395
70.9197199587,-125.4339524060,1284.0064316943
71.0235091791,-125.6627279381,1283.8424513491
71.1272983994,-125.8915034703,1283.6784710039
71.2056518943,-126.1175347913,1283.4974445645
71.2840053892,-126.3435661124,1283.3164181252
71.3473466617,-126.5744593404,1283.1356525299
71.4106879343,-126.8053525685,1282.9548869346
71.4653685699,-127.0525917174,1282.7940055145
71.5200492055,-127.2998308662,1282.6331240943
71.5747298410,-127.5470700151,1282.4722426741
71.6369572649,-127.8159597158,1282.3546583359
71.6991846887,-128.0848494164,1282.2370739976
71.7902987107,-128.3639437966,1282.1753928666
71.8814127327,-128.6430381769,1282.1137117356
72.0079932411,-128.9143877413,1282.0950894695
72.1345737495,-129.1857373057,1282.0764672033
72.2850718863,-129.4452458713,1282.0740975651
72.4355700230,-129.7047544369,1282.0717279268
72.5860681598,-129.9642630026,1282.0693582886
72.7822762292,-130.1911734249,1282.0731071221
72.9784842987,-130.4180838472,1282.0768559555
73.2042055587,-130.6146819995,1282.0968329241
73.4299268188,-130.8112801517,1282.1168098927
73.6776121509,-130.9767511990,1282.1524653093
73.9252974831,-131.1422222463,1282.1881207259
74.1981372579,-131.2646876871,1282.2117992624
74.4709770328,-131.3871531278,1282.2354777989
74.7438168076,-131.5096185685,1282.2591563354
75.0306929436,-131.5973040056,1282.2555030167
75.3175690795,-131.6849894427,1282.2518496980
75.5986816315,-131.7883050124,1282.2344823087
75.8797941834,-131.8916205820,1282.2171149195
76.1483679383,-132.0181634368,1282.1740446967
76.4169416932,-132.1447062916,1282.1309744738
76.6855154481,-132.2712491463,1282.0879042510
76.9183621000,-132.4391257073,1282.0007268630
77.1512087520,-132.6070022682,1281.9135494750
77.3423478483,-132.8082927070,1281.7997601738
77.5334869447,-133.0095831458,1281.6859708726
77.6824788708,-133.2351108013,1281.5558221786
77.8314707969,-133.4606384568,1281.4256734845
77.9314310457,-133.7043948007,1281.2821785596
78.0313912944,-133.9481511446,1281.1386836347
78.1313515432,-134.1919074885,1280.9951887098
78.1785043526,-134.4296332531,1280.8183750412
78.2256571620,-134.6673590178,1280.6415613726
78.2620404878,-134.8982812773,1280.4535423213
78.2984238135,-135.1292035369,1280.2655232700
78.3348071393,-135.3601257965,1280.0775042187
78.3765460175,-135.5922798026,1279.8921332840
78.4182848958,-135.8244338088,1279.7067623492
78.4695316893,-136.0658466344,1279.5361938475
78.5207784829,-136.3072594601,1279.3656253458
78.5720252765,-136.5486722857,1279.1950568441
78.6586466342,-136.7876382777,1279.0357081854
78.7452679919,-137.0266042698,1278.8763595266
78.8678852327,-137.2693323833,1278.7496785289
78.9905024735,-137.5120604967,1278.6229975312
79.1352638554,-137.7587074137,1278.5323915676
79.2800252373,-138.0053543307,1278.4417856039
79.4264456798,-138.2623663270,1278.3917267605
79.5728661223,-138.5193783232,1278.3416679170
79.7192865648,-138.7763903194,1278.2916090735
79.8585699800,-139.0420955173,1278.2925461393
79.9978533952,-139.3078007151,1278.2934832051
80.1184396588,-139.5819888960,1278.3102102638
80.2390259224,-139.8561770769,1278.3269373225
80.3092591538,-140.1477166883,1278.3354195492
80.3794923853,-140.4392562997,1278.3439017760
80.3688753308,-140.7388869025,1278.3334720094
80.3582582763,-141.0385175053,1278.3230422428
80.3476412219,-141.3381481081,1278.3126124762
80.2321147442,-141.6103012395,1278.2617567389
80.1165882665,-141.8824543709,1278.2109010017
79.9698915119,-142.1262679057,1278.1158482664
79.8231947574,-142.3700814404,1278.0207955311
79.6380199874,-142.5834458318,1277.9198701079
79.4528452174,-142.7968102231,1277.8189446847
79.2276048003,-142.9767700888,1277.7359916783
79.0023643832,-143.1567299544,1277.6530386719
78.7771239661,-143.3366898201,1277.5700856655
78.5376017907,-143.4559987844,1277.4344593461
78.2980796154,-143.5753077488,1277.2988330266
78.0845306107,-143.6665247715,1277.1088954649
77.8709816060,-143.7577417943,1276.9189579031
77.6574326013,-143.8489588170,1276.7290203414
77.5081237607,-143.9557138296,1276.4917225593
77.3588149201,-144.0624688423,1276.2544247772
77.3330822990,-144.1994224727,1275.9887529207
77.3073496779,-144.3363761031,1275.7230810642
77.4170484316,-144.5349693407,1275.5267983360
77.5267471852,-144.7335625783,1275.3305156077
77.7148563717,-144.9315411599,1275.2063406697
77.9029655582,-145.1295197414,1275.0821657318
78.0910747447,-145.3274983229,1274.9579907938
78.3588870941,-145.4604778592,1274.9336394392
78.6266994434,-145.5934573955,1274.9092880846
78.8947245866,-145.7255539462,1274.9359905918
79.1627497299,-145.8576504968,1274.9626930990
79.4277835700,-145.9914078918,1275.0058905859
79.6928174101,-146.1251652869,1275.0490880728
79.9578512502,-146.2589226820,1275.0922855597
80.2271527520,-146.3889366158,1275.1162246093
80.4964542539,-146.5189505497,1275.1401636589
80.7624057208,-146.6575903851,1275.1471503092
81.0283571877,-146.7962302205,1275.1541369595
81.2864634549,-146.9491114664,1275.1512249979
81.5445697221,-147.1019927122,1275.1483130362
81.8026759892,-147.2548739580,1275.1454010745
82.0333506397,-147.4466790802,1275.1453744793
82.2640252902,-147.6384842025,1275.1453478841
82.4602467784,-147.8653716141,1275.1497330887
82.6564682666,-148.0922590257,1275.1541182932
82.8428523082,-148.3273347318,1275.1547518882
83.0292363499,-148.5624104378,1275.1553854831
83.2156203915,-148.7974861439,1275.1560190780
83.3917839382,-149.0401534866,1275.1471328180
83.5679474849,-149.2828208292,1275.1382465580
83.7361808968,-149.5307992116,1275.1239552670
83.9044143087,-149.7787775940,1275.1096639761
84.0726477206,-150.0267559763,1275.0953726851
84.2340194812,-150.2792866056,1275.0816819511
84.3953912417,-150.5318172348,1275.0679912171
84.5602514200,-150.7814478552,1275.0455039991
84.7251115984,-151.0310784755,1275.0230167811
84.8899717768,-151.2807090959,1275.0005295631
85.0641674527,-151.5228713118,1274.9686967546
85.2383631286,-151.7650335276,1274.9368639462
85.4396853169,-151.9868971600,1274.9211825837
85.6410075053,-152.2087607923,1274.9055012212
85.8741122444,-152.3975547894,1274.9098609530
86.1072169835,-152.5863487865,1274.9142206849
86.3403217226,-152.7751427836,1274.9185804167
86.5983713452,-152.9271235159,1274.9362509941
86.8564209678,-153.0791042481,1274.9539215714
