3d_x,3d_y,3d_z
71.5718750000,-123.2281250000,1286.0000000000
71.7785427128,-123.4347927128,1286.0676528858
71.9852104256,-123.6414604257,1286.1353057715
72.1918781385,-123.8481281385,1286.2029586573
72.3985458513,-124.0547958513,1286.2706115430
72.6108650338,-124.2421958302,1286.3696156474
72.8231842162,-124.4295958090,1286.4686197517
73.0355033987,-124.6169957879,1286.5676238561
73.2561935370,-124.7909942423,1286.6726019524
73.4768836754,-124.9649926967,1286.7775800488
73.6975738137,-125.1389911511,1286.8825581451
73.9241252778,-125.3058227863,1286.9866813394
74.1506767420,-125.4726544214,1287.0908045338
74.3729360619,-125.6467095679,1287.1923210383
74.5951953818,-125.8207647145,1287.2938375429
74.8174547017,-125.9948198610,1287.3953540474
75.0282523573,-126.1908232920,1287.4798939989
75.2390500130,-126.3868267230,1287.5644339503
75.4350576198,-126.6061123665,1287.6235509921
75.6310652266,-126.8253980099,1287.6826680340
75.8270728335,-127.0446836534,1287.7417850758
76.0078202397,-127.2815827219,1287.7765587225
76.1885676459,-127.5184817904,1287.8113323692
76.3645904292,-127.7588494493,1287.8465370319
76.5406132126,-127.9992171083,1287.8817416946
76.7166359959,-128.2395847672,1287.9169463572
76.8936600842,-128.4803122339,1287.9436439032
77.0706841724,-128.7210397006,1287.9703414492
77.2532862612,-128.9583903664,1287.9882617893
77.4358883500,-129.1957410323,1288.0061821294
77.6172058963,-129.4344853322,1288.0173672390
77.7985234426,-129.6732296321,1288.0285523486
77.9798409889,-129.9119739320,1288.0397374582
78.1528445467,-130.1568591733,1288.0497867153
78.3258481045,-130.4017444146,1288.0598359725
78.4985848507,-130.6468726567,1288.0684476763
78.6713215968,-130.8920008988,1288.0770593801
78.8440583430,-131.1371291410,1288.0856710839
79.0144028531,-131.3839983828,1288.0918618254
79.1847473633,-131.6308676247,1288.0980525669
79.3482000322,-131.8823899617,1288.0936097099
79.5116527011,-132.1339122988,1288.0891668529
79.6751053701,-132.3854346359,1288.0847239960
79.8283125004,-132.6426480542,1288.0655189800
79.9815196308,-132.8998614725,1288.0463139639
80.1292036327,-133.1593467395,1288.0170422742
80.2768876346,-133.4188320064,1287.9877705845
80.4210183998,-133.6785827867,1287.9458676648
80.5651491651,-133.9383335669,1287.9039647452
80.7092799304,-134.1980843471,1287.8620618255
80.8398176545,-134.4633412760,1287.8110847300
80.9703553786,-134.7285982049,1287.7601076345
81.1011040393,-134.9928389481,1287.7045953173
81.2318526999,-135.2570796913,1287.6490830002
81.3589532497,-135.5211790689,1287.5850754302
81.4860537995,-135.7852784464,1287.5210678601
81.6131543493,-136.0493778239,1287.4570602901
81.7492783701,-136.3013568371,1287.3677472010
81.8854023909,-136.5533358503,1287.2784341119
82.0254888702,-136.7961313622,1287.1715410920
82.1655753496,-137.0389268741,1287.0646480721
82.3056618289,-137.2817223860,1286.9577550522
82.4419970823,-137.5034699536,1286.8086218401
82.5783323358,-137.7252175212,1286.6594886280
82.7117062144,-137.9131874969,1286.4674503591
82.8450800929,-138.1011574726,1286.2754120901
82.9784539715,-138.2891274483,1286.0833738212
83.1032123190,-138.4345071083,1285.8525056571
83.2279706666,-138.5798867684,1285.6216374930
83.3520659846,-138.7133764304,1285.3833501409
83.4761613026,-138.8468660924,1285.1450627888
83.6002566206,-138.9803557544,1284.9067754367
83.7371938726,-139.1110007829,1284.6740093190
83.8741311245,-139.2416458114,1284.4412432012
84.0110683764,-139.3722908399,1284.2084770835
84.1778702657,-139.5066224879,1283.9984005782
84.3446721550,-139.6409541359,1283.7883240729
84.5114740442,-139.7752857838,1283.5782475675
84.7026305146,-139.9396274712,1283.4156098916
84.8937869850,-140.1039691586,1283.2529722157
85.1023747596,-140.3063160016,1283.1784947333
85.3109625343,-140.5086628446,1283.1040172508
85.5195503089,-140.7110096876,1283.0295397683
85.7198484247,-140.9171870314,1283.1153976027
85.9201465405,-141.1233643752,1283.2012554371
86.0983448047,-141.3158553362,1283.3468322503
86.2765430689,-141.5083462972,1283.4924090636
86.4547413331,-141.7008372582,1283.6379858769
86.5940048645,-141.8856389474,1283.8289151950
86.7332683958,-142.0704406366,1284.0198445131
86.8725319272,-142.2552423257,1284.2107738312
86.9827092486,-142.4460811172,1284.4143457191
87.0928865699,-142.6369199086,1284.6179176069
87.2030638913,-142.8277587000,1284.8214894948
87.3037226959,-143.0267908234,1285.0221235371
87.4043815005,-143.2258229467,1285.2227575795
87.4987760613,-143.4385255499,1285.4120913310
87.5931706221,-143.6512281531,1285.6014250826
87.6875651829,-143.8639307564,1285.7907588341
87.7754171728,-144.1066352953,1285.9436527014
87.8632691626,-144.3493398342,1286.0965465687
87.9511211525,-144.5920443732,1286.2494404360
88.0407796678,-144.8642835719,1286.3380246857
88.1304381831,-145.1365227707,1286.4266089353
88.2263805260,-145.4149458328,1286.4838423639
88.3223228688,-145.6933688949,1286.5410757925
88.4350082431,-145.9708797802,1286.5580968083
88.5476936173,-146.2483906654,1286.5751178240
88.6603789916,-146.5259015507,1286.5921388397
88.8045275988,-146.7882918544,1286.5728383849
88.9486762061,-147.0506821581,1286.5535379300
89.1131866906,-147.2992452653,1286.5195867556
89.2776971751,-147.5478083724,1286.4856355812
89.4518607253,-147.7905623497,1286.4584774460
89.6260242755,-148.0333163269,1286.4313193108
89.8001878257,-148.2760703042,1286.4041611756
89.9803925005,-148.5154237859,1286.3887928327
90.1605971753,-148.7547772677,1286.3734244899
90.3344207324,-148.9991502229,1286.3652251157
90.5082442896,-149.2435231781,1286.3570257415
90.6820678467,-149.4878961333,1286.3488263674
