3d_x,3d_y,3d_z
32.5718750000,-149.6281250000,1325.6000000000
32.6661875179,-149.6281250000,1325.8847896574
32.7605000358,-149.6281250000,1326.1695793148
32.8548125537,-149.6281250000,1326.4543689722
32.9915839917,-149.4850259549,1326.6797935428
33.1283554296,-149.3419269097,1326.9052181135
33.3299667669,-149.2080050786,1327.0824688168
33.5315781042,-149.0740832474,1327.2597195201
33.7331894415,-148.9401614163,1327.4369702234
33.9929171893,-148.8778552553,1327.5735697816
34.2526449372,-148.8155490944,1327.7101693398
34.5292962530,-148.8177547862,1327.8261830648
34.8059475688,-148.8199604780,1327.9421967899
35.0906588427,-148.8513146483,1328.0313954812
35.3753701165,-148.8826688185,1328.1205941725
35.6600813904,-148.9140229887,1328.2097928638
35.9481058032,-148.9443216914,1328.2880483828
36.2361302160,-148.9746203941,1328.3663039018
36.5253268483,-148.9904459386,1328.4445014721
36.8145234807,-149.0062714830,1328.5226990423
37.1038583460,-149.0148881878,1328.6015094991
37.3931932113,-149.0235048926,1328.6803199559
37.6811279059,-149.0376719398,1328.7633434853
37.9690626005,-149.0518389871,1328.8463670146
38.2569971849,-149.0790038252,1328.9260899516
38.5449317693,-149.1061686633,1329.0058128885
38.8328663537,-149.1333335014,1329.0855358254
39.1176850192,-149.1923291343,1329.1590058403
39.4025036847,-149.2513247672,1329.2324758551
39.6759900414,-149.3471893439,1329.3100335475
39.9494763981,-149.4430539205,1329.3875912399
40.2135193619,-149.5652132250,1329.4607924531
40.4775623256,-149.6873725294,1329.5339936664
40.7377631719,-149.8236991644,1329.5949080998
40.9979640181,-149.9600257994,1329.6558225333
41.2577871631,-150.1023003334,1329.7032555422
41.5176103080,-150.2445748673,1329.7506885512
41.7795452272,-150.3815509460,1329.8019491793
42.0414801464,-150.5185270246,1329.8532098074
42.3034150656,-150.6555031032,1329.9044704354
42.5793044918,-150.7722266831,1329.9206144874
42.8551939180,-150.8889502629,1329.9367585394
43.1246452406,-151.0187785854,1329.9135079177
43.3940965633,-151.1486069079,1329.8902572960
43.6524047504,-151.2960131947,1329.8509092707
43.9107129375,-151.4434194814,1329.8115612453
44.1690211246,-151.5908257681,1329.7722132199
44.4203243988,-151.7497956912,1329.7325240786
44.6716276730,-151.9087656143,1329.6928349373
44.9188128207,-152.0755383968,1329.6598752380
45.1659979683,-152.2423111793,1329.6269155386
45.4131831160,-152.4090839618,1329.5939558392
45.6575776736,-152.5818810592,1329.5736466454
45.9019722312,-152.7546781566,1329.5533374517
46.1419105846,-152.9342284318,1329.5395068604
46.3818489380,-153.1137787070,1329.5256762692
46.6217872914,-153.2933289822,1329.5118456779
46.8545674924,-153.4820242582,1329.4974418310
47.0873476935,-153.6707195342,1329.4830379841
47.3201278945,-153.8594148102,1329.4686341372
47.5493558805,-154.0517089877,1329.4467828278
47.7785838666,-154.2440031652,1329.4249315184
48.0063605224,-154.4375665785,1329.3994168143
48.2341371781,-154.6311299917,1329.3739021103
48.4504902397,-154.8367743406,1329.3438728823
48.6668433012,-155.0424186895,1329.3138436542
48.8831963628,-155.2480630384,1329.2838144262
49.0810919106,-155.4698306046,1329.2431143192
49.2789874584,-155.6915981709,1329.2024142121
49.4521820605,-155.9314999330,1329.1529089160
49.6253766625,-156.1714016951,1329.1034036199
49.7814571270,-156.4243053356,1329.0624324439
49.9375375914,-156.6772089761,1329.0214612679
50.0967951151,-156.9272215664,1328.9753012654
50.2560526389,-157.1772341567,1328.9291412629
50.4053408176,-157.4310731859,1328.8718805702
50.5546289964,-157.6849122151,1328.8146198775
50.6751114513,-157.9533059138,1328.7558933884
50.7955939063,-158.2216996126,1328.6971668993
50.8818768851,-158.5054947123,1328.6522715883
50.9681598640,-158.7892898120,1328.6073762773
51.0749695419,-159.0666033951,1328.5662804218
51.1817792198,-159.3439169781,1328.5251845662
51.3122015883,-159.6102702504,1328.4799524963
51.4426239568,-159.8766235227,1328.4347204264
51.5974004009,-160.1300183029,1328.3918795849
51.7521768450,-160.3834130832,1328.3490387435
51.9359389740,-160.6170609054,1328.3085396680
52.1197011030,-160.8507087276,1328.2680405924
52.3034632321,-161.0843565498,1328.2275415169
52.5016517489,-161.3057903470,1328.1864515521
52.6998402658,-161.5272241443,1328.1453615872
52.8674312971,-161.7702809646,1328.0921015805
53.0350223285,-162.0133377849,1328.0388415738
53.2026133598,-162.2563946052,1327.9855815671
53.3444554663,-162.5115278801,1327.9163874279
53.4862975727,-162.7666611549,1327.8471932887
53.6430718383,-163.0126494922,1327.7771107118
53.7998461039,-163.2586378294,1327.7070281349
53.9566203695,-163.5046261666,1327.6369455579
54.1295710541,-163.7374051968,1327.5601211880
54.3025217386,-163.9701842270,1327.4832968180
54.4754724231,-164.2029632572,1327.4064724481
54.6583174915,-164.4270196491,1327.3266826352
54.8411625599,-164.6510760410,1327.2468928223
55.0285662389,-164.8709638388,1327.1660892491
55.2159699178,-165.0908516367,1327.0852856758
55.4033735968,-165.3107394346,1327.0044821025
55.5890054244,-165.5320161072,1326.9233805690
55.7746372519,-165.7532927799,1326.8422790355
55.9602690795,-165.9745694525,1326.7611775020
56.1425367896,-166.2013031778,1326.6878951736
56.3248044998,-166.4280369031,1326.6146128453
56.5056017996,-166.6549247047,1326.5382305051
56.6863990994,-166.8818125062,1326.4618481649
56.8671963992,-167.1087003077,1326.3854658246
57.0452195159,-167.3338027877,1326.2980779338
57.2232426325,-167.5589052676,1326.2106900431
57.4012657492,-167.7840077476,1326.1233021523
57.5666264078,-168.0149327422,1326.0267128184
57.7319870665,-168.2458577369,1325.9301234846
57.8843140270,-168.4854385691,1325.8331826678
58.0366409875,-168.7250194012,1325.7362418510
58.1889679480,-168.9646002334,1325.6393010342
58.3317071280,-169.2084182918,1325.5384135677
58.4744463080,-169.4522363501,1325.4375261011
58.6171854881,-169.6960544085,1325.3366386346
58.7727176957,-169.9266793448,1325.2242915335
58.9282499034,-170.1573042811,1325.1119444324
59.1075673447,-170.3658220278,1324.9920878324
59.2868847860,-170.5743397744,1324.8722312324
59.4662022274,-170.7828575211,1324.7523746324
59.6569801881,-170.9812086297,1324.6329568472
59.8477581489,-171.1795597383,1324.5135390620
60.0385361096,-171.3779108468,1324.3941212768
60.2018755689,-171.5971126317,1324.2705462044
60.3652150283,-171.8163144166,1324.1469711319
60.4823113860,-172.0544673255,1324.0070724722
60.5994077438,-172.2926202343,1323.8671738124
60.6630476275,-172.5467566388,1323.7210072871
60.7266875112,-172.8008930433,1323.5748407619
60.7903273949,-173.0550294478,1323.4286742366
60.8016982914,-173.3214324806,1323.2911965045
60.8130691879,-173.5878355135,1323.1537187725
60.8116294071,-173.8652324797,1323.0394872088
60.8101896263,-174.1426294460,1322.9252556451
60.8127676005,-174.4309663549,1322.8424596245
60.8153455746,-174.7193032638,1322.7596636040
60.8160205585,-175.0149748169,1322.7088908053
60.8166955423,-175.3106463700,1322.6581180066
60.8305282495,-175.6082967086,1322.6232908312
60.8443609566,-175.9059470472,1322.5884636558
60.8724530184,-176.2009470556,1322.5417107835
60.9005450801,-176.4959470641,1322.4949579112
60.9286371418,-176.7909470726,1322.4482050389
60.9789430352,-177.0722658720,1322.3569414087
61.0292489287,-177.3535846714,1322.2656777786
61.0948456716,-177.6283729274,1322.1647397696
61.1604424145,-177.9031611835,1322.0638017606
61.2368656158,-178.1792729907,1321.9747974675
61.3132888172,-178.4553847980,1321.8857931744
61.3880723886,-178.7342256650,1321.8042138368
61.4628559601,-179.0130665320,1321.7226344992
61.5172635952,-179.2907718673,1321.6230375313
61.5716712304,-179.5684772025,1321.5234405634
61.6046642131,-179.8372160171,1321.3942472485
61.6376571958,-180.1059548317,1321.2650539336
61.6706501786,-180.3746936463,1321.1358606187
61.6804216796,-180.6306010515,1320.9796046821
61.6901931806,-180.8865084567,1320.8233487454
61.6898545123,-181.1399025771,1320.6627520299
61.6895158440,-181.3932966975,1320.5021553143
61.6889296721,-181.6465432542,1320.3413267163
61.6883435002,-181.8997898108,1320.1804981182
61.6877573284,-182.1530363675,1320.0196695202
61.6885051713,-182.4032239263,1319.8541230731
61.6892530143,-182.6534114851,1319.6885766260
61.6950543955,-182.9073525938,1319.5289512605
61.7008557767,-183.1612937024,1319.3693258951
61.7066571579,-183.4152348111,1319.2097005296
61.7093111989,-183.6763311260,1319.0619789318
61.7119652399,-183.9374274408,1318.9142573341
61.7135212292,-184.1963868209,1318.7628056310
61.7150772186,-184.4553462009,1318.6113539278
61.7086283661,-184.7074147400,1318.4488120443
61.7021795137,-184.9594832791,1318.2862701607
61.6957306612,-185.2115518181,1318.1237282772
61.6877345966,-185.4595283303,1317.9550756389
61.6797385320,-185.7075048424,1317.7864230007
61.6728414744,-185.9552107620,1317.6173247807
61.6659444167,-186.2029166815,1317.4482265607
61.6590473591,-186.4506226011,1317.2791283407
61.6359401680,-186.6981348278,1317.1111886034
61.6128329770,-186.9456470545,1316.9432488662
61.5738387419,-187.1836300347,1316.7648012527
61.5348445069,-187.4216130150,1316.5863536392
61.4899276353,-187.6541216236,1316.4021737772
61.4450107636,-187.8866302322,1316.2179939152
61.4000938920,-188.1191388408,1316.0338140532
61.3507557957,-188.3572492076,1315.8581177087
61.3014176995,-188.5953595744,1315.6824213642
61.2568577281,-188.8449371271,1315.5220297991
61.2122977567,-189.0945146797,1315.3616382339
61.1772936603,-189.3446940024,1315.1998203743
61.1422895639,-189.5948733252,1315.0380025146
61.1072854674,-189.8450526480,1314.8761846550
61.0909015174,-190.0992861929,1314.7177647357
61.0745175675,-190.3535197378,1314.5593448165
61.0632451114,-190.6130739552,1314.4093296840
61.0519726554,-190.8726281726,1314.2593145515
61.0406733638,-191.1339247153,1314.1123572694
61.0293740722,-191.3952212581,1313.9653999873
61.0180747806,-191.6565178008,1313.8184427052
61.0027397871,-191.9102276675,1313.6590810363
60.9874047936,-192.1639375342,1313.4997193674
60.9683461465,-192.4171276822,1313.3399335204
60.9492874995,-192.6703178303,1313.1801476735
60.9346772369,-192.9216940836,1313.0170632796
60.9200669744,-193.1730703368,1312.8539788857
60.9054567118,-193.4244465901,1312.6908944918
60.9151085694,-193.6671913618,1312.5148779658
60.9247604271,-193.9099361335,1312.3388614397
60.9471618927,-194.1472743603,1312.1567385679
60.9695633583,-194.3846125871,1311.9746156961
60.9898619088,-194.6285526903,1311.8011763841
61.0101604593,-194.8724927934,1311.6277370722
61.0304590098,-195.1164328965,1311.4542977602
61.0380200840,-195.3832943775,1311.3174482803
61.0455811582,-195.6501558584,1311.1805988004
61.0472351378,-195.9261660470,1311.0630588491
61.0488891174,-196.2021762356,1310.9455188979
61.0436938042,-196.4812345416,1310.8355213044
61.0384984909,-196.7602928476,1310.7255237109
61.0252913327,-197.0402452670,1310.6185086942
61.0120841745,-197.3201976865,1310.5114936775
60.9988770162,-197.6001501060,1310.4044786608
60.9763900129,-197.8759210608,1310.2885273124
60.9539030095,-198.1516920155,1310.1725759640
60.9321538221,-198.4245389730,1310.0497691619
60.9104046348,-198.6973859305,1309.9269623598
60.8941852368,-198.9658108428,1309.7939774074
60.8779658388,-199.2342357552,1309.6609924550
60.8617464409,-199.5026606675,1309.5280075026
60.8552559525,-199.7513976966,1309.3604134576
60.8487654641,-200.0001347257,1309.1928194126
60.8360058778,-200.2366512633,1309.0087077063
60.8232462915,-200.4731678010,1308.8245960001
60.8083922535,-200.7011661748,1308.6301838115
60.7935382155,-200.9291645486,1308.4357716228
60.7786841774,-201.1571629224,1308.2413594341
60.7682398460,-201.3732872420,1308.0335585813
60.7577955146,-201.5894115615,1307.8257577285
60.7618050396,-201.7961633671,1307.6084155683
60.7658145645,-202.0029151727,1307.3910734081
60.7698240895,-202.2096669782,1307.1737312479
60.7971815615,-202.4042407094,1306.9470318172
60.8245390336,-202.5988144405,1306.7203323865
60.8518965056,-202.7933881716,1306.4936329558
60.9148037610,-202.9822439991,1306.2691866289
60.9777110163,-203.1710998266,1306.0447403021
61.0501309935,-203.3562961043,1305.8201124195
61.1225509706,-203.5414923820,1305.5954845369
61.1949709478,-203.7266886597,1305.3708566543
61.2604234019,-203.9102606190,1305.1427836134
61.3258758560,-204.0938325784,1304.9147105725
61.3799208736,-204.2703226142,1304.6782144766
61.4339658912,-204.4468126500,1304.4417183808
61.4880109088,-204.6233026858,1304.2052222850
61.5158071952,-204.7932908780,1303.9595978135
61.5436034817,-204.9632790702,1303.7139733421
61.5713997681,-205.1332672624,1303.4683488706
61.5475291106,-205.3073154108,1303.2251669763
61.5236584531,-205.4813635592,1302.9819850819
61.4937848529,-205.6614228678,1302.7438964148
61.4639112527,-205.8414821764,1302.5058077478
61.4340376525,-206.0215414851,1302.2677190807
61.4127053209,-206.2192199177,1302.0430678646
61.3913729893,-206.4168983504,1301.8184166485
61.3700406577,-206.6145767831,1301.5937654325
61.3690761442,-206.8250665392,1301.3800059127
61.3681116307,-207.0355562953,1301.1662463930
61.3774988984,-207.2491959094,1300.9558420335
61.3868861661,-207.4628355235,1300.7454376740
61.3962734338,-207.6764751376,1300.5350333145
61.4192252202,-207.8909426197,1300.3265221286
61.4421770066,-208.1054101017,1300.1180109427
61.4651287930,-208.3198775838,1299.9094997568
61.4908667856,-208.5331362196,1299.7000759998
61.5166047782,-208.7463948553,1299.4906522428
61.5198371052,-208.9535300709,1299.2736624860
61.5230694322,-209.1606652864,1299.0566727292
61.5263017592,-209.3678005019,1298.8396829724
61.4940178852,-209.5512023255,1298.6044776949
61.4617340112,-209.7346041491,1298.3692724174
61.4294501372,-209.9180059727,1298.1340671399
61.3747111674,-210.0508578343,1297.8707156104
61.3199721976,-210.1837096958,1297.6073640809
61.2635725329,-210.3067666081,1297.3396402042
61.2071728681,-210.4298235204,1297.0719163275
61.1507732034,-210.5528804327,1296.8041924508
61.1078050354,-210.6943159726,1296.5431374287
61.0648368673,-210.8357515124,1296.2820824065
61.0525561279,-211.0249901057,1296.0496217899
61.0402753884,-211.2142286989,1295.8171611733
61.0465390905,-211.4326825938,1295.6116407076
61.0528027927,-211.6511364886,1295.4061202418
61.0590664949,-211.8695903835,1295.2005997760
61.0423554261,-212.0781442711,1294.9855974129
61.0256443573,-212.2866981587,1294.7705950498
61.0002527477,-212.4728482314,1294.5367074345
60.9748611381,-212.6589983042,1294.3028198192
60.9494695285,-212.8451483769,1294.0689322039
60.9195861841,-212.9925633065,1293.8093636691
60.8897028397,-213.1399782360,1293.5497951342
60.8770995035,-213.2698380880,1293.2796515155
60.8644961672,-213.3996979399,1293.0095078967
60.8742532595,-213.5169707437,1292.7335515802
60.8840103518,-213.6342435476,1292.4575952636
60.8937674441,-213.7515163514,1292.1816389471
60.9375540743,-213.8463570838,1291.9004131188
60.9813407045,-213.9411978163,1291.6191872906
61.0509363837,-214.0326100325,1291.3420587136
61.1205320628,-214.1240222488,1291.0649301367
61.2086975181,-214.2159493457,1290.7933122776
61.2968629733,-214.3078764427,1290.5216944186
61.3889449204,-214.4151044093,1290.2570756774
61.4810268674,-214.5223323759,1289.9924569362
61.5731088144,-214.6295603426,1289.7278381949
61.6530131587,-214.7609851072,1289.4702671814
61.7329175030,-214.8924098719,1289.2126961679
61.8074025112,-215.0283237743,1288.9558316225
61.8818875193,-215.1642376767,1288.6989670771
61.9563386731,-215.2941548738,1288.4390083350
62.0307898269,-215.4240720709,1288.1790495929
62.1052409807,-215.5539892681,1287.9190908508
62.1945691990,-215.6612968958,1287.6535620530
62.2838974174,-215.7686045235,1287.3880332553
62.3806384960,-215.8721631234,1287.1236154418
62.4773795745,-215.9757217234,1286.8591976283
62.5829115561,-216.0656178469,1286.5931493473
62.6884435378,-216.1555139704,1286.3271010662
62.7996461480,-216.2303539903,1286.0587115156
62.9108487583,-216.3051940102,1285.7903219650
63.0183394464,-216.3705826486,1285.5179801247
63.1258301345,-216.4359712870,1285.2456382845
63.2333208226,-216.5013599254,1284.9732964443
63.3411658746,-216.5431300201,1284.6964847683
63.4490109266,-216.5849001148,1284.4196730924
63.5475047156,-216.6309302203,1284.1400658626
63.6459985045,-216.6769603258,1283.8604586329
63.7292652570,-216.7339332409,1283.5779329971
63.8125320096,-216.7909061561,1283.2954073614
63.8874222985,-216.8501274435,1283.0110057373
63.9623125874,-216.9093487310,1282.7266041133
64.0157335538,-216.9691440548,1282.4375181061
64.0691545201,-217.0289393786,1282.1484320988
64.1131930883,-217.0942387556,1281.8589556820
64.1572316566,-217.1595381326,1281.5694792652
64.2113222265,-217.2349010877,1281.2841818148
64.2654127965,-217.3102640428,1280.9988843643
64.3256526133,-217.3882120000,1280.7155201456
64.3858924302,-217.4661599572,1280.4321559269
64.4461322471,-217.5441079144,1280.1487917082
64.5204018499,-217.6215427355,1279.8686348333
64.5946714527,-217.6989775566,1279.5884779583
64.6730582947,-217.7763041975,1279.3094150737
64.7514451367,-217.8536308384,1279.0303521890
64.8138786830,-217.9177875008,1278.7440202575
64.8763122293,-217.9819441633,1278.4576883261
64.9173932244,-218.0351435190,1278.1653149682
64.9584742195,-218.0883428747,1277.8729416103
64.9960884363,-218.1408675382,1277.5799802982
65.0337026531,-218.1933922017,1277.2870189860
65.0879915737,-218.2417062245,1276.9959546146
65.1422804943,-218.2900202473,1276.7048902432
65.2218711003,-218.3396078468,1276.4199228672
65.3014617064,-218.3891954463,1276.1349554911
65.4044492308,-218.4452246741,1275.8588136880
65.5074367553,-218.5012539020,1275.5826718849
65.6247510035,-218.5518431193,1275.3112347867
65.7420652517,-218.6024323366,1275.0397976886
65.8593794999,-218.6530215540,1274.7683605904
65.9848012959,-218.6925839214,1274.4987234413
66.1102230918,-218.7321462889,1274.2290862922
66.2335517882,-218.7775391431,1273.9594021780
66.3568804846,-218.8229319974,1273.6897180639
66.4795398438,-218.8758698030,1273.4211063174
66.6021992031,-218.9288076087,1273.1524945710
66.7324985896,-218.9881300350,1272.8888605072
66.8627979762,-219.0474524613,1272.6252264434
66.9930973627,-219.1067748877,1272.3615923796
67.1495176576,-219.1881591838,1272.1188800237
67.3059379525,-219.2695434799,1271.8761676678
67.4732231770,-219.3711528784,1271.6488107154
67.6405084015,-219.4727622769,1271.4214537630
67.8217095978,-219.5772184264,1271.2063839156
68.0029107940,-219.6816745760,1270.9913140681
68.2053577442,-219.7712212759,1270.7888378451
68.4078046944,-219.8607679758,1270.5863616220
68.6102516446,-219.9503146757,1270.3838853990
68.8383802882,-220.0121640341,1270.1991369786
69.0665089318,-220.0740133925,1270.0143885583
69.3108251049,-220.1142022654,1269.8449941602
