3d_x,3d_y,3d_z
42.1718750000,-149.0281250000,1328.6000000000
42.4439025982,-148.9386795256,1328.5105545256
42.7159301965,-148.8492340511,1328.4211090511
42.9879577947,-148.7597885767,1328.3316635767
43.2049639006,-148.5787838125,1328.2309380817
43.4219700065,-148.3977790482,1328.1302125867
43.6128209758,-148.2066722094,1327.9996213020
43.8036719451,-148.0155653705,1327.8690300173
43.9945229145,-147.8244585317,1327.7384387325
44.1576391467,-147.6542885760,1327.5528712760
44.3207553790,-147.4841186202,1327.3673038194
44.4527513691,-147.3422879741,1327.1382598795
44.5847473591,-147.2004573279,1326.9092159395
44.7167433492,-147.0586266818,1326.6801719996
44.8224689658,-146.9419576404,1326.4248086726
44.9281945823,-146.8252885991,1326.1694453455
45.0133447334,-146.7118333071,1325.9051021056
45.0984948845,-146.5983780152,1325.6407588656
45.1836450355,-146.4849227233,1325.3764156257
45.2433527708,-146.3623769398,1325.1091750650
45.3030605060,-146.2398311562,1324.8419345043
45.3471766823,-146.1135629157,1324.5734012765
45.3912928587,-145.9872946752,1324.3048680487
45.4268824738,-145.8457913530,1324.0427417641
45.4624720889,-145.7042880308,1323.7806154794
45.4980617041,-145.5627847086,1323.5184891948
45.5314369457,-145.3989093939,1323.2694290123
45.5648121873,-145.2350340793,1323.0203688298
45.5998178182,-145.0607288504,1322.7787238568
45.6348234492,-144.8864236216,1322.5370788837
45.6698290802,-144.7121183927,1322.2954339107
45.6991646520,-144.5281425480,1322.0602907356
45.7285002238,-144.3441667033,1321.8251475605
45.7662742893,-144.1575699970,1321.5932967698
45.8040483549,-143.9709732907,1321.3614459790
45.8418224205,-143.7843765844,1321.1295951883
45.9155603595,-143.5973938882,1320.9068841924
45.9892982986,-143.4104111920,1320.6841731966
46.0630362377,-143.2234284959,1320.4614622008
46.1859775238,-143.0389192322,1320.2593687278
46.3089188099,-142.8544099686,1320.0572752549
46.4318600960,-142.6699007049,1319.8551817820
46.5856250045,-142.4901655325,1319.6706509696
46.7393899129,-142.3104303602,1319.4861201571
46.8955333824,-142.1243775647,1319.3100418386
47.0516768520,-141.9383247693,1319.1339635201
47.2078203215,-141.7522719739,1318.9578852016
47.3637233727,-141.5493562407,1318.8012983444
47.5196264240,-141.3464405075,1318.6447114873
47.6755294753,-141.1435247744,1318.4881246302
47.8342035497,-140.9243264195,1318.3586077613
47.9928776242,-140.7051280647,1318.2290908924
48.1515516987,-140.4859297098,1318.0995740235
48.3165375838,-140.2597605353,1317.9917447037
48.4815234689,-140.0335913608,1317.8839153839
48.6477154705,-139.8040097012,1317.7855666158
48.8139074720,-139.5744280415,1317.6872178477
48.9800994735,-139.3448463819,1317.5888690796
49.1504330919,-139.1148251139,1317.4989987580
49.3207667103,-138.8848038459,1317.4091284365
49.4893969652,-138.6497365175,1317.3297106281
49.6580272200,-138.4146691891,1317.2502928196
49.8266574748,-138.1796018608,1317.1708750112
49.9793137126,-137.9300635753,1317.1043414322
50.1319699503,-137.6805252898,1317.0378078531
50.2715660277,-137.4210823381,1316.9812190732
50.4111621051,-137.1616393864,1316.9246302933
50.5507581825,-136.9021964348,1316.8680415133
50.6802712016,-136.6363507883,1316.8175195366
50.8097842208,-136.3705051419,1316.7669975599
50.9376371913,-136.1028690593,1316.7220026132
51.0654901618,-135.8352329767,1316.6770076665
51.1915039026,-135.5664514176,1316.6336831861
51.3175176433,-135.2976698584,1316.5903587058
51.4481413361,-135.0323311766,1316.5400314289
51.5787650289,-134.7669924947,1316.4897041519
51.7093887217,-134.5016538129,1316.4393768750
51.8529315624,-134.2438514536,1316.3852160364
51.9964744032,-133.9860490944,1316.3310551979
52.1590071625,-133.7396330633,1316.2775552747
52.3215399217,-133.4932170322,1316.2240553515
52.5167368285,-133.2700885544,1316.1781004823
52.7119337352,-133.0469600766,1316.1321456132
52.9401212519,-132.8536969763,1316.1080659270
53.1683087685,-132.6604338759,1316.0839862409
53.4093398516,-132.4818705498,1316.0796095332
53.6503709346,-132.3033072237,1316.0752328256
53.8914020177,-132.1247438976,1316.0708561180
54.0918773165,-131.9034227107,1316.0421056947
54.2923526152,-131.6821015239,1316.0133552714
