3d_x,3d_y,3d_z
48.7718750000,-141.2281250000,1319.0000000000
48.9785952536,-141.2954560741,1319.2067202536
49.1853155071,-141.3627871482,1319.4134405071
49.3920357607,-141.4301182223,1319.6201607607
49.5987560142,-141.4974492965,1319.8268810142
49.8427420185,-141.5229833899,1319.9995623386
50.0867280228,-141.5485174833,1320.1722436629
50.3307140271,-141.5740515767,1320.3449249872
50.6150222899,-141.5539829399,1320.4385522351
50.8993305526,-141.5339143031,1320.5321794830
51.1919948016,-141.5067386701,1320.5922554545
51.4846590505,-141.4795630370,1320.6523314260
51.7842975162,-141.4660873055,1320.6582639266
52.0839359818,-141.4526115740,1320.6641964271
52.3780106096,-141.4416062040,1320.6058955255
52.6684545327,-141.4263358935,1320.5323486347
52.9588984558,-141.4110655830,1320.4588017439
53.2478809110,-141.3873855569,1320.3818056598
53.5368633662,-141.3637055309,1320.3048095758
53.8258458214,-141.3400255049,1320.2278134917
54.1106318810,-141.3158614817,1320.1366378357
54.3954179406,-141.2916974584,1320.0454621797
54.6731833790,-141.2756445206,1319.9332629621
54.9509488174,-141.2595915828,1319.8210637446
55.2183405109,-141.2486983133,1319.6854797525
55.4857322044,-141.2378050438,1319.5498957605
55.7560934213,-141.2148767498,1319.4219148801
56.0264546382,-141.1919484558,1319.2939339997
56.3034239970,-141.1423196413,1319.1898909554
56.5803933557,-141.0926908268,1319.0858479110
56.8582544634,-141.0175433484,1319.0013135314
57.1361155711,-140.9423958700,1318.9167791519
57.4147184173,-140.8531384749,1318.8503444357
57.6933212635,-140.7638810798,1318.7839097195
57.9769121529,-140.6705518553,1318.7544841644
58.2605030423,-140.5772226308,1318.7250586093
58.5355897373,-140.4608821025,1318.7532045099
58.8106764322,-140.3445415741,1318.7813504106
59.0857631272,-140.2282010458,1318.8094963112
59.3436935117,-140.1227505944,1318.9206363987
59.6016238962,-140.0173001430,1319.0317764862
59.8555040016,-139.9212105586,1319.1594936889
60.1093841069,-139.8251209741,1319.2872108916
60.3605377587,-139.7445512524,1319.4301457128
60.6116914106,-139.6639815307,1319.5730805340
60.8628450624,-139.5834118090,1319.7160153552
61.1001161038,-139.5256681349,1319.8902798698
61.3373871452,-139.4679244608,1320.0645443843
61.5642154867,-139.4161592058,1320.2539362052
61.7910438283,-139.3643939508,1320.4433280262
62.0178721698,-139.3126286959,1320.6327198471
62.2292969495,-139.2706697600,1320.8413798823
62.4407217291,-139.2287108242,1321.0500399174
62.6668153115,-139.2125976492,1321.2465648716
62.8929088938,-139.1964844741,1321.4430898258
63.1190024761,-139.1803712991,1321.6396147800
63.3747906327,-139.2052933805,1321.7943768839
63.6305787893,-139.2302154618,1321.9491389878
63.9065377195,-139.2973170109,1322.0458036192
64.1824966496,-139.3644185600,1322.1424682506
64.4590348593,-139.4774203160,1322.1699859127
64.7355730690,-139.5904220720,1322.1975035748
65.0121112787,-139.7034238281,1322.2250212368
65.2503623554,-139.8660876560,1322.1426992864
65.4886134322,-140.0287514839,1322.0603773360
65.7066076453,-140.1882717156,1321.9298713258
65.9246018584,-140.3477919473,1321.7993653155
66.1425960716,-140.5073121791,1321.6688593053
66.3419979136,-140.6374978058,1321.4864021652
66.5413997556,-140.7676834325,1321.3039450250
66.7408015976,-140.8978690593,1321.1214878848
66.9326005497,-140.9896174055,1320.9098386398
67.1243995019,-141.0813657518,1320.6981893948
67.3161984540,-141.1731140981,1320.4865401497
67.5005501918,-141.2255308082,1320.2557438645
67.6849019296,-141.2779475183,1320.0249475793
67.8692536674,-141.3303642284,1319.7941512941
68.0655096542,-141.3331908508,1319.5672689505
68.2617656411,-141.3360174731,1319.3403866069
68.4613584943,-141.3168951751,1319.1172341239
68.6609513475,-141.2977728771,1318.8940816409
68.8605442007,-141.2786505791,1318.6709291579
69.0538939717,-141.2448695321,1318.4440487777
69.2472437426,-141.2110884852,1318.2171683974
69.4405935136,-141.1773074382,1317.9902880172
69.6264846839,-141.1216154891,1317.7615023542
69.8123758541,-141.0659235400,1317.5327166911
70.0011597575,-140.9889827036,1317.3126241071
70.1899436608,-140.9120418671,1317.0925315231
70.3787275641,-140.8351010306,1316.8724389392
70.5798110562,-140.7437281589,1316.6694206455
70.7808945482,-140.6523552872,1316.4664023519
70.9819780402,-140.5609824156,1316.2633840582
71.1831569340,-140.4525547305,1316.0690377441
71.3843358278,-140.3441270455,1315.8746914300
71.5905491712,-140.2379674612,1315.6844121624
71.7967625146,-140.1318078770,1315.4941328948
72.0029758579,-140.0256482927,1315.3038536271
72.2177974667,-139.9548748541,1315.1067678671
72.4326190754,-139.8841014155,1314.9096821071
72.6381082862,-139.8892525017,1314.6911697492
72.8435974970,-139.8944035878,1314.4726573913
73.0490867078,-139.8995546740,1314.2541450334
73.2350371348,-140.0205432018,1314.0521940125
73.4209875618,-140.1415317296,1313.8502429916
73.5663982560,-140.3470046024,1313.6870356738
73.7118089501,-140.5524774752,1313.5238283561
73.8572196442,-140.7579503481,1313.3606210383
73.9676871074,-141.0224335285,1313.2720457211
74.0781545705,-141.2869167090,1313.1834704038
74.1994685792,-141.5518786146,1313.1122096159
74.3207825879,-141.8168405202,1313.0409488280
74.4420965966,-142.0818024257,1312.9696880401
74.5593846227,-142.3500565539,1312.9042415607
74.6766726488,-142.6183106820,1312.8387950813
74.8131592194,-142.8786125334,1312.7786755154
74.9496457900,-143.1389143848,1312.7185559494
75.1108160179,-143.3834027655,1312.6533670752
75.2719862458,-143.6278911463,1312.5881782011
75.4331564737,-143.8723795271,1312.5229893269
75.6403056234,-144.0678564315,1312.4287661366
75.8474547731,-144.2633333360,1312.3345429463
76.0687422555,-144.3655208994,1312.1596442555
76.2900297380,-144.4677084627,1311.9847455648
