3d_x,3d_y,3d_z
19.3718750000,-155.6281250000,1272.2000000000
19.5177514410,-155.8459325480,1272.0541235590
19.6636278819,-156.0637400959,1271.9082471181
19.8095043229,-156.2815476439,1271.7623706771
19.9553807638,-156.4993551919,1271.6164942362
20.1380183725,-156.7181973085,1271.5229440792
20.3206559812,-156.9370394252,1271.4293939222
20.5032935899,-157.1558815418,1271.3358437652
20.7183562049,-157.3526275396,1271.2648572595
20.9334188199,-157.5493735373,1271.1938707538
21.1587130660,-157.7300069868,1271.1125438849
21.3840073121,-157.9106404362,1271.0312170159
21.6183190798,-158.0742281301,1270.9399095029
21.8526308475,-158.2378158239,1270.8486019898
22.0869426152,-158.4014035177,1270.7572944768
22.3318361989,-158.5498711078,1270.6679384061
22.5767297825,-158.6983386980,1270.5785823354
22.8203334085,-158.8483936018,1270.4883559577
23.0639370346,-158.9984485056,1270.3981295800
23.3021058416,-159.1616601953,1270.3166583353
23.5402746486,-159.3248718850,1270.2351870907
23.7784434556,-159.4880835747,1270.1537158460
24.0155329196,-159.6575904733,1270.0826103091
24.2526223836,-159.8270973720,1270.0115047723
24.4956742325,-159.9852612266,1269.9346282880
24.7387260814,-160.1434250812,1269.8577518037
24.9814628650,-160.2979925249,1269.7729711498
25.2241996485,-160.4525599686,1269.6881904960
25.4669364321,-160.6071274122,1269.6034098422
25.7127983545,-160.7540874541,1269.5142209348
25.9586602770,-160.9010474959,1269.4250320275
26.2078293782,-161.0393625455,1269.3313105996
26.4569984795,-161.1776775951,1269.2375891718
26.7061675807,-161.3159926447,1269.1438677439
26.9585937697,-161.4452614629,1269.0460383427
27.2110199587,-161.5745302811,1268.9482089414
27.4636149480,-161.7044379239,1268.8516699559
27.7162099373,-161.8343455667,1268.7551309704
27.9688049266,-161.9642532095,1268.6585919849
28.2174931324,-162.1024377952,1268.5634121731
28.4661813382,-162.2406223809,1268.4682323613
28.7124729187,-162.3841762685,1268.3747832374
28.9587644991,-162.5277301561,1268.2813341135
29.2057699869,-162.6682634692,1268.1852160770
29.4527754746,-162.8087967823,1268.0890980406
29.6997809624,-162.9493300954,1267.9929800042
29.9486679398,-163.0838314324,1267.8931568465
30.1975549173,-163.2183327693,1267.7933336888
30.4456523591,-163.3552465582,1267.6948335680
30.6937498009,-163.4921603470,1267.5963334473
30.9418472427,-163.6290741358,1267.4978333265
31.1931913671,-163.7651016432,1267.4066047763
31.4445354915,-163.9011291506,1267.3153762260
31.7053352827,-164.0304108078,1267.2427833751
31.9661350739,-164.1596924650,1267.1701905243
32.2350014746,-164.2772508631,1267.1078135924
32.5038678753,-164.3948092611,1267.0454366605
32.7760916889,-164.5037498602,1266.9819847794
33.0483155024,-164.6126904592,1266.9185328983
33.3205393159,-164.7216310583,1266.8550810172
33.5973340573,-164.8182681554,1266.7914732929
33.8741287987,-164.9149052525,1266.7278655685
34.1499931193,-165.0107784742,1266.6592565167
34.4258574400,-165.1066516958,1266.5906474649
