3d_x,3d_y,3d_z
18.7718750000,-155.0281250000,1273.4000000000
18.8652854914,-154.7430382060,1273.4000000000
18.9586959829,-154.4579514121,1273.4000000000
19.0521064743,-154.1728646181,1273.4000000000
19.1386438488,-153.8926607921,1273.4632226123
19.2251812234,-153.6124569661,1273.5264452246
19.3050506056,-153.3364741534,1273.6127839116
19.3849199878,-153.0604913407,1273.6991225987
19.4694634368,-152.7873498846,1273.7899309143
19.5540068858,-152.5142084285,1273.8807392298
19.6363679280,-152.2399675859,1273.9702301177
19.7187289702,-151.9657267434,1274.0597210056
19.8010900124,-151.6914859009,1274.1492118936
19.8750445966,-151.4126739126,1274.2316412249
19.9489991808,-151.1338619243,1274.3140705562
19.9629183783,-150.8481917425,1274.4046177989
19.9768375759,-150.5625215607,1274.4951650416
19.9588084011,-150.2792637256,1274.5923244350
19.9407792262,-149.9960058906,1274.6894838284
19.9550440875,-149.7069548689,1274.7685155981
19.9693089487,-149.4179038473,1274.8475473678
20.0089861340,-149.1248748073,1274.8981408723
20.0486633194,-148.8318457673,1274.9487343769
20.1062521834,-148.5404557659,1274.9908697515
20.1638410475,-148.2490657644,1275.0330051261
20.2420075666,-147.9624102803,1275.0744614730
20.3201740857,-147.6757547962,1275.1159178198
20.4108086743,-147.3911400596,1275.1438431327
20.5014432628,-147.1065253231,1275.1717684456
20.5808125335,-146.8178716080,1275.1912505320
20.6601818041,-146.5292178930,1275.2107326183
20.6687471298,-146.2316328930,1275.2477434672
20.6773124555,-145.9340478929,1275.2847543162
20.6132983390,-145.6453409552,1275.3352567616
20.5492842224,-145.3566340175,1275.3857592070
20.4971116478,-145.0641606067,1275.4274404548
20.4449390732,-144.7716871958,1275.4691217026
20.4430502348,-144.4735733384,1275.5026561667
20.4411613964,-144.1754594809,1275.5361906307
20.4987772688,-143.8828318544,1275.5685863626
20.5563931411,-143.5902042278,1275.6009820944
20.6603116199,-143.3109616055,1275.6359750598
20.7642300988,-143.0317189832,1275.6709680253
20.8681485776,-142.7524763608,1275.7059609908
21.0216764632,-142.4951637448,1275.7207733487
21.1752043489,-142.2378511288,1275.7355857066
