3d_x,3d_y,3d_z
21.1718750000,-183.2281250000,1305.2000000000
20.9653034219,-183.4346965781,1305.2682375723
20.7587318439,-183.6412681561,1305.3364751446
20.5521602658,-183.8478397342,1305.4047127170
20.3455886878,-184.0544113122,1305.4729502893
20.1015986376,-184.2271092277,1305.4983330669
19.8576085874,-184.3998071432,1305.5237158446
19.6136185373,-184.5725050587,1305.5490986223
19.3695405514,-184.7410443772,1305.5940478710
19.1254625656,-184.9095836957,1305.6389971196
18.8813845797,-185.0781230141,1305.6839463683
18.6535067683,-185.2494717146,1305.7772808523
18.4256289569,-185.4208204151,1305.8706153363
18.2083936208,-185.5804823191,1306.0022089728
17.9911582847,-185.7401442230,1306.1338026093
17.7739229486,-185.8998061270,1306.2653962458
17.5624745731,-186.0273373344,1306.4357645986
17.3510261976,-186.1548685419,1306.6061329514
17.1351753627,-186.2624017010,1306.7845847285
16.9193245278,-186.3699348602,1306.9630365056
16.7034736928,-186.4774680194,1307.1414882826
16.4681115910,-186.5565352079,1307.3098719538
16.2327494892,-186.6356023965,1307.4782556250
15.9889325615,-186.6858185754,1307.6456821496
15.7451156337,-186.7360347544,1307.8131086741
15.4995700977,-186.7584341494,1307.9840053002
15.2540245616,-186.7808335444,1308.1549019263
15.0084790255,-186.8032329395,1308.3257985524
14.7607525439,-186.8032732556,1308.4950072658
14.5130260622,-186.8033135718,1308.6642159791
14.2607215745,-186.8005551242,1308.8264960964
14.0084170868,-186.7977966767,1308.9887762136
13.7561125992,-186.7950382292,1309.1510563309
13.4990114533,-186.7988502515,1309.3056023412
13.2419103074,-186.8026622738,1309.4601483514
12.9828652946,-186.8081849688,1309.6113607224
12.7238202817,-186.8137076638,1309.7625730934
12.4613932710,-186.8183921411,1309.9078663133
12.1989662603,-186.8230766185,1310.0531595332
11.9325849522,-186.8243496291,1310.1911427862
11.6662036441,-186.8256226397,1310.3291260393
11.3998223360,-186.8268956503,1310.4671092924
11.1269311577,-186.8267028894,1310.5917301881
10.8540399794,-186.8265101284,1310.7163510838
10.5775897165,-186.8237549287,1310.8328313869
10.3011394536,-186.8209997291,1310.9493116901
10.0173654643,-186.8147352694,1311.0464357323
