3d_x,3d_y,3d_z
65.0708984375,-173.3291015625,1310.1750000000
65.3708984375,-173.3291015625,1310.1750000000
65.6708984375,-173.3291015625,1310.1750000000
65.9680327142,-173.3221103958,1310.2157718675
66.2651669910,-173.3151192291,1310.2565437349
66.5623012677,-173.3081280624,1310.2973156023
66.8514019445,-173.2635792885,1310.3639204477
67.1405026213,-173.2190305145,1310.4305252930
67.4076494193,-173.1217059198,1310.5262358545
67.6747962173,-173.0243813251,1310.6219464159
67.9240954103,-172.8926700847,1310.7244259823
68.1733946033,-172.7609588442,1310.8269055486
68.4226937962,-172.6292476037,1310.9293851149
68.6547741223,-172.4743508470,1311.0395927236
68.8868544484,-172.3194540904,1311.1498003324
69.1174585753,-172.1568978814,1311.2517670700
69.3480627022,-171.9943416724,1311.3537338077
69.5739807437,-171.8260206912,1311.4568312655
69.7998987851,-171.6576997100,1311.5599287234
70.0258168266,-171.4893787288,1311.6630261812
70.2488857000,-171.3100924936,1311.7530079771
70.4719545734,-171.1308062584,1311.8429897730
70.6953466366,-170.9431181692,1311.9127691917
70.9187386998,-170.7554300800,1311.9825486105
71.1421307630,-170.5677419908,1312.0523280293
71.3654654838,-170.3696949841,1312.0823111174
71.5888002047,-170.1716479773,1312.1122942056
71.8137141272,-169.9731197262,1312.1128050994
72.0386280496,-169.7745914752,1312.1133159931
72.2635419721,-169.5760632241,1312.1138268869
72.4944207677,-169.3880557418,1312.0771094748
72.7252995633,-169.2000482596,1312.0403920626
72.9561783589,-169.0120407773,1312.0036746505
73.1903960682,-168.8457427736,1311.9171469752
73.4246137776,-168.6794447699,1311.8306193000
73.6542484965,-168.5387169189,1311.6984695068
73.8838832154,-168.3979890679,1311.5663197136
74.1135179343,-168.2572612169,1311.4341699204
74.3283153726,-168.1519495495,1311.2531408808
74.5431128108,-168.0466378820,1311.0721118411
74.7369786163,-167.9773787919,1310.8538935377
74.9308444217,-167.9081197018,1310.6356752344
75.1247102271,-167.8388606117,1310.4174569310
75.2836303277,-167.7993959621,1310.1660867994
