3d_x,3d_y,3d_z
73.4708984375,-122.9291015625,1287.3750000000
73.4708984375,-122.7617835364,1287.1259926143
73.4708984375,-122.5944655103,1286.8769852286
73.4708984375,-122.4271474841,1286.6279778429
73.4325483258,-122.3026475546,1286.3577389921
73.3941982142,-122.1781476250,1286.0875001413
73.3558481025,-122.0536476954,1285.8172612906
73.2989002778,-121.9614727239,1285.5375101156
73.2419524531,-121.8692977523,1285.2577589406
73.1814969142,-121.7779587883,1284.9784699837
73.1210413752,-121.6866198243,1284.6991810268
73.0670607165,-121.6021319345,1284.4164304566
73.0130800579,-121.5176440447,1284.1336798863
72.9741810358,-121.4226007470,1283.8518046699
72.9352820138,-121.3275574494,1283.5699294534
72.9060638865,-121.2071563393,1283.2967081626
72.8768457592,-121.0867552293,1283.0234868718
72.8412723445,-120.9564132739,1282.7556333544
72.8056989297,-120.8260713184,1282.4877798369
72.7602143115,-120.6935351668,1282.2225152181
72.7147296932,-120.5609990151,1281.9572505993
72.6662001736,-120.4314693750,1281.6910421132
72.6176706539,-120.3019397348,1281.4248336271
72.5651783136,-120.1784155993,1281.1565309209
72.5126859732,-120.0548914639,1280.8882282147
72.4601936329,-119.9313673284,1280.6199255085
72.4081136218,-119.8170332663,1280.3475004827
72.3560336108,-119.7026992043,1280.0750754568
72.3100501835,-119.5971493669,1279.7980470174
72.2640667561,-119.4915995295,1279.5210185780
72.2206587602,-119.3913063753,1279.2416316973
72.1772507643,-119.2910132211,1278.9622448166
72.1378218849,-119.1951897677,1278.6807075558
72.0983930055,-119.0993663143,1278.3991702949
72.0690078484,-119.0122150597,1278.1136161471
72.0396226912,-118.9250638051,1277.8280619992
72.0248618694,-118.8491136990,1277.5382108313
72.0101010477,-118.7731635929,1277.2483596634
72.0098241892,-118.7047247944,1276.9562705431
72.0095473308,-118.6362859960,1276.6641814228
72.0155660309,-118.5804419783,1276.3694862906
72.0215847310,-118.5245979606,1276.0747911584
72.0249470617,-118.4804532434,1275.7780759099
72.0283093923,-118.4363085263,1275.4813606614
72.0320473568,-118.4016914263,1275.1833880385
72.0357853213,-118.3670743264,1274.8854154156
72.0473664913,-118.3351729991,1274.5873412942
72.0589476612,-118.3032716719,1274.2892671729
72.0874953456,-118.2692497090,1273.9925728255
72.1160430300,-118.2352277461,1273.6958784781
72.1715948503,-118.2105315312,1273.4021028967
72.2271466705,-118.1858353163,1273.1083273153
72.3088174928,-118.1775340035,1272.8197775536
72.3904883152,-118.1692326908,1272.5312277919
72.4970010083,-118.1813401576,1272.2510341884
72.6035137015,-118.1934476245,1271.9708405849
72.7100263947,-118.2055550913,1271.6906469814
72.8181681921,-118.2694481618,1271.4182079475
72.9263099896,-118.3333412323,1271.1457689136
73.0374827010,-118.4383427361,1270.8876694901
73.1486554125,-118.5433442399,1270.6295700666
73.2686900376,-118.6614510984,1270.3812910727
73.3887246626,-118.7795579569,1270.1330120789
73.5282850325,-118.8989783714,1269.8958166580
73.6678454025,-119.0183987860,1269.6586212370
73.8074057724,-119.1378192005,1269.4214258160
73.9807102383,-119.2441161238,1269.2008209063
74.1540147042,-119.3504130471,1268.9802159966
74.3570148692,-119.4533909960,1268.7848023965
74.5600150341,-119.5563689448,1268.5893887964
74.7630151990,-119.6593468937,1268.3939751964
74.9898780993,-119.7640450635,1268.2279284628
75.2167409995,-119.8687432332,1268.0618817292
75.4415503585,-119.9730954604,1267.8928510669
75.6663597175,-120.0774476876,1267.7238204046
75.8911690765,-120.1817999148,1267.5547897423
76.1032541426,-120.2893061304,1267.3718626029
76.3153392087,-120.3968123460,1267.1889354634
76.5274242748,-120.5043185615,1267.0060083240
76.7299536371,-120.6134807286,1266.8134843548
76.9324829993,-120.7226428957,1266.6209603857
77.1350123615,-120.8318050628,1266.4284364165
77.3354249368,-120.9492637767,1266.2385989855
77.5358375120,-121.0667224906,1266.0487615544
77.7362500872,-121.1841812045,1265.8589241234
77.9281693634,-121.3151656195,1265.6691609171
78.1200886396,-121.4461500346,1265.4793977109
78.2854839733,-121.5795649223,1265.2676316813
78.4508793071,-121.7129798101,1265.0558656517
78.6162746408,-121.8463946979,1264.8440996221
78.7161349791,-121.9760855349,1264.5926872126
78.8159953174,-122.1057763719,1264.3412748031
78.8914955196,-122.2110311825,1264.0706807450
78.9669957218,-122.3162859930,1263.8000866868
79.0424959240,-122.4215408036,1263.5294926286
79.0997960109,-122.5153504423,1263.2503574432
79.1570960977,-122.6091600810,1262.9712222578
79.2083810638,-122.7209853981,1262.6976076553
79.2596660299,-122.8328107152,1262.4239930528
79.3026595788,-122.9710472414,1262.1612341945
79.3456531277,-123.1092837676,1261.8984753363
79.3886466767,-123.2475202938,1261.6357164781
79.3876260595,-123.4077821829,1261.3821122880
79.3866054424,-123.5680440721,1261.1285080979
79.3421485916,-123.7147244100,1260.8706157427
79.2976917407,-123.8614047480,1260.6127233875
79.2053523694,-123.9622164551,1260.3456832403
79.1130129981,-124.0630281622,1260.0786430931
79.0206736268,-124.1638398694,1259.8116029459
78.8597038610,-124.2083634643,1259.5623914214
78.6987340951,-124.2528870592,1259.3131798968
78.5245448057,-124.2539158677,1259.0689320042
78.3503555163,-124.2549446762,1258.8246841117
78.1761581701,-124.2335682776,1258.5813770338
78.0019608239,-124.2121918789,1258.3380699559
77.8277634777,-124.1908154802,1258.0947628780
77.6781905216,-124.1738199833,1257.8352651249
77.5286175656,-124.1568244865,1257.5757673717
77.4279035043,-124.1824202309,1257.2943396976
77.3271894431,-124.2080159754,1257.0129120235
77.3277742621,-124.2923130546,1256.7249994319
77.3283590811,-124.3766101338,1256.4370868403
77.3289439001,-124.4609072130,1256.1491742486
77.4627695914,-124.6049501199,1255.9225857994
77.5965952827,-124.7489930268,1255.6959973502
77.7756932486,-124.9202201397,1255.5268666480
77.9547912145,-125.0914472527,1255.3577359459
78.1338891804,-125.2626743657,1255.1886052438
78.3388282684,-125.4544637919,1255.0826959137
78.5437673564,-125.6462532181,1254.9767865835
78.7487064444,-125.8380426443,1254.8708772534
78.9493255955,-126.0331689021,1254.7628138473
79.1499447465,-126.2282951599,1254.6547504412
79.3384440832,-126.4353852972,1254.5471322500
79.5269434199,-126.6424754346,1254.4395140588
79.7154427566,-126.8495655719,1254.3318958676
79.8773706637,-127.0651761756,1254.2003990217
80.0392985707,-127.2807867793,1254.0689021757
80.2012264778,-127.4963973830,1253.9374053297
80.3449993787,-127.7111526068,1253.7850585320
80.4887722797,-127.9259078307,1253.6327117343
80.6325451806,-128.1406630546,1253.4803649366
80.7616071216,-128.3463928133,1253.3042448589
80.8906690627,-128.5521225719,1253.1281247812
80.9993712016,-128.7618820190,1252.9432334094
81.1080733405,-128.9716414662,1252.7583420377
81.2167754794,-129.1814009133,1252.5734506659
81.2947257958,-129.3961500991,1252.3790116386
81.3726761122,-129.6108992849,1252.1845726112
81.4506264286,-129.8256484707,1251.9901335839
81.5029456087,-130.0420220710,1251.7890237419
81.5552647887,-130.2583956712,1251.5879139000
81.6139539987,-130.4637817649,1251.3772669700
81.6726432087,-130.6691678587,1251.1666200399
81.7313324187,-130.8745539524,1250.9559731099
81.7986838019,-131.0746098291,1250.7428031369
81.8660351851,-131.2746657057,1250.5296331639
81.9310617901,-131.4888936312,1250.3299385556
81.9960883951,-131.7031215567,1250.1302439473
82.0561532548,-131.9322726715,1249.9461733652
82.1162181145,-132.1614237864,1249.7621027831
82.1762829742,-132.3905749012,1249.5780322010
82.2531937133,-132.6387218046,1249.4280060281
82.3301044524,-132.8868687080,1249.2779798552
82.4521663156,-133.1344837556,1249.1605588615
82.5742281788,-133.3820988032,1249.0431378679
82.6962900420,-133.6297138508,1248.9257168742
82.8751515166,-133.8532742023,1248.8361102776
83.0540129911,-134.0768345538,1248.7465036810
83.2524520338,-134.2873538822,1248.6671087269
83.4508910764,-134.4978732106,1248.5877137728
83.6493301190,-134.7083925390,1248.5083188187
83.8487309795,-134.9132228793,1248.4173032787
84.0481318400,-135.1180532196,1248.3262877386
84.2171854037,-135.3297202537,1248.1973770748
84.3862389674,-135.5413872879,1248.0684664110
84.5552925311,-135.7530543221,1247.9395557472
84.6335189084,-135.9765754579,1247.7553848056
84.7117452856,-136.2000965938,1247.5712138640
84.6877612577,-136.3993442815,1247.3482225517
84.6637772299,-136.5985919692,1247.1252312394
84.6397932020,-136.7978396569,1246.9022399272
84.5225178780,-136.9457078753,1246.6690415388
84.4052425539,-137.0935760937,1246.4358431504
84.2775462198,-137.2124558458,1246.1917914125
84.1498498856,-137.3313355980,1245.9477396745
84.0221535514,-137.4502153501,1245.7036879366
83.9219335036,-137.5927898399,1245.4594985493
83.8217134557,-137.7353643297,1245.2153091621
83.7638805541,-137.9256532680,1244.9907084598
83.7060476524,-138.1159422063,1244.7661077575
83.6692259796,-138.3466495846,1244.5779103346
83.6324043068,-138.5773569629,1244.3897129116
83.6154647425,-138.8319262895,1244.2318917815
83.5985251782,-139.0864956161,1244.0740706514
83.6187383827,-139.3514521122,1243.9348245328
83.6389515871,-139.6164086082,1243.7955784141
83.6591647915,-139.8813651043,1243.6563322954
83.7910536634,-140.1072573835,1243.5094377630
83.9229425353,-140.3331496627,1243.3625432305
84.0548314072,-140.5590419419,1243.2156486981
84.1867202792,-140.7849342211,1243.0687541656
84.3186091511,-141.0108265003,1242.9218596332
