3d_x,3d_y,3d_z
59.0708984375,-149.9291015625,1302.9750000000
59.0708984375,-149.9291015625,1303.2750000000
59.0708984375,-149.9291015625,1303.5750000000
59.1787909199,-149.7674776714,1303.8035539981
59.2866834024,-149.6058537802,1304.0321079962
59.3945758848,-149.4442298891,1304.2606619943
59.5476040874,-149.2557093678,1304.4368504794
59.7006322899,-149.0671888466,1304.6130389645
59.8372389993,-148.8641899804,1304.7866191110
59.9738457086,-148.6611911141,1304.9601992576
60.1104524180,-148.4581922479,1305.1337794041
60.2187961932,-148.2350723076,1305.3025369775
60.3271399684,-148.0119523672,1305.4712945509
60.4379395641,-147.7814660834,1305.6281369004
60.5487391597,-147.5509797996,1305.7849792499
60.6595387554,-147.3204935158,1305.9418215993
60.7748767556,-147.0814640486,1306.0816860320
60.8902147557,-146.8424345814,1306.2215504648
61.0092039439,-146.5958780823,1306.3442348803
61.1281931321,-146.3493215831,1306.4669192958
61.2415722964,-146.0931164330,1306.5741763989
61.3549514607,-145.8369112829,1306.6814335021
61.4683306249,-145.5807061328,1306.7886906052
61.5776253065,-145.3137362102,1306.8710418832
61.6869199881,-145.0467662875,1306.9533931612
61.8027330778,-144.7766788393,1307.0137263906
61.9185461675,-144.5065913911,1307.0740596200
62.0351833152,-144.2338081289,1307.1186137181
62.1518204628,-143.9610248668,1307.1631678162
62.2766560537,-143.6907870557,1307.2004183290
62.4014916446,-143.4205492446,1307.2376688417
62.5263272355,-143.1503114335,1307.2749193544
62.6597580067,-142.8833134164,1307.3050571748
62.7931887779,-142.6163153994,1307.3351949951
62.9378677476,-142.3548607076,1307.3618303074
63.0825467173,-142.0934060159,1307.3884656196
63.2328857544,-141.8360751879,1307.4228024642
63.3832247915,-141.5787443599,1307.4571393087
63.5415698337,-141.3268279799,1307.4954144330
63.6999148758,-141.0749116000,1307.5336895572
63.8582599180,-140.8229952200,1307.5719646814
64.0191513205,-140.5709837209,1307.5965443664
64.1800427230,-140.3189722218,1307.6211240515
64.3317505595,-140.0601681051,1307.6233959507
64.4834583959,-139.8013639884,1307.6256678498
64.6307253790,-139.5400543827,1307.6202157213
64.7779923621,-139.2787447771,1307.6147635929
64.9252593451,-139.0174351715,1307.6093114644
65.0551559169,-138.7470156175,1307.6096928667
65.1850524886,-138.4765960635,1307.6100742691
65.3025194418,-138.2005742422,1307.6064042445
65.4199863950,-137.9245524209,1307.6027342199
65.5267058912,-137.6443052186,1307.5942221858
65.6334253874,-137.3640580163,1307.5857101517
65.7490309640,-137.0893130672,1307.5517901926
65.8646365406,-136.8145681182,1307.5178702335
65.9802421172,-136.5398231691,1307.4839502744
66.1192163194,-136.2864402305,1307.4034315964
66.2581905217,-136.0330572918,1307.3229129184
66.3964543465,-135.7898961697,1307.2144888276
66.5347181712,-135.5467350477,1307.1060647367
66.6729819960,-135.3035739256,1306.9976406459
66.7971465122,-135.0784948434,1306.8429713870
66.9213110284,-134.8534157612,1306.6883021280
67.0396994518,-134.6391412457,1306.5148933242
67.1580878751,-134.4248667302,1306.3414845204
67.2764762985,-134.2105922147,1306.1680757166
67.3623144842,-133.9957131695,1305.9771338360
67.4481526699,-133.7808341243,1305.7861919553
67.5232827404,-133.5574445597,1305.6005779069
67.5984128108,-133.3340549951,1305.4149638586
67.6715583801,-133.0942491203,1305.2502129311
67.7447039495,-132.8544432456,1305.0854620035
67.8178495188,-132.6146373708,1304.9207110760
67.8931629833,-132.3518391653,1304.7971595271
67.9684764479,-132.0890409598,1304.6736079782
68.0397558639,-131.8129619292,1304.5803362584
68.1110352799,-131.5368828986,1304.4870645386
68.1966912926,-131.2560152561,1304.4256119969
68.2823473052,-130.9751476136,1304.3641594551
68.3730913671,-130.6901632746,1304.3407192811
68.4638354290,-130.4051789356,1304.3172791070
68.5545794909,-130.1201945966,1304.2938389329
68.6274901310,-129.8292036342,1304.2909582464
68.7004007712,-129.5382126718,1304.2880775599
68.7708449321,-129.2467855026,1304.2776936648
68.8412890930,-128.9553583335,1304.2673097696
68.9150405333,-128.6647547270,1304.2568088670
68.9887919736,-128.3741511205,1304.2463079643
