3d_x,3d_y,3d_z
39.2708984375,-163.1291015625,1305.9750000000
39.3653827841,-163.1291015625,1306.2597326961
39.4598671307,-163.1291015625,1306.5444653923
39.5543514772,-163.1291015625,1306.8291980884
39.7593366981,-163.1232364125,1307.0481653446
39.9643219189,-163.1173712624,1307.2671326007
40.2259988171,-163.0740729524,1307.4073126895
40.4876757153,-163.0307746423,1307.5474927783
40.7767563386,-162.9923093243,1307.6178689995
41.0658369620,-162.9538440063,1307.6882452206
41.3610563576,-162.9237295307,1307.7322750610
41.6562757531,-162.8936150552,1307.7763049014
41.9538174074,-162.8776669935,1307.8111563478
42.2513590616,-162.8617189318,1307.8460077942
42.5489996092,-162.8463322479,1307.8802620551
42.8466401568,-162.8309455639,1307.9145163159
43.1431853901,-162.8089222141,1307.9542138814
43.4397306233,-162.7868988643,1307.9939114468
43.7351253606,-162.7632822273,1308.0406469109
44.0305200980,-162.7396655903,1308.0873823749
44.3252584891,-162.7144764186,1308.1373302120
44.6199968803,-162.6892872469,1308.1872780490
44.9135673190,-162.6631703442,1308.2432629119
45.2071377578,-162.6370534414,1308.2992477748
45.5007081966,-162.6109365387,1308.3552326377
45.7907200676,-162.5819340054,1308.4263098334
46.0807319386,-162.5529314722,1308.4973870290
46.3672294379,-162.5315226370,1308.5837632099
46.6537269373,-162.5101138017,1308.6701393908
46.9276181563,-162.5032878536,1308.7923564379
47.2015093753,-162.4964619054,1308.9145734850
47.4554209054,-162.4958201406,1309.0743499632
47.7093324356,-162.4951783757,1309.2341264414
47.9596259098,-162.4989538778,1309.3994713003
48.2099193839,-162.5027293799,1309.5648161592
48.4721019887,-162.5108085707,1309.7104012149
48.7342845935,-162.5188877615,1309.8559862705
49.0031273684,-162.4980455377,1309.9874745365
49.2719701433,-162.4772033138,1310.1189628024
49.5350485026,-162.4192247689,1310.2509789576
49.7981268618,-162.3612462239,1310.3829951127
50.0612052211,-162.3032676789,1310.5150112678
50.3048461849,-162.2219303041,1310.6700058233
50.5484871487,-162.1405929292,1310.8250003787
50.7975019514,-162.1170171435,1310.9906379661
51.0465167540,-162.0934413577,1311.1562755536
51.3049926453,-162.1170243881,1311.3067217377
51.5634685366,-162.1406074184,1311.4571679217
51.8219444279,-162.1641904487,1311.6076141058
52.0771226991,-162.2281396641,1311.7518172534
52.3323009703,-162.2920888795,1311.8960204010
52.5753989589,-162.3768533043,1312.0500280637
52.8184969476,-162.4616177290,1312.2040357265
53.0615949363,-162.5463821538,1312.3580433893
53.2902630440,-162.6396780686,1312.5283571257
53.5189311516,-162.7329739835,1312.6986708621
53.7475992593,-162.8262698983,1312.8689845985
53.9628928118,-162.9268625253,1313.0520960663
