3d_x,3d_y,3d_z
49.4708984375,-161.3291015625,1308.9750000000
49.6168098608,-161.1831901392,1308.7572393215
49.7627212841,-161.0372787159,1308.5394786430
49.9086327074,-160.8913672926,1308.3217179645
50.0545441307,-160.7454558693,1308.1039572859
50.2025691272,-160.5857468844,1307.8976040923
50.3505941237,-160.4260378995,1307.6912508986
50.4986191202,-160.2663289146,1307.4848977049
50.6411662980,-160.0830473345,1307.2949288535
50.7837134758,-159.8997657544,1307.1049600021
50.9262606536,-159.7164841744,1306.9149911507
51.0558356554,-159.5126342619,1306.7370711346
51.1854106571,-159.3087843494,1306.5591511186
51.3079061304,-159.0944194004,1306.3887324352
51.4304016037,-158.8800544514,1306.2183137517
51.5528970771,-158.6656895024,1306.0478950683
51.6707742833,-158.4427690172,1305.8853791568
51.7886514895,-158.2198485319,1305.7228632452
51.9065286957,-157.9969280467,1305.5603473337
52.0276822927,-157.7730029059,1305.4016673498
52.1488358896,-157.5490777652,1305.2429873659
52.2824112952,-157.3275495384,1305.0910569352
52.4159867007,-157.1060213117,1304.9391265044
52.5495621063,-156.8844930849,1304.7871960737
52.6939283314,-156.6627433443,1304.6458261845
52.8382945565,-156.4409936036,1304.5044562953
52.9826607816,-156.2192438630,1304.3630864061
53.1336359812,-155.9942588092,1304.2342911628
53.2846111809,-155.7692737555,1304.1054959196
53.4442075379,-155.5433533148,1303.9893539490
53.6038038948,-155.3174328741,1303.8732119785
53.7634002518,-155.0915124334,1303.7570700080
53.9376080830,-154.8719188057,1303.6501575662
54.1118159142,-154.6523251780,1303.5432451243
54.2860237454,-154.4327315503,1303.4363326825
54.4740958212,-154.2191697522,1303.3413576716
54.6621678969,-154.0056079540,1303.2463826607
54.8502399727,-153.7920461558,1303.1514076498
55.0517513164,-153.5879873330,1303.0633555336
55.2532626601,-153.3839285101,1302.9753034173
55.4547740038,-153.1798696873,1302.8872513011
55.6662844065,-152.9801736899,1302.8138697081
55.8777948091,-152.7804776925,1302.7404881151
56.0893052118,-152.5807816952,1302.6671065221
56.3060930875,-152.3849565639,1302.5988750419
56.5228809633,-152.1891314326,1302.5306435616
56.7396688390,-151.9933063014,1302.4624120813
56.9558411084,-151.8033744721,1302.3775860820
57.1720133779,-151.6134426428,1302.2927600826
57.3828991743,-151.4230161369,1302.1965055933
57.5937849707,-151.2325896310,1302.1002511040
57.8046707671,-151.0421631251,1302.0039966146
58.0112957516,-150.8437160021,1301.9149749589
58.2179207360,-150.6452688791,1301.8259533033
58.4245457205,-150.4468217562,1301.7369316476
58.6249656830,-150.2329688509,1301.6729099832
58.8253856455,-150.0191159456,1301.6088883187
59.0258056081,-149.8052630403,1301.5448666543
59.2147873894,-149.5747807219,1301.5107523280
59.4037691707,-149.3442984036,1301.4766380017
59.5842100663,-149.1066258930,1301.4457695567
59.7646509619,-148.8689533824,1301.4149011117
59.9450918575,-148.6312808718,1301.3840326666
60.1218036831,-148.3905820110,1301.3551019026
60.2985155086,-148.1498831501,1301.3261711385
60.4752273342,-147.9091842893,1301.2972403744
60.6459373920,-147.6625013773,1301.2948703396
60.8166474499,-147.4158184653,1301.2925003047
60.9902866242,-147.1731808415,1301.3237480354
61.1639257986,-146.9305432178,1301.3549957661
61.3375649729,-146.6879055940,1301.3862434968
61.5242704033,-146.4608157169,1301.4460036004
61.7109758337,-146.2337258398,1301.5057637041
61.9134452876,-146.0207711578,1301.5662320732
62.1159147414,-145.8078164758,1301.6267004423
62.3183841953,-145.5948617938,1301.6871688115
62.5450675394,-145.4004623859,1301.7158660535
62.7717508834,-145.2060629779,1301.7445632956
63.0080205209,-145.0212045985,1301.7425538238
63.2442901584,-144.8363462192,1301.7405443519
63.4805597959,-144.6514878398,1301.7385348800
63.7206731750,-144.4758469105,1301.6998589298
63.9607865542,-144.3002059813,1301.6611829795
64.1993156961,-144.1248320772,1301.6127284416
64.4378448380,-143.9494581732,1301.5642739037
64.6763739799,-143.7740842692,1301.5158193658
64.9022434681,-143.5799024113,1301.4800928998
65.1281129563,-143.3857205535,1301.4443664337
65.3413098858,-143.1748531357,1301.4353109719
65.5545068152,-142.9639857179,1301.4262555100
65.7677037446,-142.7531183001,1301.4172000481
65.9701458613,-142.5337823486,1301.4473485110
66.1725879779,-142.3144463972,1301.4774969739
66.3750300946,-142.0951104458,1301.5076454367
66.5719625484,-141.8738317897,1301.5551150587
66.7688950022,-141.6525531337,1301.6025846807
66.9689051746,-141.4345792728,1301.6524176710
67.1689153469,-141.2166054119,1301.7022506613
67.3689255193,-140.9986315510,1301.7520836516
67.5749214052,-140.7852150631,1301.7970180222
67.7809172912,-140.5717985752,1301.8419523929
67.9869131771,-140.3583820873,1301.8868867635
68.2034908394,-140.1519379024,1301.9086793021
68.4200685017,-139.9454937176,1301.9304718408
68.6393685238,-139.7409221699,1301.9228572368
68.8586685458,-139.5363506222,1301.9152426329
