3d_x,3d_y,3d_z
77.0708984375,-127.1291015625,1291.5750000000
77.1634952323,-127.1291015625,1291.2896478779
77.2560920271,-127.1291015625,1291.0042957558
77.3486888219,-127.1291015625,1290.7189436337
77.4384377508,-127.0567307395,1290.4419822758
77.5281866798,-126.9843599164,1290.1650209180
77.5675262607,-126.8868552143,1289.8840489792
77.6068658417,-126.7893505121,1289.6030770403
77.5881817498,-126.6998628165,1289.3173448982
77.5694976580,-126.6103751210,1289.0316127560
77.4841967585,-126.5337892967,1288.7543793380
77.3988958591,-126.4572034723,1288.4771459200
77.2697618274,-126.3841044453,1288.2164143835
77.1406277958,-126.3110054184,1287.9556828470
77.0040401356,-126.2240058365,1287.7031459510
76.8674524754,-126.1370062547,1287.4506090550
76.7308648152,-126.0500066729,1287.1980721590
76.6171058349,-125.9348156245,1286.9455055009
76.5033468547,-125.8196245762,1286.6929388428
76.4094382603,-125.6759318460,1286.4469031234
76.3155296660,-125.5322391159,1286.2008674040
76.2417401674,-125.3657906093,1285.9624350141
76.1679506689,-125.1993421026,1285.7240026242
76.0941611704,-125.0328935960,1285.4855702343
76.0546398370,-124.8278358991,1285.2701882362
76.0151185037,-124.6227782021,1285.0548062380
76.0175096994,-124.3960772256,1284.8583349948
76.0199008950,-124.1693762490,1284.6618637515
76.0222920907,-123.9426752725,1284.4653925082
76.0876157030,-123.7208199338,1284.2743086671
76.1529393152,-123.4989645950,1284.0832248259
76.2684939197,-123.2820363384,1283.9112095218
76.3840485243,-123.0651080818,1283.7391942176
76.4996031288,-122.8481798252,1283.5671789134
76.7077845987,-122.6788518460,1283.4330576586
76.9159660687,-122.5095238668,1283.2989364037
77.1780689542,-122.4068051038,1283.1952496971
77.4401718398,-122.3040863408,1283.0915629904
77.7226441749,-122.2878805083,1282.9918295914
78.0051165100,-122.2716746758,1282.8920961924
78.2946240555,-122.2894746397,1282.8154897802
78.5841316010,-122.3072746036,1282.7388833681
78.8736391465,-122.3250745674,1282.6622769559
79.1685494023,-122.3745519874,1282.6381953042
79.4634596581,-122.4240294074,1282.6141136524
79.7517790355,-122.5066602720,1282.6074746163
80.0400984130,-122.5892911367,1282.6008355802
80.3215664664,-122.6929986962,1282.5963104321
80.6030345199,-122.7967062557,1282.5917852841
80.8772772267,-122.9160720845,1282.5684885740
81.1515199335,-123.0354379133,1282.5451918639
81.4257626402,-123.1548037421,1282.5218951538
81.6879001819,-123.2827406900,1282.4517806287
81.9500377235,-123.4106776378,1282.3816661036
82.1944444196,-123.5439624011,1282.2698602952
82.4388511157,-123.6772471644,1282.1580544868
82.6222541345,-123.8013361489,1281.9556557304
82.8056571534,-123.9254251334,1281.7532569740
82.8931146875,-124.0126158360,1281.4798544116
82.9805722215,-124.0998065386,1281.2064518492
83.0096018434,-124.1725092556,1280.9168459170
83.0386314653,-124.2452119726,1280.6272399848
83.0419965425,-124.2766895792,1280.3289149329
83.0453616196,-124.3081671857,1280.0305898811
83.0487266968,-124.3396447922,1279.7322648293
83.0393741567,-124.3059808357,1279.4343063288
83.0300216165,-124.2723168791,1279.1363478283
83.0421048287,-124.2354958379,1278.8388613464
83.0541880408,-124.1986747966,1278.5413748645
83.0798107786,-124.1873559879,1278.2426854608
83.1054335164,-124.1760371793,1277.9439960571
83.1618902035,-124.1733450239,1277.6493685045
83.2183468907,-124.1706528685,1277.3547409519
83.3126835210,-124.1451977065,1277.0710992149
83.4070201512,-124.1197425445,1276.7874574780
83.5381435912,-124.0938989934,1276.5188708917
83.6692670312,-124.0680554423,1276.2502843054
83.8440189497,-124.0825047801,1276.0068649479
84.0187708681,-124.0969541179,1275.7634455903
84.1935227866,-124.1114034558,1275.5200262328
84.4186587272,-124.2264766475,1275.3585580663
84.6437946678,-124.3415498393,1275.1970898998
84.8686884994,-124.4931072057,1275.0688201480
85.0935823309,-124.6446645721,1274.9405503961
85.3178357572,-124.8211535157,1274.8480190309
85.5420891834,-124.9976424594,1274.7554876656
85.7663426097,-125.1741314031,1274.6629563003
85.9781686176,-125.3737067369,1274.5901591265
86.1899946255,-125.5732820707,1274.5173619526
86.3967174043,-125.7819149761,1274.4562227382
86.6034401831,-125.9905478814,1274.3950835238
86.8101629619,-126.1991807868,1274.3339443095
87.0068502617,-126.4127914767,1274.2585481609
87.2035375615,-126.6264021667,1274.1831520123
87.3857293768,-126.8363150331,1274.0702683069
87.5679211921,-127.0462278995,1273.9573846015
87.7501130074,-127.2561407660,1273.8445008961
87.9033829795,-127.4435056764,1273.6672928094
88.0566529515,-127.6308705869,1273.4900847227
88.1584201252,-127.7888400206,1273.2562277142
88.2601872988,-127.9468094542,1273.0223707058
88.3237699836,-128.0444261467,1272.7459141567
88.3873526683,-128.1420428392,1272.4694576076
88.4337469997,-128.1706941198,1272.1744547769
88.4801413311,-128.1993454005,1271.8794519461
88.5265356625,-128.2279966811,1271.5844491154
88.6004019811,-128.2195364250,1271.2938081151
88.6742682998,-128.2110761690,1271.0031671149
88.8027517918,-128.2238952507,1270.7323763037
88.9312352838,-128.2367143323,1270.4615854925
89.0781344558,-128.2667704949,1270.2017446559
89.2250336278,-128.2968266575,1269.9419038193
89.3719327998,-128.3268828201,1269.6820629828
89.4658434628,-128.3275797683,1269.3971414117
89.5597541258,-128.3282767166,1269.1122198407
89.6536647888,-128.3289736648,1268.8272982697
