3d_x,3d_y,3d_z
34.4708984375,-148.1291015625,1248.3750000000
34.7101040754,-148.2943716248,1248.3010644244
34.9493097132,-148.4596416870,1248.2271288488
35.1885153511,-148.6249117493,1248.1531932732
35.4200440192,-148.6879154620,1247.9731238199
35.6515726873,-148.7509191747,1247.7930543665
35.8831013554,-148.8139228874,1247.6129849132
36.0862958972,-148.8097545576,1247.3923163762
36.2894904390,-148.8055862278,1247.1716478392
36.4869652472,-148.7964850086,1246.9459913128
36.6844400555,-148.7873837894,1246.7203347864
36.8819148637,-148.7782825702,1246.4946782599
37.0881785471,-148.7354735071,1246.2810836041
37.2944422306,-148.6926644440,1246.0674889482
37.5007059140,-148.6498553809,1245.8538942924
37.7057164903,-148.5323314002,1245.6690733586
37.9107270667,-148.4148074195,1245.4842524248
38.1015093988,-148.2552441007,1245.3164976960
38.2922917310,-148.0956807819,1245.1487429673
38.4830740632,-147.9361174631,1244.9809882385
38.6524493503,-147.7432133050,1244.8257464984
38.8218246375,-147.5503091468,1244.6705047583
38.9765491720,-147.3339005115,1244.5318410608
39.1312737065,-147.1174918763,1244.3931773633
39.2859982410,-146.9010832410,1244.2545136657
39.4222637536,-146.6638244183,1244.1314691165
39.5585292662,-146.4265655955,1244.0084245673
39.6947947789,-146.1893067728,1243.8853800181
39.8388349095,-145.9646428521,1243.7483451191
39.9828750401,-145.7399789315,1243.6113102201
40.1746744525,-145.5750675389,1243.4500116833
40.3664738649,-145.4101561463,1243.2887131464
40.5582732774,-145.2452447538,1243.1274146096
40.8096121715,-145.2213211846,1242.9653762711
41.0609510657,-145.1973976154,1242.8033379327
41.3050932193,-145.3172349524,1242.6767139955
41.5492353729,-145.4370722895,1242.5500900583
41.7933775266,-145.5569096265,1242.4234661211
41.8747974260,-145.7902701821,1242.2534259757
41.9562173254,-146.0236307377,1242.0833858302
41.9689504158,-146.2485836024,1241.8853098926
41.9816835062,-146.4735364672,1241.6872339550
41.9944165966,-146.6984893319,1241.4891580173
41.9749208968,-146.8947636791,1241.2631131140
41.9554251969,-147.0910380263,1241.0370682108
41.8833055764,-147.2020749497,1240.7678664983
41.8111859559,-147.3131118731,1240.4986647858
41.7390663354,-147.4241487964,1240.2294630734
41.6669467150,-147.5351857198,1239.9602613609
