3d_x,3d_y,3d_z
51.2708984375,-161.3291015625,1310.1750000000
51.4830304719,-161.1169695281,1310.1750000000
51.6951625062,-160.9048374938,1310.1750000000
51.9072945406,-160.6927054594,1310.1750000000
52.1194265749,-160.4805734251,1310.1750000000
52.3260058254,-160.2660241567,1310.1390330051
52.5325850758,-160.0514748883,1310.1030660102
52.7391643262,-159.8369256199,1310.0670990153
52.9390939141,-159.6192521958,1310.0156554510
53.1390235021,-159.4015787716,1309.9642118868
53.3389530900,-159.1839053475,1309.9127683226
53.5451384996,-158.9766993856,1309.8452904282
53.7513239092,-158.7694934238,1309.7778125338
53.9575093188,-158.5622874619,1309.7103346394
54.1810869256,-158.3800743005,1309.6278033269
54.4046645325,-158.1978611391,1309.5452720144
54.6400628544,-158.0310311509,1309.4630808649
54.8754611764,-157.8642011627,1309.3808897155
55.1108594983,-157.6973711745,1309.2986985660
55.3633444823,-157.5624423830,1309.2090015532
55.6158294663,-157.4275135915,1309.1193045404
55.8789582081,-157.3183249840,1309.0252773465
56.1420869500,-157.2091363765,1308.9312501526
56.4135326061,-157.1361129938,1308.8264415586
56.6849782621,-157.0630896112,1308.7216329645
56.9661273163,-157.0380882713,1308.6199956568
57.2472763705,-157.0130869315,1308.5183583490
57.5284254247,-156.9880855916,1308.4167210412
57.8153471899,-157.0378103447,1308.3445867941
58.1022689551,-157.0875350977,1308.2724525471
58.3781530867,-157.1870493305,1308.2093267728
58.6540372184,-157.2865635634,1308.1462009985
58.9161294204,-157.4240184130,1308.0970701330
59.1782216224,-157.5614732627,1308.0479392675
59.4202601796,-157.7352111763,1308.0128326556
59.6622987369,-157.9089490898,1307.9777260438
59.8880777708,-158.1049945106,1307.9534356991
60.1138568047,-158.3010399314,1307.9291453544
60.3267138784,-158.5116435235,1307.9107607653
60.5395709522,-158.7222471157,1307.8923761762
60.7524280260,-158.9328507078,1307.8739915871
60.9541334809,-159.1549109907,1307.8719568302
61.1558389358,-159.3769712736,1307.8699220734
61.3520747147,-159.6030776288,1307.8890906731
61.5483104936,-159.8291839840,1307.9082592728
61.7366965492,-160.0579180775,1307.9550717554
61.9250826048,-160.2866521709,1308.0018842381
62.1061568325,-160.5179543851,1308.0628055792
62.2872310601,-160.7492565993,1308.1237269203
62.4683052877,-160.9805588135,1308.1846482614
62.6508410146,-161.2035587263,1308.2680254004
62.8333767415,-161.4265586390,1308.3514025394
63.0266792156,-161.6364362318,1308.4440607799
63.2199816898,-161.8463138246,1308.5367190204
63.4132841639,-162.0561914174,1308.6293772610
63.6246978598,-162.2474536945,1308.7227742125
63.8361115556,-162.4387159716,1308.8161711641
64.0602315597,-162.6138151979,1308.9116200234
64.2843515637,-162.7889144242,1309.0070688827
64.5084715678,-162.9640136505,1309.1025177420
64.7458403258,-163.1251925746,1309.1901386706
64.9832090838,-163.2863714988,1309.2777595993
65.2312007620,-163.4267695055,1309.3715067445
65.4791924402,-163.5671675123,1309.4652538897
65.7271841184,-163.7075655191,1309.5590010350
65.9942640063,-163.8128078631,1309.6461353134
66.2613438942,-163.9180502072,1309.7332695918
66.5481601186,-163.9705783825,1309.8038191790
66.8349763430,-164.0231065577,1309.8743687661
67.1295678380,-164.0309162323,1309.9305369069
67.4241593330,-164.0387259069,1309.9867050477
67.7196789227,-164.0149015689,1310.0325370568
68.0151985123,-163.9910772310,1310.0783690659
68.3093242408,-163.9377621710,1310.1038162706
68.6034499693,-163.8844471111,1310.1292634753
68.8938801916,-163.8097226697,1310.1374209148
69.1843104139,-163.7349982283,1310.1455783544
69.4696374769,-163.6425011146,1310.1398554969
69.7549645398,-163.5500040009,1310.1341326394
70.0402916028,-163.4575068871,1310.1284097820
70.3174238553,-163.3461467682,1310.1001849968
70.5945561079,-163.2347866492,1310.0719602117
70.8592453921,-163.0984276177,1310.0352751010
71.1239346763,-162.9620685862,1309.9985899904
71.3760791969,-162.8064239578,1309.9517083265
71.6282237175,-162.6507793294,1309.9048266627
71.8803682380,-162.4951347010,1309.8579449988
72.1048992073,-162.3061964808,1309.7955896237
72.3294301765,-162.1172582607,1309.7332342486
72.5252832137,-161.9034227599,1309.6563189285
72.7211362508,-161.6895872592,1309.5794036084
72.9169892880,-161.4757517585,1309.5024882883
73.0845101879,-161.2398652130,1309.4231517533
73.2520310877,-161.0039786676,1309.3438152183
73.4195519876,-160.7680921222,1309.2644786833
73.5644295920,-160.5217440706,1309.1732475635
73.7093071964,-160.2753960190,1309.0820164437
73.8537175616,-160.0345106835,1308.9765654997
73.9981279269,-159.7936253481,1308.8711145557
74.1425382921,-159.5527400127,1308.7656636118
74.2956205407,-159.3226522910,1308.6489354425
74.4487027892,-159.0925645693,1308.5322072732
74.6017850377,-158.8624768476,1308.4154791039
74.7581684132,-158.6338173998,1308.3003309523
74.9145517887,-158.4051579520,1308.1851828007
75.0837284857,-158.1839697547,1308.0735807105
75.2529051827,-157.9627815573,1307.9619786203
75.4220818797,-157.7415933599,1307.8503765300
75.6103881506,-157.5366917083,1307.7383226970
75.7986944215,-157.3317900567,1307.6262688640
75.9870006924,-157.1268884050,1307.5142150310
76.1985522240,-156.9496801907,1307.3965579093
76.4101037555,-156.7724719765,1307.2789007876
76.6483896516,-156.6355478371,1307.1586027753
76.8866755477,-156.4986236977,1307.0383047629
77.1424358304,-156.4073725032,1306.9107904604
77.3981961130,-156.3161213087,1306.7832761580
77.6539563956,-156.2248701141,1306.6557618556
77.9328038288,-156.2085586283,1306.5463176030
78.2116512620,-156.1922471424,1306.4368733505
78.4910749419,-156.2357409850,1306.3367200041
78.7704986218,-156.2792348277,1306.2365666578
79.0277817343,-156.3848459883,1306.1240869585
79.2850648469,-156.4904571490,1306.0116072593
79.5423479594,-156.5960683097,1305.8991275600
79.7735936195,-156.7363763106,1305.7693619653
80.0048392795,-156.8766843115,1305.6395963705
80.2278455113,-157.0240085036,1305.5033473229
80.4508517431,-157.1713326957,1305.3670982752
80.6738579750,-157.3186568878,1305.2308492275
80.8785344129,-157.4532952323,1305.0577016836
81.0832108508,-157.5879335767,1304.8845541397
81.2652489876,-157.7091318702,1304.6791932611
81.4472871243,-157.8303301636,1304.4738323826
81.6293252610,-157.9515284570,1304.2684715040
81.7545159436,-158.0573861596,1304.0172316986
81.8797066263,-158.1632438621,1303.7659918933
81.9608864756,-158.2602935755,1303.4939786855
82.0420663250,-158.3573432889,1303.2219654778
82.0886227447,-158.4215546181,1302.9326397012
82.1351791643,-158.4857659474,1302.6433139247
82.1644894557,-158.5131557768,1302.3460081829
82.1937997470,-158.5405456063,1302.0487024412
82.2231100384,-158.5679354358,1301.7513966995
82.2597780511,-158.5207784456,1301.4574040548
82.2964460638,-158.4736214553,1301.1634114102
82.3328194211,-158.3814799555,1300.8802384544
82.3691927784,-158.2893384557,1300.5970654986
82.4075200473,-158.1498340408,1300.3342546566
82.4458473162,-158.0103296258,1300.0714438146
82.5075428761,-157.8299546499,1299.8398007142
82.5692384361,-157.6495796741,1299.6081576138
82.6309339961,-157.4692046983,1299.3765145134
82.7212841844,-157.2718369160,1299.1694328821
82.8116343727,-157.0744691337,1298.9623512509
82.9287602391,-156.8814765474,1298.7647774848
83.0458861055,-156.6884839610,1298.5672037188
83.1630119719,-156.4954913747,1298.3696299527
83.3103773824,-156.3164781039,1298.1792679695
83.4577427930,-156.1374648332,1297.9889059862
83.6051082036,-155.9584515624,1297.7985440030
83.7679764830,-155.7837755759,1297.6169889885
83.9308447624,-155.6090995895,1297.4354339739
84.0937130419,-155.4344236030,1297.2538789594
84.2662403406,-155.2559695655,1297.0853901239
84.4387676393,-155.0775155280,1296.9169012883
84.6112949381,-154.8990614906,1296.7484124528
84.7838222368,-154.7206074531,1296.5799236172
84.9677299616,-154.5357821997,1296.4315404158
85.1516376864,-154.3509569463,1296.2831572144
85.3355454112,-154.1661316929,1296.1347740130
85.5305194776,-153.9876650596,1295.9928769578
85.7254935440,-153.8091984264,1295.8509799027
85.9204676104,-153.6307317932,1295.7090828475
86.1251110405,-153.4653295160,1295.5649885964
86.3297544706,-153.2999272388,1295.4208943453
86.5343979008,-153.1345249617,1295.2768000942
86.7435601406,-152.9793111500,1295.1279383123
86.9527223804,-152.8240973383,1294.9790765304
87.1618846202,-152.6688835266,1294.8302147485
87.3650232468,-152.5095307517,1294.6774358512
87.5681618735,-152.3501779767,1294.5246569538
87.7713005001,-152.1908252018,1294.3718780564
87.9686853847,-152.0247741753,1294.2186910336
88.1660702693,-151.8587231489,1294.0655040109
88.3634551539,-151.6926721224,1293.9123169881
88.5467249621,-151.5203023821,1293.7489130407
88.7299947703,-151.3479326418,1293.5855090932
88.9132645785,-151.1755629016,1293.4221051458
89.0810646388,-151.0003702128,1293.2456096457
89.2488646992,-150.8251775241,1293.0691141456
89.4166647596,-150.6499848353,1292.8926186455
89.5704237689,-150.4777288876,1292.7010826031
89.7241827781,-150.3054729398,1292.5095465608
89.8820888127,-150.1542313224,1292.3041404815
90.0399948472,-150.0029897049,1292.0987344022
90.1979008818,-149.8517480875,1291.8933283229
90.3579879980,-149.7319508419,1291.6696751647
90.5180751141,-149.6121535964,1291.4460220064
90.6781622303,-149.4923563508,1291.2223688482
90.8438913677,-149.4236515341,1290.9819244655
91.0096205051,-149.3549467174,1290.7414800827
91.1724042957,-149.3167108005,1290.4924028815
91.3351880864,-149.2784748836,1290.2433256803
91.4979718771,-149.2402389667,1289.9942484792
91.6604741685,-149.2361280078,1289.7421054536
91.8229764598,-149.2320170488,1289.4899624281
91.9933674296,-149.2492011620,1289.2436463229
92.1637583993,-149.2663852752,1288.9973302177
92.3341493690,-149.2835693885,1288.7510141125
92.5136136396,-149.3232035451,1288.5139029377
92.6930779102,-149.3628377017,1288.2767917629
92.8725421808,-149.4024718584,1288.0396805881
93.0567224470,-149.4816764701,1287.8165119097
93.2409027132,-149.5608810818,1287.5933432313
93.4288661599,-149.6673385214,1287.3851688903
93.6168296065,-149.7737959610,1287.1769945492
93.8047930531,-149.8802534006,1286.9688202081
93.9976018972,-150.0104837313,1286.7794401389
94.1904107412,-150.1407140620,1286.5900600696
94.3832195853,-150.2709443927,1286.4006800004
94.5755076575,-150.4143704050,1286.2205292961
94.7677957298,-150.5577964173,1286.0403785917
94.9600838020,-150.7012224296,1285.8602278874
95.1380311711,-150.8379149977,1285.6611051221
95.3159785401,-150.9746075659,1285.4619823568
95.4815878143,-151.0894891245,1285.2397757057
95.6471970886,-151.2043706831,1285.0175690547
95.8128063629,-151.3192522417,1284.7953624036
95.9674342334,-151.3800125672,1284.5455656773
96.1220621039,-151.4407728927,1284.2957689509
96.2766899744,-151.5015332182,1284.0459722245
96.4247639900,-151.5007667977,1283.7850632394
96.5728380056,-151.5000003773,1283.5241542543
96.7150913487,-151.4769942470,1283.2610293708
96.8573446918,-151.4539881167,1282.9979044872
97.0123795719,-151.4172433486,1282.7437116314
97.1674144520,-151.3804985804,1282.4895187755
97.3224493320,-151.3437538122,1282.2353259196
97.4842906488,-151.3036608378,1281.9859267585
97.6461319656,-151.2635678634,1281.7365275973
97.8012655965,-151.2424030841,1281.4806260368
97.9563992273,-151.2212383049,1281.2247244762
98.1132792169,-151.2246914504,1280.9690357110
98.2701592065,-151.2281445958,1280.7133469458
98.4270391960,-151.2315977413,1280.4576581805
98.5833711199,-151.2782263174,1280.2058922069
98.7397030438,-151.3248548936,1279.9541262333
98.9013173724,-151.3925799134,1279.7106223720
99.0629317011,-151.4603049331,1279.4671185107
99.2245460298,-151.5280299529,1279.2236146495
99.3770932895,-151.6279486461,1278.9854013242
