3d_x,3d_y,3d_z
26.0708984375,-179.9291015625,1287.9750000000
26.0708984375,-180.2291015625,1287.9750000000
26.0708984375,-180.5291015625,1287.9750000000
26.0180495799,-180.8121961032,1288.0590504567
25.9652007223,-181.0952906439,1288.1431009134
25.9123518647,-181.3783851846,1288.2271513701
25.8283962335,-181.6397175915,1288.3482167453
25.7444406022,-181.9010499985,1288.4692821205
25.6761600117,-182.1689453655,1288.5857717479
25.6078794212,-182.4368407325,1288.7022613753
25.5548357100,-182.7187720450,1288.7900172852
25.5017919988,-183.0007033576,1288.8777731951
25.4487482875,-183.2826346701,1288.9655291049
25.3838037334,-183.5724018778,1289.0081573843
25.3188591793,-183.8621690856,1289.0507856637
25.2321452151,-184.1472609942,1289.0854741640
25.1454312509,-184.4323529028,1289.1201626644
25.0149317745,-184.6941937509,1289.1865649001
24.8844322980,-184.9560345990,1289.2529671359
24.7223241735,-185.1779437305,1289.3732887604
24.5602160491,-185.3998528620,1289.4936103849
24.3981079246,-185.6217619936,1289.6139320094
24.2076953227,-185.7967912835,1289.7659444718
24.0172827209,-185.9718205735,1289.9179569342
23.7800427545,-186.1303984069,1290.0105326820
23.5428027880,-186.2889762403,1290.1031084297
23.2657123936,-186.3982554351,1290.1388711326
22.9886219992,-186.5075346299,1290.1746338354
22.7010748890,-186.5924248635,1290.1641310921
22.4135277787,-186.6773150971,1290.1536283489
22.1186346128,-186.7246336364,1290.1253621762
21.8237414468,-186.7719521758,1290.0970960035
21.5294039427,-186.7525763576,1290.0424150073
21.2350664386,-186.7332005394,1289.9877340111
20.9407289345,-186.7138247211,1289.9330530149
20.6597631776,-186.6485033861,1289.8506432664
20.3787974207,-186.5831820511,1289.7682335180
20.1057900346,-186.5123053635,1289.6660402586
19.8327826484,-186.4414286760,1289.5638469991
19.5719256047,-186.3584620196,1289.4410865141
19.3110685610,-186.2754953633,1289.3183260291
19.0502115173,-186.1925287069,1289.1955655440
18.8231539917,-186.0760010663,1289.0378753762
18.5960964662,-185.9594734256,1288.8801852083
18.3964058021,-185.8281649393,1288.6988520339
18.1967151381,-185.6968564531,1288.5175188595
17.9970244741,-185.5655479668,1288.3361856852
17.8186193328,-185.4152909350,1288.1475208237
17.6402141914,-185.2650339032,1287.9588559622
17.4618090501,-185.1147768714,1287.7701911008
17.3167792979,-184.9438810503,1287.5707895228
17.1717495456,-184.7729852292,1287.3713879449
17.0399204339,-184.6053814662,1287.1603664675
16.9080913221,-184.4377777032,1286.9493449901
16.7762622104,-184.2701739401,1286.7383235127
16.6563120983,-184.1121961046,1286.5132569134
16.5363619863,-183.9542182691,1286.2881903142
16.4164118743,-183.7962404336,1286.0631237149
16.3087837186,-183.6494587772,1285.8246466186
16.2011555630,-183.5026771208,1285.5861695223
16.1006678569,-183.3706409960,1285.3362321648
16.0001801508,-183.2386048712,1285.0862948073
15.8996924447,-183.1065687464,1284.8363574498
15.7886867620,-182.9994350812,1284.5790636174
15.6776810793,-182.8923014160,1284.3217697850
15.5634614495,-182.8158821310,1284.0550977598
15.4492418196,-182.7394628461,1283.7884257346
15.3285062716,-182.6975778168,1283.5170061852
15.2077707235,-182.6556927875,1283.2455866359
15.0870351755,-182.6138077583,1282.9741670865
14.9523057333,-182.6174603160,1282.7061472436
14.8175762911,-182.6211128736,1282.4381274006
14.6675097145,-182.6477798733,1282.1797306248
14.5174431379,-182.6744468730,1281.9213338491
14.3556581629,-182.7285855886,1281.6745654935
14.1938731879,-182.7827243042,1281.4277971378
14.0320882129,-182.8368630198,1281.1810287822
13.8580927456,-182.9277096414,1280.9541533347
13.6840972783,-183.0185562630,1280.7272778871
13.4937858594,-183.1303699066,1280.5241048748
13.3034744405,-183.2421835502,1280.3209318624
13.1131630216,-183.3539971938,1280.1177588501
12.9069812738,-183.4961106978,1279.9525534057
12.7007995260,-183.6382242019,1279.7873479613
12.4862248956,-183.7923643075,1279.6452263380
12.2716502652,-183.9465044131,1279.5031047146
12.0570756348,-184.1006445186,1279.3609830913
11.8451224577,-184.2812816039,1279.2494210271
11.6331692806,-184.4619186891,1279.1378589629
11.4133696363,-184.6532754978,1279.0666501987
11.1935699919,-184.8446323066,1278.9954414345
10.9737703476,-185.0359891154,1278.9242326703
10.7481059386,-185.2336093097,1278.9195600573
10.5224415296,-185.4312295040,1278.9148874444
10.3038757218,-185.6348675952,1278.9424648888
10.0853099139,-185.8385056864,1278.9700423333
9.8667441060,-186.0421437776,1278.9976197777
9.6608612987,-186.2514843817,1279.0591728533
9.4549784913,-186.4608249858,1279.1207259288
9.2477852030,-186.6723649310,1279.1689109143
9.0405919146,-186.8839048763,1279.2170958997
8.8198130890,-187.0857203025,1279.2400576924
8.5990342635,-187.2875357288,1279.2630194850
8.3782554380,-187.4893511551,1279.2859812777
8.1345662612,-187.6640413020,1279.2760345366
7.8908770844,-187.8387314490,1279.2660877956
7.6358999325,-187.9943209568,1279.2381851599
7.3809227806,-188.1499104646,1279.2102825242
7.1222545311,-188.2996354039,1279.1843368256
6.8635862817,-188.4493603432,1279.1583911269
6.6004865151,-188.5931564170,1279.1483312078
6.3373867484,-188.7369524907,1279.1382712887
6.0721176851,-188.8770400876,1279.1354803669
5.8068486218,-189.0171276845,1279.1326894451
5.5415795585,-189.1572152814,1279.1298985233
5.2712198113,-189.2872249595,1279.1281404839
5.0008600642,-189.4172346376,1279.1263824445
4.7301154644,-189.5461315794,1279.1172752984
4.4593708647,-189.6750285212,1279.1081681524
4.1832837158,-189.7917498648,1279.0958387496
3.9071965669,-189.9084712084,1279.0835093468
3.6271545296,-190.0140106542,1279.0625836987
3.3471124924,-190.1195501000,1279.0416580507
3.0651296324,-190.2150317732,1279.0046591758
2.7831467724,-190.3105134464,1278.9676603009
2.5024665493,-190.4009179799,1278.9124730495
2.2217863263,-190.4913225134,1278.8572857981
1.9411061033,-190.5817270470,1278.8020985467
1.6607421574,-190.6556496179,1278.7250822408
1.3803782116,-190.7295721889,1278.6480659349
1.1005769296,-190.7916686772,1278.5594359810
0.8207756476,-190.8537651655,1278.4708060271
0.5449261047,-190.8966765786,1278.3609623186
0.2690765617,-190.9395879918,1278.2511186101
-0.0057963128,-190.9681144314,1278.1343661151
-0.2806691873,-190.9966408711,1278.0176136202
-0.5510990118,-191.0150703131,1277.8890520952
-0.8215288363,-191.0334997551,1277.7604905702
-1.0919586608,-191.0519291971,1277.6319290452
-1.3537631144,-191.0632728333,1277.4858819639
-1.6155675680,-191.0746164694,1277.3398348825
-1.8689331445,-191.0789536416,1277.1792513416
-2.1222987210,-191.0832908138,1277.0186678008
-2.3702064028,-191.0801758994,1276.8497533888
-2.6181140847,-191.0770609850,1276.6808389768
-2.8660217666,-191.0739460706,1276.5119245649
-3.1129283110,-191.0634890597,1276.3418427925
-3.3598348553,-191.0530320489,1276.1717610202
-3.6064348795,-191.0349939260,1276.0018697190
-3.8530349036,-191.0169558031,1275.8319784178
-4.0996349277,-190.9989176802,1275.6620871166
-4.3433898498,-190.9621397319,1275.4911165915
-4.5871447720,-190.9253617836,1275.3201460664
-4.8327146712,-190.8678466788,1275.1577039619
-5.0782845705,-190.8103315741,1274.9952618574
-5.3238544697,-190.7528164694,1274.8328197529
-5.5656352894,-190.6849823546,1274.6686839308
-5.8074161092,-190.6171482399,1274.5045481087
-6.0481531185,-190.5610555977,1274.3345501445
-6.2888901278,-190.5049629554,1274.1645521803
-6.5296271371,-190.4488703131,1273.9945542161
-6.7727743420,-190.4041751616,1273.8246078124
-7.0159215470,-190.3594800102,1273.6546614086
-7.2574316577,-190.3131683586,1273.4828239931
-7.4989417683,-190.2668567070,1273.3109865775
-7.7411772116,-190.2162878118,1273.1413847589
-7.9834126548,-190.1657189166,1272.9717829403
-8.2256480981,-190.1151500214,1272.8021811217
-8.4688600664,-190.0555179537,1272.6369783525
-8.7120720348,-189.9958858861,1272.4717755833
-8.9501566527,-189.9341444593,1272.3000091403
-9.1882412706,-189.8724030326,1272.1282426973
-9.4263258885,-189.8106616059,1271.9564762544
-9.6592618194,-189.7402035676,1271.7810438828
-9.8921977502,-189.6697455294,1271.6056115113
-10.1249338733,-189.5965277599,1271.4310461791
-10.3576699964,-189.5233099903,1271.2564808468
-10.5904061195,-189.4500922208,1271.0819155146
-10.8233056780,-189.3841300388,1270.9046959158
-11.0562052366,-189.3181678569,1270.7274763170
-11.2862764560,-189.2626143314,1270.5431368481
-11.5163476755,-189.2070608059,1270.3587973793
-11.7464188950,-189.1515072804,1270.1744579105
-11.9699952507,-189.1065778914,1269.9795349432
-12.1935716064,-189.0616485023,1269.7846119760
-12.4088501453,-189.0193704182,1269.5799959593
-12.6241286842,-188.9770923340,1269.3753799426
-12.8329663434,-188.9594351209,1269.1607289352
-13.0418040025,-188.9417779079,1268.9460779279
-13.2590611781,-188.9567393269,1268.7397396726
-13.4763183537,-188.9717007458,1268.5334014173
-13.6935755293,-188.9866621647,1268.3270631620
-13.9197870386,-189.0465545802,1268.1393366278
-14.1459985479,-189.1064469957,1267.9516100937
-14.3155720268,-189.1233826980,1267.7047133192
-14.3443124712,-189.0679270473,1267.4112875915
-14.3730529157,-189.0124713965,1267.1178618639
-14.3197827830,-188.9822507982,1266.8241800490
-14.2665126502,-188.9520301998,1266.5304982341
-14.1693260154,-188.9541338871,1266.2466843294
-14.0721393806,-188.9562375743,1265.9628704247
-13.9552547762,-188.9545597761,1265.6865822160
-13.8383701718,-188.9528819778,1265.4102940074
-13.7214855674,-188.9512041796,1265.1340057987
-13.5545851965,-188.9408754488,1264.8849323486
-13.3876848257,-188.9305467180,1264.6358588985
-13.1888492365,-188.9249401784,1264.4112860258
-12.9900136473,-188.9193336388,1264.1867131530
-12.7582620917,-188.9140369405,1263.9962842648
-12.5265105361,-188.9087402421,1263.8058553766
-12.2719697213,-188.8890577496,1263.6483067393
-12.0174289066,-188.8693752571,1263.4907581020
-11.7628880918,-188.8496927647,1263.3332094647
-11.4947134699,-188.8156314487,1263.2031241123
-11.2265388480,-188.7815701327,1263.0730387599
-10.9501625033,-188.7387364437,1262.9644966428
-10.6737861586,-188.6959027547,1262.8559545257
-10.3963620284,-188.6411220620,1262.7557800395
-10.1189378982,-188.5863413694,1262.6556055533
-9.8424091343,-188.5188609784,1262.5608519803
-9.5658803705,-188.4513805874,1262.4660984072
-9.2893516067,-188.3839001964,1262.3713448342
-9.0189807199,-188.2983832572,1262.2734344840
-8.7486098330,-188.2128663180,1262.1755241338
-8.4882798452,-188.1074947049,1262.0700484467
-8.2279498573,-188.0021230918,1261.9645727596
-7.9788042927,-187.8870114164,1261.8434290854
-7.7296587280,-187.7718997410,1261.7222854112
-7.4805131634,-187.6567880656,1261.6011417370
-7.2420409611,-187.5462595430,1261.4565234310
-7.0035687588,-187.4357310204,1261.3119051251
-6.7716342827,-187.3327901510,1261.1518752021
-6.5396998067,-187.2298492816,1260.9918452791
-6.3077653307,-187.1269084122,1260.8318153562
-6.0854457639,-187.0327753802,1260.6537339633
-5.8631261970,-186.9386423482,1260.4756525705
-5.6537045218,-186.8471063258,1260.2813236777
-5.4442828467,-186.7555703035,1260.0869947849
-5.2348611715,-186.6640342811,1259.8926658920
-5.0460677169,-186.5796020518,1259.6753453220
-4.8572742622,-186.4951698225,1259.4580247521
-4.6983287709,-186.4198409088,1259.2149982400
-4.5393832796,-186.3445119951,1258.9719717280
-4.4099655955,-186.2809589768,1258.7088898455
-4.2805479114,-186.2174059585,1258.4458079630
-4.1511302273,-186.1538529402,1258.1827260804
-4.0577890363,-186.1028762839,1257.9022108356
-3.9644478452,-186.0518996276,1257.6216955908
-3.8849577667,-186.0040960947,1257.3363954863
-3.8054676883,-185.9562925618,1257.0510953817
-3.7368313600,-185.9060267480,1256.7634108280
-3.6681950318,-185.8557609343,1256.4757262744
-3.5991283009,-185.8131835853,1256.1869063373
-3.5300615699,-185.7706062362,1255.8980864003
-3.4551457694,-185.7377638940,1255.6094534095
-3.3802299688,-185.7049215517,1255.3208204187
-3.3053141682,-185.6720792095,1255.0321874279
-3.2354980813,-185.6475938294,1254.7414535631
-3.1656819943,-185.6231084492,1254.4507196982
-3.1110673203,-185.5982243731,1254.1567842969
-3.0564526464,-185.5733402970,1253.8628488956
-3.0066850942,-185.5279592521,1253.5705070554
-2.9569175421,-185.4825782072,1253.2781652153
-2.8955511878,-185.4082176735,1252.9940795212
-2.8341848335,-185.3338571399,1252.7099938271
-2.7663254811,-185.2398943337,1252.4332880278
-2.6984661287,-185.1459315276,1252.1565822285
-2.6250350940,-185.0392035091,1251.8859958038
-2.5516040593,-184.9324754906,1251.6154093792
-2.4646458546,-184.8147583638,1251.3535297338
-2.3776876498,-184.6970412370,1251.0916500883
-2.2907294451,-184.5793241102,1250.8297704429
-2.1857344245,-184.4554792032,1250.5775037494
-2.0807394039,-184.3316342962,1250.3252370559
-1.9555066055,-184.1918848280,1250.0911711841
-1.8302738071,-184.0521353597,1249.8571053123
-1.7050410088,-183.9123858914,1249.6230394405
-1.5544719246,-183.7519161600,1249.4191315785
-1.4039028405,-183.5914464285,1249.2152237165
-1.2415456888,-183.4145415035,1249.0353771073
-1.0791885372,-183.2376365785,1248.8555304982
-0.9168313856,-183.0607316535,1248.6756838890
-0.7498716391,-182.8640261486,1248.5226107451
-0.5829118926,-182.6673206437,1248.3695376012
-0.4159521461,-182.4706151387,1248.2164644574
-0.2473534944,-182.2538844045,1248.0956245488
-0.0787548427,-182.0371536703,1247.9747846403
0.0934630244,-181.8131018638,1247.8740781648
0.2656808916,-181.5890500572,1247.7733716892
0.4378987587,-181.3649982506,1247.6726652136
0.6132277051,-181.1336928518,1247.5967865406
0.7885566516,-180.9023874530,1247.5209078675
0.9638855980,-180.6710820542,1247.4450291945
1.1342947908,-180.4336304012,1247.3773725651
1.3047039836,-180.1961787482,1247.3097159358
1.4698155806,-179.9573706758,1247.2341589038
1.6349271776,-179.7185626034,1247.1586018718
1.8000387747,-179.4797545310,1247.0830448398
1.9641014857,-179.2402292996,1247.0074730835
2.1281641968,-179.0007040682,1246.9319013271
2.2922269079,-178.7611788368,1246.8563295708
2.4575065370,-178.5207119422,1246.7866279439
2.6227861662,-178.2802450476,1246.7169263171
2.7968299595,-178.0433886711,1246.6568612279
2.9708737529,-177.8065322947,1246.5967961388
3.1449175462,-177.5696759182,1246.5367310497
3.3246140989,-177.3352600453,1246.4842110777
3.5043106516,-177.1008441723,1246.4316911056
3.6818911122,-176.8633867440,1246.3860934111
3.8594715727,-176.6259293156,1246.3404957166
4.0325284730,-176.3836279995,1246.3038708412
4.2055853733,-176.1413266835,1246.2672459657
4.3786422736,-175.8990253674,1246.2306210903
4.5397655110,-175.6470765672,1246.2069334478
4.7008887485,-175.3951277669,1246.1832458053
4.8573635144,-175.1400943943,1246.1614828439
5.0138382804,-174.8850610218,1246.1397198824
5.1715254121,-174.6312067488,1246.1133992332
5.3292125439,-174.3773524758,1246.0870785840
5.4868996757,-174.1234982029,1246.0607579348
5.6384095476,-173.8673417705,1246.0229605687
5.7899194195,-173.6111853382,1245.9851632027
5.9442489280,-173.3569943114,1245.9455484996
6.0985784365,-173.1028032846,1245.9059337966
6.2529011825,-172.8478145236,1245.8717984505
6.4072239284,-172.5928257626,1245.8376631044
6.5615466743,-172.3378370016,1245.8035277583
6.7136680496,-172.0800082638,1245.7839464123
6.8657894249,-171.8221795259,1245.7643650664
7.0215243663,-171.5663727943,1245.7467712004
7.1772593077,-171.3105660628,1245.7291773343
7.3389122485,-171.0590125662,1245.7049046115
7.5005651893,-170.8074590695,1245.6806318887
7.6622181300,-170.5559055729,1245.6563591658
7.8296753970,-170.3088280738,1245.6261801470
7.9971326640,-170.0617505747,1245.5960011282
8.1631333089,-169.8144871157,1245.5598823281
8.3291339538,-169.5672236567,1245.5237635280
8.4910927624,-169.3175962234,1245.4856126578
8.6530515709,-169.0679687901,1245.4474617876
8.8150103794,-168.8183413568,1245.4093109174
8.9806730658,-168.5723152899,1245.3642881598
9.1463357522,-168.3262892229,1245.3192654021
9.3163001080,-168.0834121752,1245.2731909250
9.4862644639,-167.8405351275,1245.2271164479
9.6562288197,-167.5976580798,1245.1810419708
9.8231899635,-167.3527006864,1245.1350001214
9.9901511073,-167.1077432930,1245.0889582719
10.1618042604,-166.8659664894,1245.0433603310
10.3334574136,-166.6241896857,1244.9977623901
10.5051105667,-166.3824128820,1244.9521644491
10.6849226752,-166.1473587391,1244.9029998729
10.8647347837,-165.9123045962,1244.8538352966
11.0445468922,-165.6772504534,1244.8046707203
11.2282016684,-165.4465028942,1244.7496572028
11.4118564447,-165.2157553351,1244.6946436854
11.5973455161,-164.9874525639,1244.6357229841
11.7828345875,-164.7591497927,1244.5768022828
11.9683236590,-164.5308470214,1244.5178815815
12.1610623940,-164.3101910550,1244.4533624023
12.3538011290,-164.0895350886,1244.3888432230
12.5465398640,-163.8688791221,1244.3243240437
12.7421762679,-163.6535354715,1244.2511563622
12.9378126717,-163.4381918208,1244.1779886808
13.1334490756,-163.2228481701,1244.1048209994
13.3357420043,-163.0135619415,1244.0321791004
13.5380349331,-162.8042757129,1243.9595372014
13.7403278618,-162.5949894843,1243.8868953023
13.9573151562,-162.4017440967,1243.8122445537
14.1743024506,-162.2084987092,1243.7375938051
14.4018487815,-162.0309580237,1243.6557282305
14.6293951124,-161.8534173382,1243.5738626560
14.8569414432,-161.6758766527,1243.4919970814
15.0966477525,-161.5167729338,1243.4069859534
15.3363540619,-161.3576692148,1243.3219748254
15.5760603712,-161.1985654958,1243.2369636974
15.8216072041,-161.0499993409,1243.1495860660
16.0671540370,-160.9014331860,1243.0622084346
16.3128326996,-160.7526268087,1242.9756136497
16.5585113623,-160.6038204313,1242.8890188649
16.8041900250,-160.4550140539,1242.8024240800
17.0518639597,-160.3091472413,1242.7165142726
17.2995378945,-160.1632804286,1242.6306044652
17.5542907373,-160.0312572701,1242.5430209354
17.8090435801,-159.8992341116,1242.4554374055
18.0687325287,-159.7758131673,1242.3698282910
18.3284214774,-159.6523922231,1242.2842191766
18.5881104260,-159.5289712788,1242.1986100621
18.8563444019,-159.4154985113,1242.1266763066
19.1245783779,-159.3020257439,1242.0547425511
19.3975354889,-159.1977517190,1241.9867620885
19.6704925999,-159.0934776941,1241.9187816260
19.9430918675,-158.9903961229,1241.8476210400
20.2156911350,-158.8873145516,1241.7764604540
20.4876018508,-158.7835898640,1241.7036198620
20.7595125665,-158.6798651763,1241.6307792699
21.0314232822,-158.5761404887,1241.5579386778
21.3025581612,-158.4726740380,1241.4819086118
21.5736930403,-158.3692075874,1241.4058785457
21.8445555908,-158.2672105541,1241.3269476649
22.1154181413,-158.1652135208,1241.2480167841
22.3903655558,-158.0712251118,1241.1733836933
22.6653129702,-157.9772367028,1241.0987506025
22.9419644882,-157.8818213860,1241.0327214048
23.2186160061,-157.7864060692,1240.9666922070
23.4945505061,-157.6834088511,1240.9096683107
23.7704850062,-157.5804116330,1240.8526444144
24.0464195062,-157.4774144149,1240.7956205181
