3d_x,3d_y,3d_z
56.3718750000,-179.3281250000,1423.7750000000
56.5840070344,-179.1159929656,1423.7750000000
56.7961390687,-178.9038609313,1423.7750000000
57.0082711031,-178.6917288969,1423.7750000000
57.2204031374,-178.4795968626,1423.7750000000
57.4662611298,-178.3085473871,1423.7922024579
57.7121191221,-178.1374979117,1423.8094049158
57.9751719114,-177.9939546396,1423.8234960143
58.2382247008,-177.8504113675,1423.8375871127
58.5179175768,-177.7429744478,1423.8527265771
58.7976104529,-177.6355375282,1423.8678660414
59.0881972483,-177.5609857801,1423.8690284491
59.3787840437,-177.4864340321,1423.8701908567
59.6718521427,-177.4229389682,1423.8612764730
59.9649202416,-177.3594439043,1423.8523620893
60.2540887234,-177.2808045769,1423.8383105647
60.5432572051,-177.2021652494,1423.8242590401
60.8317447759,-177.1206490513,1423.8128559285
61.1202323466,-177.0391328531,1423.8014528169
61.4115780596,-176.9679528752,1423.7943053504
61.7029237726,-176.8967728973,1423.7871578839
61.9945219939,-176.8265883676,1423.7804788767
62.2843631351,-176.7498409313,1423.7703821526
62.5742042764,-176.6730934949,1423.7602854285
62.8623075288,-176.5906326859,1423.7462593473
63.1504107812,-176.5081718770,1423.7322332662
63.4408018389,-176.4342446691,1423.7178179434
63.7311928966,-176.3603174612,1423.7034026207
64.0230102376,-176.2941309798,1423.6819086874
64.3148275786,-176.2279444984,1423.6604147541
64.5924888199,-176.1455426762,1423.5822215653
64.8701500612,-176.0631408539,1423.5040283766
65.0935376507,-175.9952117397,1423.3156574120
65.3169252402,-175.9272826255,1423.1272864474
65.5403128297,-175.8593535113,1422.9389154828
65.7637004192,-175.7914243971,1422.7505445182
65.9870880088,-175.7234952829,1422.5621735536
