3d_x,3d_y,3d_z
46.1718750000,-163.1281250000,1415.9750000000
46.1050165005,-162.9213280694,1415.7682030694
46.0381580010,-162.7145311387,1415.5614061387
45.9712995015,-162.5077342081,1415.3546092081
45.9044410020,-162.3009372774,1415.1478122774
45.9617545344,-162.0500608352,1414.9936170449
46.0190680667,-161.7991843929,1414.8394218124
46.1677817560,-161.5627044565,1414.7300532690
46.3164954453,-161.3262245201,1414.6206847256
46.4652091346,-161.0897445836,1414.5113161822
46.6284158163,-160.8596671357,1414.4091988623
46.7916224980,-160.6295896878,1414.3070815425
46.9274906633,-160.3917517529,1414.1847175021
47.0633588286,-160.1539138180,1414.0623534618
47.1992269938,-159.9160758831,1413.9399894214
47.3297468325,-159.6762462795,1413.8157061442
47.4602666711,-159.4364166760,1413.6914228671
47.6002580342,-159.1962901019,1413.5785439644
47.7402493973,-158.9561635277,1413.4656650617
47.8802407603,-158.7160369536,1413.3527861590
48.0308250767,-158.4756776620,1413.2550529783
48.1814093930,-158.2353183704,1413.1573197976
48.3429101063,-157.9967039620,1413.0737693117
48.5044108196,-157.7580895535,1412.9902188259
48.6659115328,-157.5194751451,1412.9066683400
48.8417652293,-157.2870713277,1412.8355069523
49.0176189259,-157.0546675103,1412.7643455647
49.2033562174,-156.8251417712,1412.7112457188
49.3890935089,-156.5956160321,1412.6581458730
49.5748308005,-156.3660902931,1412.6050460271
49.7662919117,-156.1376367320,1412.5711105979
49.9577530229,-155.9091831710,1412.5371751687
50.1491313022,-155.6797323689,1412.5102180989
50.3405095814,-155.4502815667,1412.4832610290
50.5318878607,-155.2208307646,1412.4563039591
50.7171020011,-154.9857854774,1412.4351040728
50.9023161416,-154.7507401903,1412.4139041865
51.0794406658,-154.5100079683,1412.3879253455
51.2565651901,-154.2692757462,1412.3619465045
51.4336897143,-154.0285435242,1412.3359676635
51.6011277355,-153.7852082700,1412.2835037413
51.7685657566,-153.5418730158,1412.2310398191
51.9207277555,-153.2985556409,1412.1436133861
52.0728897544,-153.0552382661,1412.0561869531
52.2250517533,-152.8119208912,1411.9687605200
52.3662125266,-152.5692238818,1411.8630637949
52.5073733000,-152.3265268724,1411.7573670698
52.6500676174,-152.0892969366,1411.6417803520
52.7927619347,-151.8520670008,1411.5261936341
52.9354562521,-151.6148370650,1411.4106069162
53.0889572106,-151.3851361176,1411.2936670579
53.2424581691,-151.1554351701,1411.1767271995
53.3907374851,-150.9290044343,1411.0473349031
53.5390168011,-150.7025736986,1410.9179426068
53.6689891027,-150.4701772744,1410.7797431029
53.7989614043,-150.2377808503,1410.6415435991
53.9289337059,-150.0053844262,1410.5033440952
54.0239729602,-149.7553724199,1410.3674708571
54.1190122146,-149.5053604136,1410.2315976189
54.2008565250,-149.2357612570,1410.1285548919
54.2827008354,-148.9661621003,1410.0255121649
54.3527079839,-148.6876414975,1409.9387638336
54.4227151325,-148.4091208948,1409.8520155022
54.4701462597,-148.1252069629,1409.7674982411
54.5175773870,-147.8412930310,1409.6829809799
54.5469101344,-147.5521212435,1409.6086892086
54.5762428817,-147.2629494561,1409.5343974373
54.5897871217,-146.9683381620,1409.4794361877
54.6033313617,-146.6737268679,1409.4244749382
54.6054193011,-146.3751520870,1409.3953417827
54.6075072405,-146.0765773062,1409.3662086272
54.6023018852,-145.7767537436,1409.3573353206
54.5970965300,-145.4769301809,1409.3484620140
54.5932142124,-145.1770611980,1409.3404920260
54.5893318948,-144.8771922152,1409.3325220380
54.5781087566,-144.5774198792,1409.3292681558
54.5668856184,-144.2776475432,1409.3260142737
54.5345483495,-143.9794137823,1409.3293195573
54.5022110805,-143.6811800214,1409.3326248409
54.4698738116,-143.3829462605,1409.3359301245
54.3772192179,-143.0976140613,1409.3351162593
54.2845646242,-142.8122818621,1409.3343023941
54.1426630515,-142.5481846431,1409.3235041266
54.0007614788,-142.2840874241,1409.3127058592
53.8406339958,-142.0305768595,1409.3031359684
53.6805065128,-141.7770662949,1409.2935660776
53.5125207938,-141.5285639472,1409.2883333518
53.3445350749,-141.2800615995,1409.2831006260
53.1765493559,-141.0315592518,1409.2778679002
53.0107396430,-140.7820820183,1409.2614895891
52.8449299301,-140.5326047848,1409.2451112779
52.6913162320,-140.2768289353,1409.2137816343
52.5377025338,-140.0210530859,1409.1824519908
52.3840888357,-139.7652772364,1409.1511223473
52.2366846005,-139.5198411138,1409.0614947778
52.0892803654,-139.2744049913,1408.9718672083
51.9540668735,-139.0471043282,1408.8302631117
51.8188533816,-138.8198036651,1408.6886590151
51.7387655364,-138.6210935303,1408.4786584928
51.6586776911,-138.4223833955,1408.2686579705
51.5785898459,-138.2236732607,1408.0586574481
51.5762212373,-138.1194209578,1407.7773642790
51.5738526287,-138.0151686549,1407.4960711098
51.5733249961,-137.9919453500,1407.1969717957
51.5727973634,-137.9687220452,1406.8978724815
51.5722697308,-137.9454987403,1406.5987731674
51.5717420981,-137.9222754354,1406.2996738533
