3d_x,3d_y,3d_z
25.7718750000,-169.7281250000,1412.9750000000
25.9450800808,-169.5549199192,1413.1482050808
26.1182851615,-169.3817148385,1413.3214101615
26.2914902423,-169.2085097577,1413.4946152423
26.4646953230,-169.0353046770,1413.6678203230
26.6379004038,-168.8620995962,1413.8410254038
26.7864746445,-168.6692859422,1414.0163781620
26.9350488852,-168.4764722881,1414.1917309201
27.0836231260,-168.2836586340,1414.3670836783
27.2567860539,-168.1139985506,1414.5438039558
27.4299489819,-167.9443384672,1414.7205242333
27.6031119099,-167.7746783838,1414.8972445108
27.8206960802,-167.6574363325,1415.0672781258
28.0382802505,-167.5401942813,1415.2373117408
28.2558644209,-167.4229522300,1415.4073453558
28.5107595706,-167.3781759190,1415.5590804692
28.7656547203,-167.3333996080,1415.7108155825
29.0360411608,-167.3250444117,1415.8405127818
29.3064276012,-167.3166892154,1415.9702099811
29.5827949475,-167.3204548175,1416.0868586424
29.8591622937,-167.3242204196,1416.2035073036
30.1355296400,-167.3279860217,1416.3201559648
30.4178434929,-167.3304322782,1416.4216099163
30.7001573458,-167.3328785347,1416.5230638678
30.9852914570,-167.3316506885,1416.6163217419
31.2704255681,-167.3304228423,1416.7095796159
31.5571307777,-167.3292123826,1416.7978896241
31.8438359874,-167.3280019228,1416.8861996322
32.1328076620,-167.3316237085,1416.9667120780
32.4217793367,-167.3352454943,1417.0472245238
32.7111463102,-167.3499412174,1417.1250113502
33.0005132837,-167.3646369404,1417.2027981766
33.2906418064,-167.3940015564,1417.2732478723
33.5807703292,-167.4233661724,1417.3436975680
33.8719472003,-167.4593718191,1417.4063044617
34.1631240714,-167.4953774659,1417.4689113554
34.4543009425,-167.5313831126,1417.5315182490
34.7462362353,-167.5705710615,1417.5884224620
35.0381715282,-167.6097590104,1417.6453266749
35.3298766444,-167.6462165000,1417.7051512236
35.6215817606,-167.6826739895,1417.7649757723
35.9129942776,-167.7182655035,1417.8267170799
36.2044067946,-167.7538570175,1417.8884583875
36.4949931048,-167.7966997270,1417.9494837804
36.7855794150,-167.8395424365,1418.0105091734
37.0759662163,-167.8866483417,1418.0693015140
37.3663530176,-167.9337542470,1418.1280938546
37.6563215204,-167.9842932504,1418.1860945142
37.9462900232,-168.0348322539,1418.2440951739
38.2364629017,-168.0894678322,1418.2971484884
38.5266357801,-168.1441034106,1418.3502018029
38.8157939032,-168.2069923678,1418.3995227814
39.1049520263,-168.2698813250,1418.4488437599
39.3919954287,-168.3395047742,1418.5013667114
39.6790388311,-168.4091282234,1418.5538896629
39.9628527946,-168.4822869791,1418.6179008388
40.2466667580,-168.5554457349,1418.6819120147
40.5281187998,-168.6325656499,1418.7514624772
40.8095708417,-168.7096855650,1418.8210129396
41.0887504076,-168.7920871700,1418.8935990643
41.3679299734,-168.8744887750,1418.9661851891
41.6471095393,-168.9568903800,1419.0387713138
41.9182773834,-169.0605149486,1419.1144677411
42.1894452275,-169.1641395172,1419.1901641684
42.4551684036,-169.2823436801,1419.2637778187
42.7208915798,-169.4005478430,1419.3373914691
42.9705233045,-169.5459530656,1419.4182699167
43.2201550291,-169.6913582881,1419.4991483644
43.4453379704,-169.8676613306,1419.5897567534
43.6705209117,-170.0439643731,1419.6803651425
43.8823348642,-170.2402007323,1419.7617662533
44.0941488168,-170.4364370915,1419.8431673641
44.3055272974,-170.6367867428,1419.9151337115
44.5169057780,-170.8371363941,1419.9871000590
44.7392788946,-171.0296442806,1420.0461839879
44.9621722736,-171.2171651992,1420.1179784631
45.1850656527,-171.4046861177,1420.1897729383
45.3969742286,-171.6040915659,1420.2627950080
45.6088828046,-171.8034970142,1420.3358170777
45.8036040865,-172.0207199058,1420.4058016313
45.9983253683,-172.2379427974,1420.4757861849
46.1952778628,-172.4561880982,1420.5356084515
46.3922303572,-172.6744333991,1420.5954307182
46.5891828517,-172.8926786999,1420.6552529848
46.8143007996,-173.0857010253,1420.7006874592
47.0394187474,-173.2787233506,1420.7461219335
47.2827390988,-173.4465187033,1420.7975021459
47.5260594502,-173.6143140560,1420.8488823583
47.7666067539,-173.7787032461,1420.9203889234
48.0071540577,-173.9430924361,1420.9918954885
48.2477013614,-174.1074816262,1421.0634020536
48.4731940164,-174.2771722739,1421.1651770339
48.6986866714,-174.4468629217,1421.2669520143
48.9233275211,-174.6180890973,1421.3680365602
49.1479683708,-174.7893152729,1421.4691211061
49.3726092205,-174.9605414485,1421.5702056521
49.5984367787,-175.1338040231,1421.6649790357
49.8242643368,-175.3070665977,1421.7597524192
50.0455153082,-175.4853665590,1421.8559664069
50.2667662796,-175.6636665204,1421.9521803945
50.4880172511,-175.8419664817,1422.0483943822
50.7052953121,-176.0295646439,1422.1355561498
50.9225733732,-176.2171628060,1422.2227179175
51.1398514343,-176.4047609682,1422.3098796852
51.3565979949,-176.5985767479,1422.3837469445
51.5733445555,-176.7923925276,1422.4576142038
51.7900911161,-176.9862083073,1422.5314814631
52.0080160724,-177.1831979670,1422.5923402128
52.2259410286,-177.3801876267,1422.6531989625
52.4430474231,-177.5779466331,1422.7144867170
52.6601538175,-177.7757056396,1422.7757744716
52.8772602120,-177.9734646460,1422.8370622261
53.0981828705,-178.1649757971,1422.9042683120
53.3191055289,-178.3564869482,1422.9714743978
53.5400281874,-178.5479980994,1423.0386804836
53.7669718921,-178.7257276345,1423.1217994781
53.9939155968,-178.9034571696,1423.2049184726
54.2220954420,-179.0770896470,1423.2931552053
