3d_x,3d_y,3d_z
45.5718750000,-169.7281250000,1420.1750000000
45.7893160174,-169.5819754124,1420.0288504124
46.0067570349,-169.4358258247,1419.8827008247
46.2241980523,-169.2896762371,1419.7365512371
46.4416390698,-169.1435266494,1419.5904016494
46.4946044798,-168.8644220805,1419.4939894877
46.5475698899,-168.5853175116,1419.3975773259
46.6281931665,-168.3016669558,1419.3424207353
46.7088164432,-168.0180164001,1419.2872641447
46.8308886778,-167.7505390555,1419.2276467005
46.9529609125,-167.4830617109,1419.1680292563
47.0066471170,-167.2028800071,1419.0752068220
47.0603333215,-166.9226983033,1418.9823843877
47.0358090042,-166.6480671245,1418.8641630974
47.0112846870,-166.3734359457,1418.7459418070
46.9596487675,-166.1135137825,1418.6053210373
46.9080128481,-165.8535916192,1418.4647002675
46.8623351937,-165.6177205174,1418.2850384318
46.8166575394,-165.3818494155,1418.1053765961
46.7817181375,-165.1629815506,1417.9031982197
46.7467787356,-164.9441136857,1417.7010198432
46.7348338871,-164.7206869721,1417.5011753430
46.7228890385,-164.4972602586,1417.3013308429
46.7109441899,-164.2738335450,1417.1014863427
46.7876416182,-164.0328857775,1416.9400500462
46.8643390465,-163.7919380100,1416.7786137496
47.0258648058,-163.5568764920,1416.6855787464
47.1873905651,-163.3218149739,1416.5925437431
47.3742001428,-163.0981845181,1416.5211882886
47.5610097205,-162.8745540622,1416.4498328342
47.7875730520,-162.6909838894,1416.3793271715
48.0141363835,-162.5074137165,1416.3088215089
48.2406997150,-162.3238435437,1416.2383158463
48.4786035069,-162.1680649257,1416.1427396568
48.7165072987,-162.0122863077,1416.0471634674
48.9646873486,-161.8640173716,1415.9670199371
49.2128673984,-161.7157484355,1415.8868764067
49.4698142960,-161.5705236227,1415.8331358678
49.7267611937,-161.4252988098,1415.7793953289
49.9859525084,-161.2771328564,1415.7499553457
50.2451438231,-161.1289669029,1415.7205153625
50.5043351379,-160.9808009495,1415.6910753792
50.7654523241,-160.8332757702,1415.6837176255
51.0265695103,-160.6857505910,1415.6763598718
51.2923330834,-160.5465993922,1415.6737777964
51.5580966564,-160.4074481934,1415.6711957209
51.8266609033,-160.2737681535,1415.6694950708
52.0952251502,-160.1400881135,1415.6677944206
52.3624893718,-160.0038202499,1415.6687458565
52.6297535933,-159.8675523863,1415.6696972923
52.8970178149,-159.7312845227,1415.6706487282
53.1583523119,-159.5839608713,1415.6704990264
53.4196868089,-159.4366372199,1415.6703493245
53.6757100024,-159.2802734822,1415.6687663231
53.9317331959,-159.1239097444,1415.6671833216
54.1800302523,-158.9555946092,1415.6628720512
54.4283273087,-158.7872794741,1415.6585607808
54.6766243652,-158.6189643389,1415.6542495105
54.9187075963,-158.4421576255,1415.6426264601
55.1607908275,-158.2653509122,1415.6310034097
55.3983099650,-158.0828803368,1415.6139990453
55.6358291026,-157.9004097614,1415.5969946808
55.8733482401,-157.7179391859,1415.5799903163
56.1092147104,-157.5341363849,1415.5558337741
56.3450811807,-157.3503335840,1415.5316772319
56.5793356183,-157.1662188372,1415.4966541178
56.8135900558,-156.9821040905,1415.4616310038
57.0478444934,-156.7979893437,1415.4266078897
57.2758140503,-156.6085392944,1415.3803633233
57.5037836072,-156.4190892450,1415.3341187570
57.7215929486,-156.2160713706,1415.2974740648
57.9394022900,-156.0130534962,1415.2608293726
58.1572116315,-155.8100356218,1415.2241846805
58.3603514743,-155.5915492732,1415.1925948132
58.5634913172,-155.3730629246,1415.1610049460
58.7548434125,-155.1451763028,1415.1228989981
58.9461955077,-154.9172896811,1415.0847930502
59.1375476030,-154.6894030594,1415.0466871023
59.3165086563,-154.4538377576,1414.9968681300
59.4954697096,-154.2182724558,1414.9470491577
59.6744307629,-153.9827071540,1414.8972301854
59.8565350089,-153.7502544135,1414.8442795761
60.0386392549,-153.5178016730,1414.7913289667
60.2215100123,-153.2879392920,1414.7303242793
60.4043807697,-153.0580769111,1414.6693195919
60.5872515271,-152.8282145301,1414.6083149045
60.7609386252,-152.5939831571,1414.5378276298
60.9346257233,-152.3597517842,1414.4673403551
61.0939247574,-152.1188054050,1414.3862930845
61.2532237915,-151.8778590258,1414.3052458138
61.4125228256,-151.6369126466,1414.2241985432
61.5669201843,-151.3984303531,1414.1278260816
61.7213175429,-151.1599480596,1414.0314536200
61.8649180174,-150.9187806981,1413.9255423013
62.0085184920,-150.6776133366,1413.8196309825
62.1521189665,-150.4364459750,1413.7137196637
62.2715277947,-150.1879198952,1413.5954981793
62.3909366229,-149.9393938153,1413.4772766950
62.5031481820,-149.6943016636,1413.3456013246
62.6153597412,-149.4492095119,1413.2139259542
62.7275713004,-149.2041173602,1413.0822505838
