3d_x,3d_y,3d_z
60.5718750000,-154.1281250000,1414.7750000000
60.8200396444,-154.2966904451,1414.7750000000
61.0682042888,-154.4652558902,1414.7750000000
61.3163689332,-154.6338213352,1414.7750000000
61.6081012641,-154.6924056298,1414.7367883851
61.8998335951,-154.7509899244,1414.6985767702
62.1970494918,-154.7608370960,1414.6590072876
62.4942653885,-154.7706842677,1414.6194378049
62.7941541850,-154.7721582938,1414.6274712960
63.0940429815,-154.7736323198,1414.6355047871
63.3906014235,-154.7719076652,1414.6807829941
63.6871598655,-154.7701830107,1414.7260612012
63.9827913078,-154.7670240941,1414.7769735924
64.2784227501,-154.7638651775,1414.8278859835
64.5654921127,-154.7534473482,1414.9143882948
64.8525614754,-154.7430295188,1415.0008906062
65.1288699115,-154.7194444690,1415.1153344507
65.4051783476,-154.6958594192,1415.2297782952
65.6806028484,-154.6405598796,1415.3350555734
65.9560273492,-154.5852603401,1415.4403328515
66.2285522870,-154.4993577671,1415.5317161445
66.5010772248,-154.4134551942,1415.6230994376
66.7780980371,-154.3188495869,1415.6887443048
67.0551188495,-154.2242439796,1415.7543891721
67.3312544202,-154.1147900021,1415.7964483374
67.6073899909,-154.0053360247,1415.8385075027
67.8756250907,-153.8710026068,1415.8406203453
68.1438601905,-153.7366691890,1415.8427331880
68.4120952902,-153.6023357711,1415.8448460306
68.6621274194,-153.4452572611,1415.7918339935
68.9121595485,-153.2881787510,1415.7388219565
69.1583612708,-153.1281772180,1415.6773059309
69.4045629931,-152.9681756851,1415.6157899054
69.6536880543,-152.8095227283,1415.5631976704
69.9028131155,-152.6508697716,1415.5106054353
70.1604107030,-152.5015422054,1415.4739344532
70.4180082904,-152.3522146393,1415.4372634711
70.6756058779,-152.2028870732,1415.4005924891
70.9442464051,-152.0702611624,1415.3850157464
71.2128869324,-151.9376352516,1415.3694390037
71.4888224182,-151.8199589556,1415.3659897982
71.7647579040,-151.7022826596,1415.3625405928
72.0529557201,-151.6191184415,1415.3676132289
72.3411535362,-151.5359542235,1415.3726858650
72.6384038721,-151.4972214150,1415.3846025487
72.9356542080,-151.4584886065,1415.3965192324
73.2356163242,-151.4618782986,1415.3998716728
73.5355784403,-151.4652679907,1415.4032241133
73.8345128755,-151.4875548944,1415.3913288462
74.1334473107,-151.5098417981,1415.3794335791
74.4323817459,-151.5321287017,1415.3675383120
74.7218000230,-151.5679232579,1415.2971407935
75.0112183001,-151.6037178141,1415.2267432749
75.2595585557,-151.6359947618,1415.0615605999
75.5078988112,-151.6682717096,1414.8963779249
75.6722903651,-151.6937290149,1414.6467234784
75.8366819190,-151.7191863201,1414.3970690320
75.9066137406,-151.7067581937,1414.1055984812
75.9765455622,-151.6943300673,1413.8141279303
75.9059181815,-151.6716386172,1413.5234444750
75.8352908007,-151.6489471670,1413.2327610197
75.7127197795,-151.5740604111,1412.9693823598
75.5901487582,-151.4991736551,1412.7060036998
75.4523604554,-151.3957917995,1412.4603890106
75.3145721526,-151.2924099440,1412.2147743214
75.1698979435,-151.2081356126,1411.9658421814
75.0252237345,-151.1238612813,1411.7169100415
74.9004178695,-151.0562058364,1411.4526256551
74.7756120046,-150.9885503915,1411.1883412688
74.6794873299,-150.9457170329,1410.9074047096
74.5833626553,-150.9028836743,1410.6264681504
74.5196548223,-150.8752738135,1410.3346137216
74.4559469892,-150.8476639528,1410.0427592928
74.3922391562,-150.8200540920,1409.7509048640
74.3862427904,-150.7340935628,1409.4635464971
74.3802464245,-150.6481330335,1409.1761881303
74.3742500586,-150.5621725042,1408.8888297634
