3d_x,3d_y,3d_z
22.7718750000,-180.5281250000,1358.3750000000
22.9635740264,-180.7198240264,1358.2465361273
23.1552730527,-180.9115230527,1358.1180722546
23.3469720791,-181.1032220791,1357.9896083819
23.5386711054,-181.2949211054,1357.8611445092
23.8009915324,-181.2784732557,1357.7165158059
24.0633119594,-181.2620254061,1357.5718871026
24.3197093483,-181.1869733658,1357.4354042458
24.5761067373,-181.1119213255,1357.2989213890
24.8325041262,-181.0368692852,1357.1624385322
25.0986419097,-180.9710975088,1357.0405994841
25.3647796931,-180.9053257325,1356.9187604360
25.6343775235,-180.8563083997,1356.7966362738
25.9039753538,-180.8072910670,1356.6745121117
26.1699937568,-180.7589828581,1356.5445100878
26.4360121598,-180.7106746493,1356.4145080638
26.7028324932,-180.6707411957,1356.2833126791
26.9696528265,-180.6308077421,1356.1521172943
27.2342757984,-180.6026061700,1356.0136277492
27.4988987702,-180.5744045979,1355.8751382041
27.7635217420,-180.5462030258,1355.7366486590
28.0292320708,-180.5398294799,1355.5975177885
28.2949423995,-180.5334559340,1355.4583869180
28.5630509456,-180.5347904753,1355.3237911288
28.8311594918,-180.5361250166,1355.1891953395
29.1022186626,-180.5402362654,1355.0607040030
29.3732778334,-180.5443475142,1354.9322126666
29.6504406021,-180.5432851242,1354.8174099184
29.9276033708,-180.5422227342,1354.7026071702
30.2068749330,-180.5373806890,1354.5931359451
30.4861464953,-180.5325386439,1354.4836647201
30.7654180575,-180.5276965988,1354.3741934950
31.0450322855,-180.5184440748,1354.2658871041
31.3246465134,-180.5091915508,1354.1575807131
31.6039406098,-180.4962637890,1354.0488255721
31.8832347062,-180.4833360272,1353.9400704311
32.1629018139,-180.4720830669,1353.8320904340
32.4425689215,-180.4608301066,1353.7241104369
32.7213830354,-180.4458819523,1353.6143869544
33.0001971492,-180.4309337980,1353.5046634718
33.2780893135,-180.4093355337,1353.3937154661
33.5559814778,-180.3877372694,1353.2827674603
33.8374293521,-180.3606375695,1353.1825043049
34.1188772264,-180.3335378696,1353.0822411496
34.4049414636,-180.3086810492,1352.9953539198
34.6910057007,-180.2838242287,1352.9084666900
