3d_x,3d_y,3d_z
22.1718750000,-179.9281250000,1358.9750000000
22.3326390401,-179.6884155032,1358.8931814167
22.4934030801,-179.4487060064,1358.8113628334
22.6541671202,-179.2089965096,1358.7295442500
22.7681332808,-178.9335169505,1358.7630513645
22.8820994415,-178.6580373914,1358.7965584789
22.9960656022,-178.3825578322,1358.8300655933
23.1120105116,-178.1133971209,1358.8941693329
23.2279554211,-177.8442364095,1358.9582730725
23.3737600483,-177.5865422682,1359.0065922221
23.5195646755,-177.3288481268,1359.0549113716
23.6866467505,-177.0800023161,1359.0675344732
23.8537288255,-176.8311565054,1359.0801575749
24.0208109004,-176.5823106946,1359.0927806765
24.1922617483,-176.3380152206,1359.0623779115
24.3637125962,-176.0937197465,1359.0319751466
24.5355839671,-175.8528026508,1358.9827899366
24.7074553379,-175.6118855551,1358.9336047266
24.8823404798,-175.3756320398,1358.8736091964
25.0572256217,-175.1393785244,1358.8136136663
25.2321107636,-174.9031250091,1358.7536181362
25.4099965633,-174.6703340085,1358.6890813847
25.5878823629,-174.4375430078,1358.6245446331
25.7696801241,-174.2069593919,1358.5630566659
25.9514778852,-173.9763757760,1358.5015686986
26.1332756464,-173.7457921601,1358.4400807313
26.3182467260,-173.5165389331,1358.3832594533
26.5032178055,-173.2872857061,1358.3264381753
26.6881888851,-173.0580324792,1358.2696168973
26.8683950449,-172.8258409278,1358.2095101304
27.0486012048,-172.5936493764,1358.1494033634
27.2264322918,-172.3602365499,1358.0869969783
27.4042633788,-172.1268237234,1358.0245905932
27.5820944658,-171.8934108968,1357.9621842081
27.7574587343,-171.6577293605,1357.9013435412
27.9328230028,-171.4220478241,1357.8405028743
28.1069053351,-171.1843798347,1357.7838524693
28.2809876674,-170.9467118453,1357.7272020642
28.4550699997,-170.7090438559,1357.6705516592
28.6311139311,-170.4721636477,1357.6167343645
28.8071578626,-170.2352834396,1357.5629170698
28.9927156927,-170.0047053787,1357.5139063616
29.1782735228,-169.7741273178,1357.4648956534
29.3638313529,-169.5435492569,1357.4158849452
29.5609818021,-169.3204140888,1357.3792462073
29.7581322513,-169.0972789206,1357.3426074694
29.9489494744,-168.8663899756,1357.3259017094
30.1397666975,-168.6355010305,1357.3091959493
30.2980164795,-168.3808807472,1357.3203994232
30.4562662615,-168.1262604639,1357.3316028971
30.5851585424,-167.8572079637,1357.3631866275
30.7140508234,-167.5881554634,1357.3947703578
30.8319992655,-167.3139718243,1357.4249613666
30.9499477077,-167.0397881851,1357.4551523754
31.0846015703,-166.7729182982,1357.4806239432
31.2192554329,-166.5060484113,1357.5060955110
31.3846600179,-166.2564940294,1357.5251725573
31.5500646029,-166.0069396474,1357.5442496036
31.7300554405,-165.7676310189,1357.5625438306
31.9100462780,-165.5283223905,1357.5808380575
32.0900371156,-165.2890137620,1357.5991322844
32.2818139086,-165.0584769850,1357.6077610796
32.4735907017,-164.8279402080,1357.6163898748
32.6653914959,-164.5973540974,1357.6229091495
32.8571922900,-164.3667679868,1357.6294284243
33.0396848855,-164.1289500569,1357.6412218468
33.2221774810,-163.8911321270,1357.6530152694
33.4046700764,-163.6533141971,1357.6648086920
33.5623866039,-163.3990959711,1357.6871378334
33.7201031314,-163.1448777452,1357.7094669748
33.8641396410,-162.8826734674,1357.7318812695
34.0081761507,-162.6204691897,1357.7542955643
34.1522126603,-162.3582649119,1357.7767098590
34.3083052714,-162.1020778642,1357.7748950917
34.4643978824,-161.8458908165,1357.7730803243
34.6362932797,-161.6008439538,1357.7529803876
34.8081886769,-161.3557970910,1357.7328804508
34.9982737925,-161.1270752800,1357.6934598723
35.1883589081,-160.8983534690,1357.6540392939
35.3933645491,-160.6911632010,1357.5830119755
35.5983701902,-160.4839729329,1357.5119846571
35.8134068563,-160.3023007114,1357.4082810596
36.0284435224,-160.1206284898,1357.3045774621
36.2434801886,-159.9389562683,1357.2008738645
36.4661397025,-159.7842630236,1357.0724497979
36.6887992164,-159.6295697788,1356.9440257312
36.9187346947,-159.4769119469,1356.8264448560
37.1486701729,-159.3242541150,1356.7088639809
37.3851410875,-159.1684782999,1356.6097912704
37.6216120021,-159.0127024847,1356.5107185598
37.8640789164,-158.8587964998,1356.4239848106
38.1065458308,-158.7048905149,1356.3372510614
38.3490127451,-158.5509845299,1356.2505173122
38.5926991454,-158.3985972170,1356.1645228636
38.8363855456,-158.2462099041,1356.0785284150
39.0879696869,-158.1041483575,1355.9977575240
39.3395538282,-157.9620868110,1355.9169866331
39.5911379695,-157.8200252644,1355.8362157421
39.8530207835,-157.6905697926,1355.7679612727
40.1149035974,-157.5611143208,1355.6997068033
40.3778605454,-157.4341666308,1355.6308741983
40.6408174934,-157.3072189409,1355.5620415933
40.9043919849,-157.1852665384,1355.4868345526
41.1679664764,-157.0633141360,1355.4116275119
41.4315409679,-156.9413617336,1355.3364204712
41.6980966244,-156.8243618929,1355.2639006859
41.9646522810,-156.7073620523,1355.1913809007
42.2304980070,-156.5942158081,1355.1106097587
42.4963437331,-156.4810695639,1355.0298386168
42.7627952502,-156.3846590813,1354.9313063488
43.0292467674,-156.2882485987,1354.8327740807
43.2895666851,-156.2099580967,1354.7058720014
43.5498866028,-156.1316675947,1354.5789699220
43.8102065205,-156.0533770927,1354.4520678426
44.0658990434,-156.0015723331,1354.3039543706
44.3215915664,-155.9497675735,1354.1558408986
44.5764213877,-155.8903861190,1354.0090907537
44.8312512090,-155.8310046644,1353.8623406089
45.0894157500,-155.7587043581,1353.7277161849
45.3475802909,-155.6864040518,1353.5930917610
45.6140113575,-155.6064100929,1353.4807732262
45.8804424242,-155.5264161340,1353.3684546914
46.1468734908,-155.4464221750,1353.2561361566
46.4258375343,-155.3784444456,1353.1691988759
46.7048015777,-155.3104667163,1353.0822615952
46.9864164707,-155.2502436769,1352.9982006794
47.2680313637,-155.1900206375,1352.9141397636
47.5493450521,-155.1248686281,1352.8327897519
47.8306587405,-155.0597166187,1352.7514397402
48.1116041693,-154.9916914164,1352.6711761875
48.3925495980,-154.9236662140,1352.5909126348
48.6779963080,-154.8637047732,1352.5207357058
48.9634430181,-154.8037433323,1352.4505587769
49.2523587283,-154.7489789299,1352.3911569872
49.5412744385,-154.6942145274,1352.3317551975
49.8325914236,-154.6404447746,1352.2843924709
50.1239084087,-154.5866750217,1352.2370297443
50.4151201923,-154.5198115703,1352.2101043671
50.7063319759,-154.4529481189,1352.1831789899
50.9980964245,-154.3831645371,1352.1851176195
51.2898608730,-154.3133809554,1352.1870562491
51.5855390509,-154.2671420326,1352.2079458910
51.8812172288,-154.2209031099,1352.2288355328
52.1785788034,-154.1988718443,1352.2618615421
52.4759403780,-154.1768405786,1352.2948875513
52.7746229866,-154.1732366947,1352.3227391468
53.0733055951,-154.1696328108,1352.3505907423
53.3728441199,-154.1735037069,1352.3667675257
53.6723826447,-154.1773746030,1352.3829443090
53.9713137793,-154.1793968677,1352.4081650783
54.2702449140,-154.1814191323,1352.4333858476
54.5684690548,-154.1816172899,1352.4659791375
54.8666931957,-154.1818154475,1352.4985724274
55.1643553524,-154.1809144347,1352.5359412462
55.4620175091,-154.1800134219,1352.5733100650
55.7586969594,-154.1754278301,1352.6175850708
56.0553764097,-154.1708422383,1352.6618600766
56.3492355359,-154.1614396584,1352.7215124479
56.6430946622,-154.1520370784,1352.7811648191
56.9369800313,-154.1406778290,1352.8403455365
57.2308654003,-154.1293185795,1352.8995262538
57.5273135969,-154.1106574451,1352.9416003411
57.8237617935,-154.0919963107,1352.9836744283
58.1205363889,-154.0575778686,1353.0108812353
58.4173109843,-154.0231594265,1353.0380880423
58.7113491484,-153.9675231739,1353.0592106714
59.0053873125,-153.9118869212,1353.0803333005
59.2951231101,-153.8381818514,1353.1052477588
59.5848589078,-153.7644767816,1353.1301622172
59.8759322570,-153.6998502360,1353.1633241683
60.1670056062,-153.6352236905,1353.1964861195
60.4635961089,-153.5972855793,1353.2208740965
60.7601866116,-153.5593474681,1353.2452620734
61.0598384884,-153.5507311672,1353.2568600076
61.3594903652,-153.5421148664,1353.2684579418
61.6586587862,-153.5644337197,1353.2688110736
61.9578272071,-153.5867525729,1353.2691642054
62.2569956281,-153.6090714262,1353.2695173373
62.5473193142,-153.6775497054,1353.2375348024
62.8376430004,-153.7460279845,1353.2055522675
63.1313127522,-153.8025043108,1353.1817089999
63.4249825041,-153.8589806372,1353.1578657324
63.7245356696,-153.8698813392,1353.1700753906
64.0240888350,-153.8807820413,1353.1822850489
64.3177043015,-153.8620626386,1353.2409326560
64.6113197679,-153.8433432358,1353.2995802632
64.8893710084,-153.8384696492,1353.4121136174
65.1674222489,-153.8335960625,1353.5246469717
65.4416170787,-153.8551239032,1353.6444540975
65.7158119085,-153.8766517438,1353.7642612233
66.0000704522,-153.8806536799,1353.8600790966
66.2843289959,-153.8846556159,1353.9558969699
66.5762360092,-153.8660295842,1354.0225555514
66.8681430226,-153.8474035524,1354.0892141329
67.1655525679,-153.8352031551,1354.1266135004
67.4629621131,-153.8230027578,1354.1640128679
67.7626704955,-153.8316627615,1354.1740073594
68.0623788779,-153.8403227652,1354.1840018510
68.3605939480,-153.8728033618,1354.1875771578
68.6588090181,-153.9052839583,1354.1911524646
68.9553598869,-153.9486596826,1354.2044238164
69.2519107556,-153.9920354070,1354.2176951681
69.5485421344,-154.0283468304,1354.2439878601
69.8451735132,-154.0646582539,1354.2702805520
70.1408128713,-154.0867062635,1354.3162289490
70.4364522295,-154.1087542731,1354.3621773459
70.7293195200,-154.1122134854,1354.4271141151
71.0221868105,-154.1156726978,1354.4920508842
71.3105419795,-154.1091278102,1354.5745642831
71.5988971484,-154.1025829227,1354.6570776819
71.8878001123,-154.0911587434,1354.7371062118
72.1767030762,-154.0797345641,1354.8171347417
72.4614199171,-154.0558688546,1354.9086046732
72.7461367581,-154.0320031450,1355.0000746048
73.0257928845,-153.9881338481,1355.0994120891
73.3054490108,-153.9442645513,1355.1987495733
73.5849555944,-153.8943102897,1355.2956032851
73.8644621780,-153.8443560281,1355.3924569970
74.1439687615,-153.7944017666,1355.4893107088
74.4186089399,-153.7330911698,1355.5933000504
74.6932491182,-153.6717805731,1355.6972893920
74.9683934464,-153.6259615183,1355.8077258573
75.2435377747,-153.5801424635,1355.9181623225
75.5214055593,-153.5431990209,1356.0250485999
75.7992733440,-153.5062555783,1356.1319348773
76.0793608962,-153.4630694275,1356.2303519463
76.3594484484,-153.4198832767,1356.3287690153
76.6456892481,-153.3792945686,1356.4088861882
76.9319300478,-153.3387058605,1356.4890033610
77.2251755491,-153.3273953323,1356.5512861667
77.5184210505,-153.3160848040,1356.6135689724
77.8056816878,-153.3447406522,1356.6951788286
78.0929423251,-153.3733965005,1356.7767886848
78.3709378674,-153.4149269357,1356.8816395377
78.6489334098,-153.4564573709,1356.9864903907
78.9268705368,-153.4910191514,1357.0939912595
79.2048076638,-153.5255809318,1357.2014921282
79.4842506083,-153.5681062336,1357.3020069999
79.7636935529,-153.6106315354,1357.4025218717
80.0346604704,-153.6767332965,1357.5130093679
80.3056273878,-153.7428350575,1357.6234968641
80.5765943053,-153.8089368186,1357.7339843604
80.8201144745,-153.8870350853,1357.8908237301
81.0636346438,-153.9651333520,1358.0476630999
81.3071548130,-154.0432316186,1358.2045024697
81.5506749823,-154.1213298853,1358.3613418395
