3d_x,3d_y,3d_z
47.9718750000,-169.1281250000,1419.5750000000
48.2718750000,-169.1281250000,1419.5750000000
48.5718750000,-169.1281250000,1419.5750000000
48.8678995818,-169.1245875875,1419.6235482613
49.1639241636,-169.1210501750,1419.6720965226
49.4599487454,-169.1175127625,1419.7206447839
49.7294854277,-169.0569423962,1419.8376114785
49.9990221099,-168.9963720299,1419.9545781731
50.2484434164,-168.8926335965,1420.0850670589
50.4978647229,-168.7888951631,1420.2155559448
50.7528957687,-168.6972431749,1420.3442380286
51.0079268146,-168.6055911867,1420.4729201125
51.2725154438,-168.5343397281,1420.5950515456
51.5371040729,-168.4630882694,1420.7171829786
51.8016927021,-168.3918368108,1420.8393144117
52.0696648921,-168.3441927693,1420.9654926614
52.3376370821,-168.2965487277,1421.0916709112
52.6055056944,-168.2448140646,1421.2164504414
52.8733743068,-168.1930794015,1421.3412299716
53.1381078765,-168.1349233394,1421.4698146110
53.4028414462,-168.0767672773,1421.5983992504
53.6642251923,-168.0166935669,1421.7328227849
53.9256089383,-167.9566198565,1421.8672463195
54.1869926843,-167.8965461461,1422.0016698540
54.4380301497,-167.8326683856,1422.1529967276
54.6890676151,-167.7687906251,1422.3043236013
54.9300825507,-167.7009699489,1422.4695875014
55.1710974863,-167.6331492727,1422.6348514015
55.4119865492,-167.5716111360,1422.8027368300
55.6528756121,-167.5100729992,1422.9706222585
55.8950265785,-167.4543542239,1423.1387243928
56.1371775449,-167.3986354486,1423.3068265271
56.3793285113,-167.3429166733,1423.4749286614
56.6202486896,-167.2825165793,1423.6431823280
56.8611688680,-167.2221164853,1423.8114359945
57.1013573025,-167.1516918760,1423.9768140171
57.3415457370,-167.0812672668,1424.1421920397
57.5817341715,-167.0108426575,1424.3075700622
57.8264379372,-166.9305051769,1424.4614074967
58.0711417029,-166.8501676963,1424.6152449311
58.3234697661,-166.7656187612,1424.7537441229
58.5757978293,-166.6810698261,1424.8922433146
58.8344196209,-166.5936644734,1425.0166421620
59.0930414124,-166.5062591206,1425.1410410095
59.3516632039,-166.4188537678,1425.2654398570
