3d_x,3d_y,3d_z
26.9718750000,-201.5281250000,1403.3750000000
26.9718750000,-201.8130036575,1403.4690433438
26.9718750000,-202.0978823150,1403.5630866876
26.9718750000,-202.3827609724,1403.6571300314
26.8613131610,-202.6457446742,1403.5643094930
26.7507513220,-202.9087283760,1403.4714889546
26.5875070923,-203.1546007401,1403.4176549316
26.4242628626,-203.4004731043,1403.3638209086
26.2381337395,-203.6350156840,1403.3824146670
26.0520046165,-203.8695582637,1403.4010084254
25.8658754934,-204.1041008434,1403.4196021838
25.6640419645,-204.3044536538,1403.5151112302
25.4622084355,-204.5048064643,1403.6106202765
25.2595041762,-204.6921927180,1403.7280825052
25.0567999169,-204.8795789717,1403.8455447340
24.8472654103,-205.0569882315,1403.9664630746
24.6377309037,-205.2343974912,1404.0873814152
24.4281963971,-205.4118067510,1404.2082997558
24.1996456224,-205.5800989464,1404.3054711526
23.9710948477,-205.7483911418,1404.4026425494
23.7323244113,-205.9082371829,1404.4888859366
23.4935539749,-206.0680832241,1404.5751293239
23.2547835386,-206.2279292652,1404.6613727111
23.0137701797,-206.3835760273,1404.7490462323
22.7727568209,-206.5392227894,1404.8367197534
22.5313390421,-206.6966893122,1404.9199168104
22.2899212633,-206.8541558349,1405.0031138675
22.0485034845,-207.0116223576,1405.0863109245
21.8016782716,-207.1663283166,1405.1580282903
21.5548530588,-207.3210342755,1405.2297456560
21.3018309659,-207.4688653712,1405.2939779508
21.0488088731,-207.6166964669,1405.3582102456
20.7863884238,-207.7511601285,1405.4134825850
20.5239679745,-207.8856237900,1405.4687549244
20.2615475251,-208.0200874515,1405.5240272638
19.9845302034,-208.1278795955,1405.5645520360
19.7075128817,-208.2356717395,1405.6050768083
19.4259134474,-208.3363455326,1405.6288790343
19.1443140130,-208.4370193257,1405.6526812604
18.8588365101,-208.5285373524,1405.6639527335
18.5733590072,-208.6200553791,1405.6752242067
18.2862155973,-208.7065211733,1405.6837288280
17.9990721874,-208.7929869675,1405.6922334494
17.7125864250,-208.8801577325,1405.7103211714
17.4261006627,-208.9673284976,1405.7284088934
17.1398743477,-209.0527685883,1405.7562385091
16.8536480327,-209.1382086790,1405.7840681249
16.5674217177,-209.2236487697,1405.8118977406
16.2784211377,-209.2982023649,1405.8422362675
15.9894205578,-209.3727559601,1405.8725747944
15.6979569335,-209.4424307385,1405.8865168529
15.4064933093,-209.5121055169,1405.9004589114
15.1133841072,-209.5760234210,1405.9016825277
14.8202749052,-209.6399413250,1405.9029061440
14.5273115098,-209.7045253921,1405.9017454559
14.2343481143,-209.7691094592,1405.9005847677
13.9441681633,-209.8452380996,1405.9004231879
13.6539882122,-209.9213667401,1405.9002616081
13.3656466588,-210.0041677602,1405.8984897045
13.0773051053,-210.0869687802,1405.8967178009
12.7893376920,-210.1708700593,1405.8907727020
12.5013702786,-210.2547713384,1405.8848276030
12.2145324536,-210.3420169012,1405.8742316648
11.9276946286,-210.4292624641,1405.8636357266
11.6420093870,-210.5189765344,1405.8453237535
11.3563241455,-210.6086906046,1405.8270117805
11.0702132762,-210.6929578739,1405.7947689857
10.7841024069,-210.7772251432,1405.7625261909
10.4992785623,-210.8591367443,1405.7159873133
10.2144547176,-210.9410483453,1405.6694484357
9.9296308730,-211.0229599464,1405.6229095581
9.6482050848,-211.1030989679,1405.5567486708
9.3667792967,-211.1832379893,1405.4905877834
9.0894741645,-211.2614588006,1405.4070212331
8.8121690323,-211.3396796119,1405.3234546828
8.5357544276,-211.4076280054,1405.2287024684
8.2593398229,-211.4755763988,1405.1339502539
7.9832552715,-211.5314762878,1405.0307391941
7.7071707200,-211.5873761768,1404.9275281343
7.4302165332,-211.6246563097,1404.8184109035
7.1532623463,-211.6619364426,1404.7092936726
6.8741557282,-211.6885565178,1404.6025656662
6.5950491102,-211.7151765930,1404.4958376598
